time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,38.01,4.99,,0.81,6.22,clear-night,34.14,Clear
2017-01-01 04:00:00,38.01,2.99,,0.83,6.22,clear-night,38.01,Clear
2017-01-01 05:00:00,38.01,10.57,0.44,0.84,6.22,partly-cloudy-night,30.92,Partly Cloudy
2017-01-01 06:00:00,36.76,7.01,0.44,0.89,6.22,partly-cloudy-night,31.23,Partly Cloudy
2017-01-01 07:00:00,37.73,0,0.44,0.86,6.22,partly-cloudy-night,37.73,Partly Cloudy
2017-01-01 08:00:00,36.76,7.99,0.44,0.89,6.22,rain,30.65,Light Rain
2017-01-01 09:00:00,36.98,6,0.44,0.87,6.22,rain,32.15,Light Rain
2017-01-01 10:00:00,36.76,7.01,0.44,0.87,6.22,partly-cloudy-night,31.23,Partly Cloudy
2017-01-01 11:00:00,36.98,7.99,,0.87,6.22,clear-night,30.91,Clear
2017-01-01 12:00:00,36.98,12.01,0.19,0.88,6.22,clear-day,29.04,Clear
2017-01-01 13:00:00,38.01,9.95,0.75,0.87,4.35,partly-cloudy-day,31.2,Mostly Cloudy
2017-01-01 14:00:00,38.01,8.06,0.44,0.85,6.22,partly-cloudy-day,32.13,Partly Cloudy
2017-01-01 15:00:00,39.75,7.22,0.44,0.89,6.22,partly-cloudy-day,34.71,Partly Cloudy
2017-01-01 16:00:00,38.01,4.72,0.75,0.89,6.22,rain,34.36,Drizzle
2017-01-01 17:00:00,38.01,11.85,0.44,0.89,6.22,rain,30.4,Rain
2017-01-01 18:00:00,40.05,10.35,0.75,0.8,6.22,rain,33.55,Rain
2017-01-01 19:00:00,39.62,11.44,0.75,0.78,6.22,rain,32.58,Light Rain
2017-01-01 20:00:00,38.01,8.99,0.44,0.79,6.22,rain,31.65,Light Rain
2017-01-01 21:00:00,37.73,8.55,0.44,0.77,6.22,partly-cloudy-night,31.53,Partly Cloudy
2017-01-01 22:00:00,36.98,7.67,0.44,0.84,6.22,partly-cloudy-night,31.09,Partly Cloudy
2017-01-01 23:00:00,36.01,5.24,0.19,0.82,6.22,clear-night,31.59,Clear
2017-01-02 00:00:00,34.72,4,0.44,0.83,6.22,partly-cloudy-night,31.22,Partly Cloudy
2017-01-02 01:00:00,34.52,7.28,0.19,0.84,6.22,clear-night,28.36,Clear
2017-01-02 02:00:00,34.52,6.14,0.19,0.84,6.22,clear-night,29.13,Clear
2017-01-02 03:00:00,34.63,7.02,0.44,0.84,6.22,partly-cloudy-night,28.65,Partly Cloudy
2017-01-02 04:00:00,35.02,12.66,0.19,0.88,6.22,clear-night,26.31,Clear
2017-01-02 05:00:00,34.76,10.55,,0.85,6.22,clear-night,26.89,Clear
2017-01-02 06:00:00,34.32,8.66,,0.85,6.22,clear-night,27.29,Clear
2017-01-02 07:00:00,34.32,11.38,0.44,0.84,6.22,partly-cloudy-night,25.96,Partly Cloudy
2017-01-02 08:00:00,35.17,10.41,0.19,0.82,6.22,clear-night,27.46,Clear
2017-01-02 09:00:00,35.6,11.88,0.44,0.86,6.22,partly-cloudy-night,27.36,Partly Cloudy
2017-01-02 10:00:00,35.38,12.12,,0.87,6.22,clear-night,26.99,Clear
2017-01-02 11:00:00,36.17,11.71,,0.8,6.22,clear-night,28.15,Clear
2017-01-02 12:00:00,36.19,9.88,,0.83,6.22,clear-day,28.98,Clear
2017-01-02 13:00:00,36.35,12.89,0.44,0.85,6.22,partly-cloudy-day,27.91,Partly Cloudy
2017-01-02 14:00:00,38.22,9.91,0.44,0.85,6.22,partly-cloudy-day,31.47,Partly Cloudy
2017-01-02 15:00:00,40.07,11.9,0.75,0.84,6.22,partly-cloudy-day,32.97,Mostly Cloudy
2017-01-02 16:00:00,40.89,8.11,0.75,0.81,6.22,partly-cloudy-day,35.62,Mostly Cloudy
2017-01-02 17:00:00,40.72,11.04,0.75,0.82,6.22,rain,34.11,Light Rain
2017-01-02 18:00:00,40.59,12.06,0.75,0.83,6.22,rain,33.56,Drizzle
2017-01-02 19:00:00,40.59,10.37,0.75,0.82,6.22,partly-cloudy-night,34.22,Mostly Cloudy
2017-01-02 20:00:00,40.21,9.96,0.75,0.83,6.22,partly-cloudy-night,33.92,Mostly Cloudy
2017-01-02 21:00:00,40.65,10.72,0.75,0.82,6.22,partly-cloudy-night,34.15,Mostly Cloudy
2017-01-02 22:00:00,41.01,9.63,0.75,0.81,6.22,partly-cloudy-night,35.05,Mostly Cloudy
2017-01-02 23:00:00,41.01,9.02,0.75,0.81,6.22,partly-cloudy-night,35.32,Mostly Cloudy
2017-01-03 00:00:00,41.21,10.41,0.75,0.8,6.22,partly-cloudy-night,34.97,Mostly Cloudy
2017-01-03 01:00:00,41.37,12.33,0.44,0.79,6.22,partly-cloudy-night,34.45,Partly Cloudy
2017-01-03 02:00:00,41.25,11.05,0.44,0.75,6.22,partly-cloudy-night,34.77,Partly Cloudy
2017-01-03 03:00:00,41.46,8.69,,0.74,6.22,clear-night,36.04,Clear
2017-01-03 04:00:00,43.02,9.77,0.75,0.75,6.22,partly-cloudy-night,37.48,Mostly Cloudy
2017-01-03 05:00:00,43.49,14.35,,0.74,6.22,clear-night,36.5,Clear
2017-01-03 06:00:00,44.39,9.04,,0.76,6.22,clear-night,39.47,Clear
2017-01-03 07:00:00,45.35,13.8,,0.74,6.22,clear-night,39.03,Clear
2017-01-03 08:00:00,46.34,14.05,,0.72,6.22,clear-night,40.21,Clear
2017-01-03 09:00:00,45.89,11.58,,0.77,6.22,clear-night,40.39,Clear
2017-01-03 10:00:00,46.53,16.99,0.44,0.76,6.22,partly-cloudy-night,39.7,Partly Cloudy
2017-01-03 11:00:00,46.75,15.97,0.19,0.75,6.22,clear-night,40.23,Clear
2017-01-03 12:00:00,46.75,9.23,0.19,0.75,6.22,clear-day,42.3,Clear
2017-01-03 13:00:00,48.3,10.99,0.44,0.71,6.22,partly-cloudy-day,43.59,Partly Cloudy
2017-01-03 14:00:00,48.51,9.06,0.75,0.75,6.22,partly-cloudy-day,44.53,Mostly Cloudy
2017-01-03 15:00:00,48.48,14.74,0.75,0.75,6.22,partly-cloudy-day,42.77,Mostly Cloudy
2017-01-03 16:00:00,48.73,15.18,0.75,0.75,6.22,partly-cloudy-day,42.97,Mostly Cloudy
2017-01-03 17:00:00,50.37,14.64,0.75,0.71,6.22,partly-cloudy-day,50.37,Mostly Cloudy
2017-01-03 18:00:00,50.27,17.16,0.75,0.71,6.22,partly-cloudy-day,50.27,Mostly Cloudy
2017-01-03 19:00:00,48.83,14.96,0.75,0.79,6.22,partly-cloudy-night,43.16,Mostly Cloudy
2017-01-03 20:00:00,48.63,15.64,0.44,0.75,6.22,partly-cloudy-night,42.73,Partly Cloudy
2017-01-03 21:00:00,47.03,14.36,0.44,0.78,6.22,partly-cloudy-night,41.01,Partly Cloudy
2017-01-03 22:00:00,45.3,15.24,0.44,0.81,6.22,partly-cloudy-night,38.57,Partly Cloudy
2017-01-03 23:00:00,45.28,9.74,0.19,0.74,6.22,clear-night,40.29,Clear
2017-01-04 00:00:00,45.08,10.78,0.19,0.69,6.22,clear-night,39.65,Clear
2017-01-04 01:00:00,42.06,10.57,0.44,0.76,6.22,partly-cloudy-night,35.97,Partly Cloudy
2017-01-04 02:00:00,41.86,11.03,0.44,0.74,6.22,partly-cloudy-night,35.54,Partly Cloudy
2017-01-04 03:00:00,41.44,17.59,0.44,0.73,6.22,partly-cloudy-night,32.97,Partly Cloudy
2017-01-04 04:00:00,39.95,9.2,,0.7,6.22,clear-night,33.94,Clear
2017-01-04 05:00:00,40.37,9.91,0.44,0.67,6.22,partly-cloudy-night,34.14,Partly Cloudy
2017-01-04 06:00:00,39.84,8.94,0.75,0.69,6.22,partly-cloudy-night,33.92,Mostly Cloudy
2017-01-04 07:00:00,39.85,10.87,0.44,0.64,6.22,partly-cloudy-night,33.09,Partly Cloudy
2017-01-04 08:00:00,39.74,11.59,0.75,0.63,6.22,partly-cloudy-night,32.67,Mostly Cloudy
2017-01-04 09:00:00,39.27,10.67,0.75,0.68,4.35,partly-cloudy-night,32.46,Mostly Cloudy
