time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,43.38,2.2,0.44,0.93,4.97,partly-cloudy-night,43.38,Partly Cloudy
2017-01-01 04:00:00,42.59,1.34,0.75,0.92,4.35,partly-cloudy-night,42.59,Mostly Cloudy
2017-01-01 05:00:00,41.9,1.2,0.44,0.92,3.73,partly-cloudy-night,41.9,Partly Cloudy
2017-01-01 06:00:00,42.1,1.52,0.44,0.92,3.73,partly-cloudy-night,42.1,Partly Cloudy
2017-01-01 07:00:00,42.94,1.22,0.75,0.92,4.35,partly-cloudy-night,42.94,Mostly Cloudy
2017-01-01 08:00:00,43.91,1.22,0.44,0.92,4.35,partly-cloudy-night,43.91,Partly Cloudy
2017-01-01 09:00:00,44.88,2.44,0.44,0.92,2.62,partly-cloudy-night,44.88,Partly Cloudy
2017-01-01 10:00:00,45.53,2.15,0.75,0.93,3.36,partly-cloudy-night,45.53,Mostly Cloudy
2017-01-01 11:00:00,46.37,2.36,0.44,0.94,2.49,partly-cloudy-night,46.37,Partly Cloudy
2017-01-01 12:00:00,47.15,3,0.75,0.94,1.98,fog,47.15,Foggy
2017-01-01 13:00:00,47.55,3.72,0.75,0.94,5.4,partly-cloudy-day,46.27,Mostly Cloudy
2017-01-01 14:00:00,47.69,2.62,0.75,0.94,3.61,rain,47.69,Light Rain
2017-01-01 15:00:00,47.86,2.6,0.75,0.94,6.07,rain,47.86,Light Rain
2017-01-01 16:00:00,47.91,2.18,0.75,0.94,4.79,partly-cloudy-day,47.91,Mostly Cloudy
2017-01-01 17:00:00,47.66,4.53,0.81,0.94,2.78,partly-cloudy-day,45.77,Mostly Cloudy
2017-01-01 18:00:00,47.45,3.45,0.81,0.94,2.84,partly-cloudy-day,46.37,Mostly Cloudy
2017-01-01 19:00:00,46.76,3.77,0.51,0.94,4.5,partly-cloudy-night,45.32,Partly Cloudy
2017-01-01 20:00:00,44.13,2.4,0.81,0.94,3.85,rain,44.13,Light Rain
2017-01-01 21:00:00,41.54,3.55,0.81,0.93,3.38,rain,39.52,Light Rain
2017-01-01 22:00:00,40.56,3.4,0.75,0.94,5.74,rain,38.55,Light Rain
2017-01-01 23:00:00,39.8,3.16,1,0.94,6.22,rain,37.95,Light Rain
2017-01-02 00:00:00,39.6,2.58,0.75,0.94,6.22,rain,39.6,Light Rain
2017-01-02 01:00:00,39.67,5.21,0.75,0.94,6.22,rain,35.93,Light Rain
2017-01-02 02:00:00,39.7,4.34,0.75,0.93,6.22,rain,36.67,Light Rain
2017-01-02 03:00:00,39.67,5.62,0.75,0.93,6.22,rain,35.63,Light Rain
2017-01-02 04:00:00,39.8,4.02,0.44,0.94,6.22,partly-cloudy-night,37.07,Partly Cloudy
2017-01-02 05:00:00,39.75,4.08,0.19,0.93,6.22,clear-night,36.95,Clear
2017-01-02 06:00:00,39.59,4.57,,0.93,6.22,clear-night,36.34,Clear
2017-01-02 07:00:00,39.32,5.15,0.19,0.92,6.22,clear-night,35.56,Clear
2017-01-02 08:00:00,38.54,5.23,,0.93,6.22,clear-night,34.57,Clear
2017-01-02 09:00:00,37.14,2.47,0.19,0.92,6.22,clear-night,37.14,Clear
2017-01-02 10:00:00,35.49,1.94,0.19,0.93,4.97,clear-night,35.49,Clear
