time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,45.23,2.94,0.98,0.92,2.84,cloudy,45.23,Overcast
2017-01-01 04:00:00,45.41,2.74,0.75,0.91,3.17,partly-cloudy-night,45.41,Mostly Cloudy
2017-01-01 05:00:00,45.51,3.03,0.98,0.9,4.47,cloudy,44.57,Overcast
2017-01-01 06:00:00,45.91,3.12,0.98,0.9,6.22,cloudy,44.94,Overcast
2017-01-01 07:00:00,46.19,3.47,0.98,0.9,1.9,fog,44.91,Foggy
2017-01-01 08:00:00,45.9,3.03,0.75,0.9,5.65,partly-cloudy-night,45.01,Mostly Cloudy
2017-01-01 09:00:00,46.18,2.76,0.47,0.91,5.1,partly-cloudy-night,46.18,Partly Cloudy
2017-01-01 10:00:00,46.1,2.86,0.77,0.91,6.22,partly-cloudy-night,46.1,Mostly Cloudy
2017-01-01 11:00:00,46.01,2.13,0.77,0.91,6.22,partly-cloudy-night,46.01,Mostly Cloudy
2017-01-01 12:00:00,46.47,1.69,0.77,0.9,6.22,partly-cloudy-day,46.47,Mostly Cloudy
2017-01-01 13:00:00,46.42,1.47,0.77,0.9,6.22,partly-cloudy-day,46.42,Mostly Cloudy
2017-01-01 14:00:00,45.03,2.11,0.98,0.89,3.42,rain,45.03,Light Rain
2017-01-01 15:00:00,42.71,3.27,0.94,0.92,4.53,rain,41.14,Light Rain
2017-01-01 16:00:00,41.75,6.26,0.72,0.91,6.22,rain,37.68,Light Rain
2017-01-01 17:00:00,39.99,5.49,0.72,0.9,5.65,rain,36.1,Light Rain
2017-01-01 18:00:00,39.25,6.1,0.94,0.9,6.22,rain,34.8,Light Rain
2017-01-01 19:00:00,38.76,6.17,0.98,0.9,6.22,rain,34.17,Light Rain
2017-01-01 20:00:00,38.84,5.44,0.94,0.9,6.22,rain,34.78,Light Rain
2017-01-01 21:00:00,39.12,4.65,0.98,0.91,6.22,cloudy,35.72,Overcast
2017-01-01 22:00:00,39.45,5.45,0.94,0.9,3.98,cloudy,35.49,Overcast
2017-01-01 23:00:00,39.26,6.06,0.98,0.89,6.22,cloudy,34.84,Overcast
2017-01-02 00:00:00,38.13,4.95,0.98,0.89,6.22,cloudy,34.32,Overcast
2017-01-02 01:00:00,37.41,5.55,0.75,0.87,6.22,partly-cloudy-night,33,Mostly Cloudy
2017-01-02 02:00:00,36.49,5.73,0.24,0.87,6.22,clear-night,31.78,Clear
2017-01-02 03:00:00,36.04,5.48,0.47,0.87,6.22,partly-cloudy-night,31.43,Partly Cloudy
2017-01-02 04:00:00,35.25,4.92,0.27,0.87,6.22,partly-cloudy-night,30.96,Partly Cloudy
2017-01-02 05:00:00,35.04,5.28,0.49,0.88,6.22,partly-cloudy-night,30.42,Partly Cloudy
2017-01-02 06:00:00,35.17,4.49,0.49,0.88,6.22,partly-cloudy-night,31.25,Partly Cloudy
2017-01-02 07:00:00,34.42,4.75,0.1,0.89,6.22,clear-night,30.14,Clear
2017-01-02 08:00:00,34.65,4.27,0.72,0.9,6.22,partly-cloudy-night,30.87,Mostly Cloudy
2017-01-02 09:00:00,33.89,3.74,0.44,0.91,6.22,partly-cloudy-night,30.55,Partly Cloudy
2017-01-02 10:00:00,34.01,3.6,0.75,0.9,6.22,partly-cloudy-night,30.83,Mostly Cloudy
2017-01-02 11:00:00,33.71,3.37,0.44,0.89,6.22,partly-cloudy-night,30.77,Partly Cloudy
2017-01-02 12:00:00,33.59,2.43,0.19,0.89,6.22,clear-day,33.59,Clear
2017-01-02 13:00:00,35.5,2.66,0,0.87,6.22,clear-day,35.5,Clear
2017-01-02 14:00:00,37.22,3.05,0,0.86,6.22,clear-day,35.16,Clear
2017-01-02 15:00:00,38.71,2.99,0,0.83,6.22,clear-day,38.71,Clear
2017-01-02 16:00:00,40.34,2.59,0,0.8,6.22,clear-day,40.34,Clear
2017-01-02 17:00:00,39.83,2.68,0,0.8,6.22,clear-day,39.83,Clear
2017-01-02 18:00:00,40.18,2.12,0,0.79,6.22,clear-day,40.18,Clear
2017-01-02 19:00:00,38.6,0.76,0,0.79,6.22,clear-day,38.6,Clear
2017-01-02 20:00:00,36.22,0.84,0,0.81,6.22,clear-night,36.22,Clear
2017-01-02 21:00:00,34.53,0.37,0,0.83,6.22,clear-night,34.53,Clear
2017-01-02 22:00:00,32.63,0.11,0,0.85,6.22,clear-night,32.63,Clear
2017-01-02 23:00:00,31.67,0.66,0,0.87,6.22,clear-night,31.67,Clear
2017-01-03 00:00:00,31.77,0.62,0,0.86,6.22,clear-night,31.77,Clear
2017-01-03 01:00:00,31.12,0.74,0,0.87,6.22,clear-night,31.12,Clear
2017-01-03 02:00:00,31.26,0.4,0,0.88,5.62,clear-night,31.26,Clear
2017-01-03 03:00:00,30.55,0.62,0,0.88,6.22,clear-night,30.55,Clear
2017-01-03 04:00:00,29.96,0.58,0,0.87,5.97,clear-night,29.96,Clear
2017-01-03 05:00:00,30.43,0.41,0,0.88,6.09,clear-night,30.43,Clear
2017-01-03 06:00:00,28.88,0.43,0,0.89,6.22,clear-night,28.88,Clear
2017-01-03 07:00:00,29.23,0.54,0,0.89,6.22,clear-night,29.23,Clear
2017-01-03 08:00:00,30.53,1.81,0,0.89,6.15,clear-night,30.53,Clear
2017-01-03 09:00:00,31.65,1.47,0,0.87,6.22,clear-night,31.65,Clear
2017-01-03 10:00:00,30.93,1.28,0,0.9,6.22,clear-night,30.93,Clear
2017-01-03 11:00:00,30.81,0.61,0.69,0.91,4.53,partly-cloudy-night,30.81,Mostly Cloudy
2017-01-03 12:00:00,32.31,1.41,0.72,0.89,6.22,partly-cloudy-day,32.31,Mostly Cloudy
2017-01-03 13:00:00,33.86,0.63,0.04,0.91,6.22,clear-day,33.86,Clear
2017-01-03 14:00:00,37.75,2.03,0.02,0.88,6.22,clear-day,37.75,Clear
2017-01-03 15:00:00,40.54,2.73,0.02,0.85,6.22,clear-day,40.54,Clear
2017-01-03 16:00:00,42.52,3.61,0.21,0.8,6.22,clear-day,40.59,Clear
2017-01-03 17:00:00,42.91,5.41,0.04,0.8,6.22,clear-day,39.61,Clear
2017-01-03 18:00:00,42.99,6.84,0.04,0.79,6.22,clear-day,38.83,Clear
2017-01-03 19:00:00,41.72,4.28,0.04,0.81,6.22,clear-day,39.07,Clear
2017-01-03 20:00:00,40.56,3.24,0.04,0.82,6.22,clear-night,38.73,Clear
2017-01-03 21:00:00,39.68,5.2,0.24,0.84,6.22,clear-night,35.95,Clear
2017-01-03 22:00:00,39.01,4.41,0.49,0.83,6.22,partly-cloudy-night,35.8,Partly Cloudy
