time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,45.57,5.96,1,0.92,5.87,cloudy,42.41,Overcast
2017-01-01 04:00:00,45.12,7.08,1,0.92,5.73,cloudy,41.26,Overcast
2017-01-01 05:00:00,44.59,7.21,1,0.91,4.96,cloudy,40.56,Overcast
2017-01-01 06:00:00,44.1,6.9,1,0.92,4.62,cloudy,40.13,Overcast
2017-01-01 07:00:00,43.42,7.66,1,0.93,5.25,cloudy,38.92,Overcast
2017-01-01 08:00:00,42.92,6.06,1,0.94,4.73,cloudy,39.2,Overcast
2017-01-01 09:00:00,42.88,5.88,1,0.94,4.04,cloudy,39.27,Overcast
2017-01-01 10:00:00,42.87,5.74,1,0.95,5.19,cloudy,39.33,Overcast
2017-01-01 11:00:00,42.98,5.27,1,0.95,3.28,cloudy,39.78,Overcast
2017-01-01 12:00:00,43.56,5.08,1,0.96,4.07,cloudy,40.6,Overcast
2017-01-01 13:00:00,44.5,4.23,1,0.95,2.9,cloudy,42.33,Overcast
2017-01-01 14:00:00,45.16,3.21,1,0.96,2.49,cloudy,43.99,Overcast
2017-01-01 15:00:00,45.47,1.85,1,0.95,2.39,cloudy,45.47,Overcast
2017-01-01 16:00:00,42.78,6.55,1,0.96,5.25,cloudy,38.74,Overcast
2017-01-01 17:00:00,41.24,7.48,1,0.94,6.22,rain,36.37,Light Rain
2017-01-01 18:00:00,40.34,7.04,1,0.95,6.22,rain,35.52,Light Rain
2017-01-01 19:00:00,40.35,5.12,1,0.94,6.22,rain,36.8,Light Rain
2017-01-01 20:00:00,39.68,4.35,0.8,0.94,6.22,rain,36.63,Light Rain
2017-01-01 21:00:00,39.56,3.43,0.81,0.95,6.22,rain,37.38,Light Rain
2017-01-01 22:00:00,39.22,4,0.63,0.96,6.22,partly-cloudy-night,36.42,Mostly Cloudy
2017-01-01 23:00:00,39.29,2.94,0.75,0.94,6.22,partly-cloudy-night,39.29,Mostly Cloudy
2017-01-02 00:00:00,38.38,3.51,0.56,0.95,6.22,partly-cloudy-night,35.94,Partly Cloudy
2017-01-02 01:00:00,37.97,2.51,0.75,0.93,6.22,partly-cloudy-night,37.97,Mostly Cloudy
2017-01-02 02:00:00,36.97,2.98,0.44,0.95,6.22,partly-cloudy-night,36.97,Partly Cloudy
2017-01-02 03:00:00,36.61,3.63,0.18,0.94,6.22,clear-night,33.79,Clear
2017-01-02 04:00:00,35.26,4.11,0.44,0.95,6.22,partly-cloudy-night,31.73,Partly Cloudy
