time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,49.05,5.51,0.75,0.91,6.22,partly-cloudy-night,46.8,Mostly Cloudy
2017-01-01 04:00:00,49.87,5.6,1,0.93,6.22,cloudy,47.72,Overcast
2017-01-01 05:00:00,49.87,4.43,1,0.94,6.22,cloudy,48.41,Overcast
2017-01-01 06:00:00,49.44,5.83,0.75,0.93,6.22,partly-cloudy-night,47.09,Mostly Cloudy
2017-01-01 07:00:00,49.87,8.16,0.75,0.94,4.97,partly-cloudy-night,46.54,Mostly Cloudy
2017-01-01 08:00:00,48.22,2.51,0.44,0.95,1.43,rain,48.22,Drizzle
2017-01-01 09:00:00,45.2,5.42,0.75,0.93,5.59,rain,42.31,Rain
2017-01-01 10:00:00,43.07,6.9,0.75,0.93,6.22,rain,38.89,Light Rain
2017-01-01 11:00:00,42.93,6,0.75,0.92,6.22,rain,39.24,Light Rain
2017-01-01 12:00:00,42.29,6.54,0.75,0.91,6.22,partly-cloudy-day,38.16,Mostly Cloudy
2017-01-01 13:00:00,42.01,6.93,0.75,0.91,6.22,partly-cloudy-day,37.6,Mostly Cloudy
2017-01-01 14:00:00,42.08,6.66,1,0.91,6.22,cloudy,37.83,Overcast
2017-01-01 15:00:00,42.42,7,1,0.88,6.22,cloudy,38.05,Overcast
2017-01-01 16:00:00,42.42,9.91,0.75,0.88,6.22,partly-cloudy-day,36.67,Mostly Cloudy
2017-01-01 17:00:00,42.08,8.22,1,0.86,6.22,cloudy,37.01,Overcast
2017-01-01 18:00:00,41.78,10.18,0.75,0.84,6.22,partly-cloudy-day,35.78,Mostly Cloudy
2017-01-01 19:00:00,41.42,7.1,0.75,0.8,6.22,partly-cloudy-day,36.79,Mostly Cloudy
2017-01-01 20:00:00,40.8,7.35,0.75,0.78,6.22,partly-cloudy-night,35.91,Mostly Cloudy
2017-01-01 21:00:00,40.42,7.61,1,0.78,6.22,cloudy,35.3,Overcast
2017-01-01 22:00:00,37.54,7.9,0.75,0.8,6.22,partly-cloudy-night,31.64,Mostly Cloudy
2017-01-01 23:00:00,36.21,5.31,0.19,0.81,6.22,clear-night,31.78,Clear
2017-01-02 00:00:00,35.67,4.95,,0.82,6.22,clear-night,31.42,Clear
2017-01-02 01:00:00,36.28,8.43,,0.81,6.22,clear-night,29.82,Clear
2017-01-02 02:00:00,36.45,8.18,,0.81,6.22,clear-night,30.17,Clear
2017-01-02 03:00:00,36.4,4.08,,0.81,6.22,clear-night,33.09,Clear
2017-01-02 04:00:00,35.69,8.6,,0.87,6.22,clear-night,29,Clear
2017-01-02 05:00:00,36.17,7,,0.86,6.22,clear-night,30.52,Clear
2017-01-02 06:00:00,36.25,5.58,,0.84,6.22,clear-night,31.6,Clear
2017-01-02 07:00:00,35.6,6.17,,0.86,6.22,clear-night,30.4,Clear
2017-01-02 08:00:00,36.1,6.46,,0.87,6.22,clear-night,30.79,Clear
2017-01-02 09:00:00,34.95,3.35,,0.83,6.22,clear-night,32.22,Clear
2017-01-02 10:00:00,34.43,4.82,,0.86,6.22,clear-night,30.09,Clear
2017-01-02 11:00:00,33.56,4.37,,0.88,6.22,clear-night,29.5,Clear
2017-01-02 12:00:00,33.32,4.08,,0.89,6.22,clear-day,29.52,Clear
2017-01-02 13:00:00,35.54,6.28,,0.86,6.22,clear-day,30.25,Clear
2017-01-02 14:00:00,38.29,6.18,,0.79,6.22,clear-day,33.59,Clear
2017-01-02 15:00:00,40.85,3.44,,0.76,6.22,clear-day,38.85,Clear
2017-01-02 16:00:00,41.19,5.7,,0.73,6.22,clear-day,37.37,Clear
2017-01-02 17:00:00,42.18,5.16,,0.68,6.22,clear-day,38.92,Clear
2017-01-02 18:00:00,41.69,4.2,,0.68,6.22,clear-day,39.1,Clear
2017-01-02 19:00:00,39.65,2.56,,0.69,6.22,clear-day,39.65,Clear
2017-01-02 20:00:00,34.47,2.63,,0.8,6.22,clear-night,34.47,Clear
2017-01-02 21:00:00,34.94,1.74,,0.81,6.22,clear-night,34.94,Clear
2017-01-02 22:00:00,32.8,1.49,,0.83,6.22,clear-night,32.8,Clear
2017-01-02 23:00:00,31.02,2.61,,0.89,6.22,clear-night,31.02,Clear
2017-01-03 00:00:00,29.72,2.21,,0.9,6.22,clear-night,29.72,Clear
2017-01-03 01:00:00,28.62,2.23,,0.92,6.22,clear-night,28.62,Clear
2017-01-03 02:00:00,28.45,1.9,,0.9,6.22,clear-night,28.45,Clear
2017-01-03 03:00:00,29.05,2.28,,0.9,6.22,clear-night,29.05,Clear
2017-01-03 04:00:00,28.67,1.94,,0.93,6.22,clear-night,28.67,Clear
2017-01-03 05:00:00,27.64,0.49,,0.95,6.22,clear-night,27.64,Clear
2017-01-03 06:00:00,27.54,1.68,,0.95,6.22,clear-night,27.54,Clear
2017-01-03 07:00:00,28.52,0.87,,0.92,6.22,clear-night,28.52,Clear
2017-01-03 08:00:00,28.5,1.07,0.75,0.93,6.22,partly-cloudy-night,28.5,Mostly Cloudy
2017-01-03 09:00:00,29.02,0.67,0.19,0.91,6.22,clear-night,29.02,Clear
2017-01-03 10:00:00,28.65,1.54,,0.93,6.22,clear-night,28.65,Clear
2017-01-03 11:00:00,27.96,0.24,,0.93,6.22,clear-night,27.96,Clear
2017-01-03 12:00:00,28.27,1.17,,0.94,6.22,clear-day,28.27,Clear
2017-01-03 13:00:00,29.81,1.34,,0.93,6.22,clear-day,29.81,Clear
2017-01-03 14:00:00,35.2,2.68,,0.95,6.22,clear-day,35.2,Clear
2017-01-03 15:00:00,40.29,2.74,,0.91,6.22,clear-day,40.29,Clear
2017-01-03 16:00:00,43.49,6.64,0.19,0.82,6.22,clear-day,39.54,Clear
2017-01-03 17:00:00,43.8,8.87,0.19,0.78,6.22,clear-day,38.83,Clear
2017-01-03 18:00:00,42.6,8.92,0.19,0.79,6.22,clear-day,37.33,Clear
2017-01-03 19:00:00,41.1,6.9,0.75,0.8,6.22,partly-cloudy-day,36.52,Mostly Cloudy
2017-01-03 20:00:00,40.71,7.34,1,0.8,6.22,cloudy,35.8,Overcast
2017-01-03 21:00:00,40.82,7.8,1,0.78,6.22,cloudy,35.69,Overcast
2017-01-03 22:00:00,40.85,7.14,1,0.81,6.22,cloudy,36.08,Overcast
2017-01-03 23:00:00,40.9,6.26,1,0.81,6.22,cloudy,36.67,Overcast
2017-01-04 00:00:00,40.95,5.98,1,0.81,6.22,cloudy,36.91,Overcast
2017-01-04 01:00:00,41.59,5.32,1,0.79,6.22,cloudy,38.1,Overcast
2017-01-04 02:00:00,41.69,6.6,1,0.8,6.22,cloudy,37.41,Overcast
2017-01-04 03:00:00,42.2,8.19,1,0.81,6.22,cloudy,37.17,Overcast
2017-01-04 04:00:00,42.22,7.9,1,0.81,6.22,cloudy,37.34,Overcast
2017-01-04 05:00:00,42.28,7.21,1,0.82,6.22,cloudy,37.78,Overcast
2017-01-04 06:00:00,42.22,9.99,1,0.82,6.22,cloudy,36.39,Overcast
2017-01-04 07:00:00,42.64,7.12,1,0.82,6.22,cloudy,38.25,Overcast
2017-01-04 08:00:00,42.71,6.91,1,0.82,6.22,cloudy,38.46,Overcast
2017-01-04 09:00:00,43.1,5.97,0.75,0.85,6.22,partly-cloudy-night,39.47,Mostly Cloudy
2017-01-04 10:00:00,43.73,8.03,1,0.84,6.22,cloudy,39.12,Overcast
2017-01-04 11:00:00,44.02,7.42,1,0.85,6.22,cloudy,39.76,Overcast
2017-01-04 12:00:00,44.14,4.63,0.75,0.88,6.22,partly-cloudy-day,41.61,Mostly Cloudy
2017-01-04 13:00:00,44.43,5.82,1,0.89,6.22,cloudy,41.14,Overcast
2017-01-04 14:00:00,45.7,6.62,1,0.89,6.22,cloudy,42.2,Overcast
2017-01-04 15:00:00,46.26,6.27,0.75,0.89,6.22,partly-cloudy-day,43.06,Mostly Cloudy
2017-01-04 16:00:00,46.83,6.45,1,0.87,6.22,cloudy,43.65,Overcast
2017-01-04 17:00:00,47.54,6.05,0.75,0.85,6.22,partly-cloudy-day,44.71,Mostly Cloudy
2017-01-04 18:00:00,47.82,4.89,0.75,0.82,6.22,partly-cloudy-day,45.73,Mostly Cloudy
2017-01-04 19:00:00,46.6,2.74,0.44,0.8,6.22,partly-cloudy-day,46.6,Partly Cloudy
2017-01-04 20:00:00,45.83,2.82,0.75,0.8,6.22,partly-cloudy-night,45.83,Mostly Cloudy
2017-01-04 21:00:00,43.35,2.28,0.75,0.81,6.22,partly-cloudy-night,43.35,Mostly Cloudy
2017-01-04 22:00:00,41.19,1.82,1,0.85,6.22,cloudy,41.19,Overcast
2017-01-04 23:00:00,39.43,2.56,0.75,0.87,6.22,partly-cloudy-night,39.43,Mostly Cloudy
2017-01-05 00:00:00,39.92,2.99,1,0.86,6.22,cloudy,39.92,Overcast
2017-01-05 01:00:00,39.42,2.67,1,0.84,6.22,cloudy,39.42,Overcast
2017-01-05 02:00:00,38.27,1.21,1,0.86,6.22,cloudy,38.27,Overcast
2017-01-05 03:00:00,38.64,3.41,1,0.85,6.22,cloudy,36.35,Overcast
2017-01-05 04:00:00,38.37,4.12,1,0.83,6.22,cloudy,35.32,Overcast
2017-01-05 05:00:00,36.52,1.6,1,0.84,6.22,cloudy,36.52,Overcast
2017-01-05 06:00:00,36.63,3.61,1,0.84,6.22,cloudy,33.83,Overcast
2017-01-05 07:00:00,36.5,2.74,1,0.79,6.22,cloudy,36.5,Overcast
2017-01-05 08:00:00,34.95,2.47,0.44,0.78,6.22,partly-cloudy-night,34.95,Partly Cloudy
2017-01-05 09:00:00,32.71,2.61,0.19,0.83,6.22,clear-night,32.71,Clear
2017-01-05 10:00:00,32.66,3.12,0.19,0.8,6.22,clear-night,29.89,Clear
2017-01-05 11:00:00,31.05,2.24,0.75,0.82,6.22,partly-cloudy-night,31.05,Mostly Cloudy
2017-01-05 12:00:00,31.16,2.19,1,0.83,6.22,cloudy,31.16,Overcast
2017-01-05 13:00:00,35.05,3.51,1,0.75,6.22,cloudy,32.13,Overcast
