time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,48.28,7.06,,0.87,,clear-night,45.09,Clear
2017-01-01 04:00:00,47.93,8.32,,0.89,,clear-night,44.11,Clear
2017-01-01 05:00:00,46.15,6.94,,0.89,,clear-night,42.58,Clear
2017-01-01 06:00:00,43.35,7.77,,0.91,,clear-night,38.78,Clear
2017-01-01 07:00:00,42.57,7.27,,0.89,,rain,38.08,Light Rain
2017-01-01 08:00:00,42.02,3.08,,0.87,,clear-night,40.56,Clear
2017-01-01 09:00:00,42.02,7.04,,0.88,,rain,37.54,Drizzle
2017-01-01 10:00:00,41.54,6.91,,0.9,,clear-night,37.05,Clear
2017-01-01 11:00:00,41.26,8.16,,0.9,,clear-night,36.04,Clear
2017-01-01 12:00:00,40.79,9.07,,0.87,,clear-day,35.03,Clear
2017-01-01 13:00:00,40.35,6.09,,0.87,,clear-day,36.11,Clear
2017-01-01 14:00:00,41,7.59,,0.8,,clear-day,36.02,Clear
2017-01-01 15:00:00,40.4,10.23,,0.79,,clear-day,34.04,Clear
2017-01-01 16:00:00,40.3,9.36,,0.78,,clear-day,34.29,Clear
2017-01-01 17:00:00,40.19,8.18,,0.78,,clear-day,34.72,Clear
2017-01-01 18:00:00,40.29,7.07,,0.74,,clear-day,35.44,Clear
2017-01-01 19:00:00,39.9,6.75,,0.74,,clear-day,35.17,Clear
2017-01-01 20:00:00,40.23,5.88,,0.75,,clear-night,36.11,Clear
2017-01-01 21:00:00,40.33,7.83,,0.74,,clear-night,35.08,Clear
2017-01-01 22:00:00,40.44,10.21,,0.74,,clear-night,34.1,Clear
2017-01-01 23:00:00,40.13,8.66,,0.73,,clear-night,34.42,Clear
2017-01-02 00:00:00,39.84,6.25,,0.74,,clear-night,35.4,Clear
2017-01-02 01:00:00,38.46,9.41,,0.8,,clear-night,32,Clear
2017-01-02 02:00:00,37.7,8.92,,0.82,,clear-night,31.31,Clear
2017-01-02 03:00:00,38.26,7.66,,0.81,,clear-night,32.65,Clear
2017-01-02 04:00:00,37.75,6.58,,0.84,,clear-night,32.69,Clear
2017-01-02 05:00:00,38.25,4.25,,0.8,,clear-night,35.06,Clear
2017-01-02 06:00:00,36.61,4.33,,0.81,,clear-night,33.08,Clear
2017-01-02 07:00:00,36.66,3.36,,0.8,,clear-night,34.15,Clear
2017-01-02 08:00:00,36.99,4.21,,0.82,,clear-night,33.63,Clear
2017-01-02 09:00:00,36.26,3.86,,0.81,,clear-night,33.15,Clear
2017-01-02 10:00:00,35.63,3.3,,0.82,,clear-night,33.05,Clear
2017-01-02 11:00:00,33.92,2.04,,0.85,,clear-night,33.92,Clear
2017-01-02 12:00:00,33.5,1.27,,0.87,,clear-day,33.5,Clear
2017-01-02 13:00:00,34.03,0.83,,0.86,,clear-day,34.03,Clear
2017-01-02 14:00:00,39.11,1.93,,0.76,,clear-day,39.11,Clear
2017-01-02 15:00:00,40.84,2.38,,0.72,,clear-day,40.84,Clear
2017-01-02 16:00:00,42.19,3.52,,0.68,,clear-day,40.29,Clear
2017-01-02 17:00:00,42.11,5.66,,0.69,,clear-day,38.49,Clear
