time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,45.16,4.13,0.97,0.92,6.22,cloudy,43.17,Overcast
2017-01-01 04:00:00,45.06,3.16,0.75,0.92,5.14,partly-cloudy-night,43.92,Mostly Cloudy
2017-01-01 05:00:00,44.73,5.11,0.78,0.94,5.14,partly-cloudy-night,41.95,Mostly Cloudy
2017-01-01 06:00:00,44.67,3.22,0.78,0.94,5.14,partly-cloudy-night,43.42,Mostly Cloudy
2017-01-01 07:00:00,44.87,4.3,1,0.94,5.67,cloudy,42.7,Overcast
2017-01-01 08:00:00,44.87,4.14,0.92,0.94,5.14,partly-cloudy-night,42.83,Mostly Cloudy
2017-01-01 09:00:00,44.93,3.05,0.71,0.94,4.06,partly-cloudy-night,43.89,Mostly Cloudy
2017-01-01 10:00:00,44.76,2.46,0.97,0.94,3.2,cloudy,44.76,Overcast
2017-01-01 11:00:00,43.71,1.84,0.75,0.94,4.6,partly-cloudy-night,43.71,Mostly Cloudy
2017-01-01 12:00:00,43.18,2.16,0.75,0.96,3.53,partly-cloudy-day,43.18,Mostly Cloudy
2017-01-01 13:00:00,41.6,6.12,1,0.95,3.44,rain,37.58,Light Rain
2017-01-01 14:00:00,39.95,5.08,1,0.95,4.06,rain,36.35,Light Rain
2017-01-01 15:00:00,39.17,6.24,0.97,0.94,4.06,rain,34.62,Light Rain
2017-01-01 16:00:00,38.46,4.91,0.97,0.94,5.14,rain,34.73,Light Rain
2017-01-01 17:00:00,38.69,5.67,0.97,0.94,5.14,rain,34.43,Light Rain
2017-01-01 18:00:00,38.73,5.48,0.97,0.95,4.6,rain,34.61,Light Rain
2017-01-01 19:00:00,38.85,4.68,0.97,0.95,6.22,cloudy,35.38,Overcast
2017-01-01 20:00:00,38.54,4.75,0.71,0.94,6.22,partly-cloudy-night,34.97,Mostly Cloudy
2017-01-01 21:00:00,37.69,4.61,0.71,0.94,6.22,partly-cloudy-night,34.09,Mostly Cloudy
2017-01-01 22:00:00,36.64,4.62,0.19,0.93,6.22,clear-night,32.85,Clear
2017-01-01 23:00:00,35.85,4.49,,0.92,6.22,clear-night,32.04,Clear
2017-01-02 00:00:00,35.09,2.79,0.19,0.93,6.22,clear-night,35.09,Clear
2017-01-02 01:00:00,34.26,3.26,,0.94,6.22,clear-night,31.53,Clear
2017-01-02 02:00:00,33.79,3.38,0.19,0.93,6.22,clear-night,30.86,Clear
2017-01-02 03:00:00,33.4,3.19,0.19,0.95,6.22,clear-night,30.65,Clear
2017-01-02 04:00:00,33.94,3.5,0.26,0.94,6.22,partly-cloudy-night,30.88,Partly Cloudy
2017-01-02 05:00:00,34.04,2.89,0.44,0.94,6.22,partly-cloudy-night,34.04,Partly Cloudy
2017-01-02 06:00:00,33.69,3,0.19,0.95,6.22,clear-night,31.23,Clear
2017-01-02 07:00:00,33.4,2.6,,0.94,6.22,clear-night,33.4,Clear
2017-01-02 08:00:00,32.86,3.03,,0.94,6.22,clear-night,30.25,Clear
2017-01-02 09:00:00,32.67,2.93,,0.95,6.22,clear-night,32.67,Clear
2017-01-02 10:00:00,32.08,2.83,,0.95,6.22,clear-night,32.08,Clear
2017-01-02 11:00:00,31.9,4,,0.94,6.22,clear-night,27.97,Clear
2017-01-02 12:00:00,32,3.56,,0.95,6.22,clear-day,28.6,Clear
2017-01-02 13:00:00,33.16,3.47,0.19,0.93,6.22,clear-day,30.03,Clear
2017-01-02 14:00:00,35.57,3.8,,0.91,6.22,clear-day,32.41,Clear
2017-01-02 15:00:00,37.39,3.54,,0.86,6.22,clear-day,34.79,Clear
2017-01-02 16:00:00,37.99,4.5,,0.85,6.22,clear-day,34.53,Clear
2017-01-02 17:00:00,38.63,5.02,,0.8,6.22,clear-day,34.85,Clear
2017-01-02 18:00:00,38.44,4.46,,0.79,6.22,clear-day,35.09,Clear
2017-01-02 19:00:00,36.55,3.41,,0.8,6.22,clear-night,33.97,Clear
2017-01-02 20:00:00,34.38,2.56,,0.85,6.22,clear-night,34.38,Clear
2017-01-02 21:00:00,33.15,2.34,,0.89,6.22,clear-night,33.15,Clear
2017-01-02 22:00:00,32.98,2.02,,0.88,6.22,clear-night,32.98,Clear
2017-01-02 23:00:00,32.2,1.84,,0.9,6.22,clear-night,32.2,Clear
2017-01-03 00:00:00,31.76,1.74,,0.91,6.22,clear-night,31.76,Clear
2017-01-03 01:00:00,31.05,1.49,,0.92,6.22,clear-night,31.05,Clear
2017-01-03 02:00:00,31.31,2.24,,0.93,6.22,clear-night,31.31,Clear
2017-01-03 03:00:00,31,1.27,,0.94,6.22,clear-night,31,Clear
2017-01-03 04:00:00,29.83,0.64,0.19,0.95,6.22,clear-night,29.83,Clear
2017-01-03 05:00:00,30.88,1.48,0.4,0.96,6.22,partly-cloudy-night,30.88,Partly Cloudy
2017-01-03 06:00:00,32.39,1.93,0.48,0.96,6.22,partly-cloudy-night,32.39,Partly Cloudy
2017-01-03 07:00:00,33.11,2.29,0.48,0.94,6.22,partly-cloudy-night,33.11,Partly Cloudy
2017-01-03 08:00:00,34.39,3.54,0.71,0.9,6.22,partly-cloudy-night,31.35,Mostly Cloudy
2017-01-03 09:00:00,34.82,2.91,0.44,0.89,6.22,partly-cloudy-night,34.82,Partly Cloudy
2017-01-03 10:00:00,34.48,4.57,0.75,0.9,6.22,partly-cloudy-night,30.37,Mostly Cloudy
2017-01-03 11:00:00,35.37,5.25,0.75,0.89,6.22,partly-cloudy-night,30.82,Mostly Cloudy
2017-01-03 12:00:00,35.91,3.69,0.75,0.9,6.22,partly-cloudy-day,32.91,Mostly Cloudy
2017-01-03 13:00:00,37.27,4.9,0.75,0.88,6.22,partly-cloudy-day,33.35,Mostly Cloudy
2017-01-03 14:00:00,38.33,5.1,0.75,0.86,6.22,partly-cloudy-day,34.43,Mostly Cloudy
2017-01-03 15:00:00,39.15,5.37,0.75,0.87,6.22,partly-cloudy-day,35.2,Mostly Cloudy
2017-01-03 16:00:00,40.86,8.68,0.75,0.83,6.22,partly-cloudy-day,35.3,Mostly Cloudy
2017-01-03 17:00:00,41.7,7.79,0.75,0.81,6.22,partly-cloudy-day,36.76,Mostly Cloudy
2017-01-03 18:00:00,41.81,6.81,0.75,0.82,6.22,partly-cloudy-day,37.43,Mostly Cloudy
2017-01-03 19:00:00,41.83,7.4,0.44,0.81,6.22,partly-cloudy-night,37.12,Partly Cloudy
2017-01-03 20:00:00,41.47,7.88,0.75,0.82,6.22,partly-cloudy-night,36.44,Mostly Cloudy
2017-01-03 21:00:00,40.94,5.34,0.75,0.83,6.22,partly-cloudy-night,37.33,Mostly Cloudy
2017-01-03 22:00:00,40.96,6.44,0.75,0.82,6.22,partly-cloudy-night,36.63,Mostly Cloudy
2017-01-03 23:00:00,41.13,5.71,0.75,0.82,6.22,partly-cloudy-night,37.29,Mostly Cloudy
2017-01-04 00:00:00,41.03,7,0.71,0.82,6.22,partly-cloudy-night,36.37,Mostly Cloudy
2017-01-04 01:00:00,41.07,6.43,0.71,0.82,6.22,partly-cloudy-night,36.76,Mostly Cloudy
2017-01-04 02:00:00,41.22,6.51,0.75,0.83,6.22,partly-cloudy-night,36.89,Mostly Cloudy
2017-01-04 03:00:00,41.9,6.97,0.78,0.82,6.22,partly-cloudy-night,37.44,Mostly Cloudy
2017-01-04 04:00:00,42.47,7.56,0.48,0.82,6.22,partly-cloudy-night,37.81,Partly Cloudy
2017-01-04 05:00:00,42.68,8.25,0.48,0.84,6.22,partly-cloudy-night,37.73,Partly Cloudy
2017-01-04 06:00:00,42.54,5.86,0.48,0.86,6.22,partly-cloudy-night,38.87,Partly Cloudy
2017-01-04 07:00:00,42.85,4.9,0.48,0.87,6.22,partly-cloudy-night,39.9,Partly Cloudy
2017-01-04 08:00:00,43.07,6.92,0.78,0.89,6.22,partly-cloudy-night,38.88,Mostly Cloudy
2017-01-04 09:00:00,43.49,6.47,0.48,0.9,6.05,partly-cloudy-night,39.64,Partly Cloudy
2017-01-04 10:00:00,43.7,6.75,0.75,0.91,6.21,partly-cloudy-night,39.73,Mostly Cloudy
