time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,45.7,2,0.75,0.9,5.59,rain,45.7,Light Rain
2017-01-01 04:00:00,44.05,0.94,0.75,0.92,6.22,rain,44.05,Light Rain
2017-01-01 05:00:00,42.66,0.65,0.75,0.93,6.22,rain,42.66,Light Rain
2017-01-01 06:00:00,42.11,2.11,0.75,0.93,4.97,rain,42.11,Light Rain
2017-01-01 07:00:00,40.69,2.78,0.75,0.92,6.22,rain,40.69,Light Rain
2017-01-01 08:00:00,39.92,3.04,0.75,0.91,6.22,rain,38.23,Light Rain
2017-01-01 09:00:00,39.8,2.72,0.75,0.91,5.92,partly-cloudy-night,39.8,Mostly Cloudy
2017-01-01 10:00:00,39.85,3.25,0.46,0.9,6.22,partly-cloudy-night,37.91,Partly Cloudy
2017-01-01 11:00:00,39.42,3,0.44,0.9,6.22,partly-cloudy-night,37.71,Partly Cloudy
2017-01-01 12:00:00,38.7,3.85,0.44,0.89,6.22,partly-cloudy-day,35.97,Partly Cloudy
2017-01-01 13:00:00,38.21,5.37,0.31,0.89,6.22,partly-cloudy-day,34.08,Partly Cloudy
2017-01-01 14:00:00,38.14,4.27,0.31,0.88,5.62,partly-cloudy-day,34.91,Partly Cloudy
2017-01-01 15:00:00,38.74,4.16,0.31,0.85,6.22,partly-cloudy-day,35.72,Partly Cloudy
2017-01-01 16:00:00,39.72,4.23,0.31,0.82,6.22,partly-cloudy-day,36.79,Partly Cloudy
2017-01-01 17:00:00,40.18,4.22,0.59,0.8,6.22,partly-cloudy-day,37.33,Partly Cloudy
2017-01-01 18:00:00,38.97,3.42,0.6,0.84,6.22,partly-cloudy-day,36.71,Mostly Cloudy
2017-01-01 19:00:00,38.02,3.75,0.44,0.87,6.22,partly-cloudy-night,35.28,Partly Cloudy
2017-01-01 20:00:00,36.87,2.87,0.75,0.91,6.22,partly-cloudy-night,36.87,Mostly Cloudy
2017-01-01 21:00:00,37.04,2.89,0.44,0.9,5.02,partly-cloudy-night,37.04,Partly Cloudy
2017-01-01 22:00:00,36.98,2.81,0.44,0.9,6.22,partly-cloudy-night,36.98,Partly Cloudy
2017-01-01 23:00:00,37.98,3.02,0.44,0.89,6.22,partly-cloudy-night,36.06,Partly Cloudy
2017-01-02 00:00:00,38.25,3.39,0.44,0.89,6.22,partly-cloudy-night,35.94,Partly Cloudy
2017-01-02 01:00:00,38.33,3.6,0.44,0.85,6.22,partly-cloudy-night,35.8,Partly Cloudy
2017-01-02 02:00:00,38.04,2.18,0.19,0.83,6.22,clear-night,38.04,Clear
2017-01-02 03:00:00,37.41,1.75,0.19,0.84,6.22,clear-night,37.41,Clear
2017-01-02 04:00:00,36.15,2.23,0.44,0.88,6.22,partly-cloudy-night,36.15,Partly Cloudy
2017-01-02 05:00:00,35.59,1.81,0.44,0.88,6.22,partly-cloudy-night,35.59,Partly Cloudy
2017-01-02 06:00:00,35.26,3.68,0.19,0.9,6.22,clear-night,32.19,Clear
2017-01-02 07:00:00,34.33,2.42,0.19,0.91,6.22,clear-night,34.33,Clear
2017-01-02 08:00:00,33.83,3.11,0.19,0.91,6.22,clear-night,31.24,Clear
2017-01-02 09:00:00,33.16,2.41,0.19,0.89,6.22,clear-night,33.16,Clear
2017-01-02 10:00:00,32.48,2.93,,0.89,6.22,clear-night,32.48,Clear
2017-01-02 11:00:00,32.5,2.99,0.19,0.86,6.22,clear-night,32.5,Clear
2017-01-02 12:00:00,32.42,2.83,0.19,0.86,6.22,clear-day,32.42,Clear
2017-01-02 13:00:00,32.92,2.33,0.19,0.85,6.22,clear-day,32.92,Clear
2017-01-02 14:00:00,35.03,2.88,,0.81,6.22,clear-day,35.03,Clear
