time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,40.72,1.94,0.44,0.88,6.22,partly-cloudy-night,40.72,Partly Cloudy
2017-01-01 04:00:00,39.59,1.17,0.19,0.89,6.22,clear-night,39.59,Clear
2017-01-01 05:00:00,39.21,2.85,,0.85,6.22,clear-night,39.21,Clear
2017-01-01 06:00:00,38.18,1.15,,0.82,6.22,clear-night,38.18,Clear
2017-01-01 07:00:00,36.97,1.93,,0.83,6.22,clear-night,36.97,Clear
2017-01-01 08:00:00,35.13,0.56,0.19,0.85,6.22,clear-night,35.13,Clear
2017-01-01 09:00:00,35.67,3.06,,0.81,6.22,clear-night,33.39,Clear
2017-01-01 10:00:00,34.97,1.49,,0.83,6.22,clear-night,34.97,Clear
2017-01-01 11:00:00,35.24,2.03,0.44,0.82,6.22,partly-cloudy-night,35.24,Partly Cloudy
2017-01-01 12:00:00,34.38,2.05,0.19,0.84,6.22,clear-day,34.38,Clear
2017-01-01 13:00:00,35.67,1.89,0.19,0.8,6.22,clear-day,35.67,Clear
2017-01-01 14:00:00,38.06,3.61,,0.76,6.22,clear-day,35.47,Clear
2017-01-01 15:00:00,39.35,4.88,0.19,0.76,6.22,clear-day,35.8,Clear
2017-01-01 16:00:00,40.33,6.07,0.75,0.78,6.22,partly-cloudy-day,36.1,Mostly Cloudy
2017-01-01 17:00:00,40.84,3.81,0.44,0.77,6.22,partly-cloudy-day,38.46,Partly Cloudy
2017-01-01 18:00:00,39.97,5.49,0.44,0.8,6.22,partly-cloudy-day,36.08,Partly Cloudy
2017-01-01 19:00:00,39.74,4.41,0.44,0.81,6.22,partly-cloudy-night,36.65,Partly Cloudy
2017-01-01 20:00:00,38.93,5.35,0.75,0.82,6.22,partly-cloudy-night,34.95,Mostly Cloudy
2017-01-01 21:00:00,38.53,5.12,0.75,0.8,6.22,partly-cloudy-night,34.65,Mostly Cloudy
2017-01-01 22:00:00,38.54,4.55,0.44,0.78,6.22,partly-cloudy-night,35.13,Partly Cloudy
2017-01-01 23:00:00,37.43,2.35,,0.79,6.22,clear-night,37.43,Clear
2017-01-02 00:00:00,35.87,2.49,,0.81,6.22,clear-night,35.87,Clear
2017-01-02 01:00:00,35.57,2.88,,0.79,6.22,clear-night,35.57,Clear
2017-01-02 02:00:00,34.94,2.97,,0.79,6.22,clear-night,34.94,Clear
2017-01-02 03:00:00,34.38,2.4,,0.8,6.22,clear-night,34.38,Clear
2017-01-02 04:00:00,31.89,2.03,,0.83,6.22,clear-night,31.89,Clear
2017-01-02 05:00:00,31.96,2.1,,0.84,6.22,clear-night,31.96,Clear
2017-01-02 06:00:00,32.6,2.24,,0.8,6.22,clear-night,32.6,Clear
2017-01-02 07:00:00,32.08,2.1,,0.81,,clear-night,32.08,Clear
2017-01-02 08:00:00,31.92,2.87,,0.81,,clear-night,31.92,Clear
2017-01-02 09:00:00,32.08,3.15,,0.79,,clear-night,29.21,Clear
2017-01-02 10:00:00,31.6,3.77,,0.8,6.22,clear-night,27.87,Clear
2017-01-02 11:00:00,30.95,4.03,,0.83,6.22,clear-night,26.83,Clear
2017-01-02 12:00:00,31.11,4.52,0.19,0.84,6.22,clear-day,26.49,Clear
2017-01-02 13:00:00,32.39,6.46,,0.83,6.22,clear-day,26.35,Clear
2017-01-02 14:00:00,34.31,5.58,0.19,0.82,6.22,clear-day,29.31,Clear
2017-01-02 15:00:00,35.83,5.43,0.19,0.8,9.4,clear-day,31.22,Clear
2017-01-02 16:00:00,37.96,6.17,,0.78,9.4,clear-day,33.21,Clear
2017-01-02 17:00:00,40.01,5.69,0.19,0.75,6.22,clear-day,35.98,Clear
2017-01-02 18:00:00,39.95,5.03,0.19,0.78,6.22,clear-day,36.39,Clear
2017-01-02 19:00:00,38.52,5.24,,0.83,6.22,clear-night,34.55,Clear
2017-01-02 20:00:00,37.55,4.78,,0.86,6.22,clear-night,33.78,Clear
2017-01-02 21:00:00,35.95,5.01,0,0.9,6.22,clear-night,31.7,Clear
2017-01-02 22:00:00,35.93,5.44,,0.92,6.22,clear-night,31.33,Clear
2017-01-02 23:00:00,35.73,6.19,,0.92,6.22,clear-night,30.54,Clear
2017-01-03 00:00:00,36.61,4.69,0.19,0.88,6.22,clear-night,32.76,Clear
2017-01-03 01:00:00,36.96,5.18,0.44,0.89,6.22,partly-cloudy-night,32.75,Partly Cloudy
2017-01-03 02:00:00,37.97,4.72,0.44,0.89,6.22,partly-cloudy-night,34.33,Partly Cloudy
2017-01-03 03:00:00,38.3,7.1,0.44,0.88,6.22,partly-cloudy-night,33.03,Partly Cloudy
2017-01-03 04:00:00,39.5,7.44,0.19,0.87,6.22,clear-night,34.28,Clear
2017-01-03 05:00:00,40.18,7.5,0.44,0.88,6.22,partly-cloudy-night,35.07,Partly Cloudy
2017-01-03 06:00:00,40.61,7.54,,0.87,6.22,clear-night,35.57,Clear
2017-01-03 07:00:00,40.67,7.14,,0.88,6.22,clear-night,35.87,Clear
2017-01-03 08:00:00,41.18,7.27,,0.88,6.22,clear-night,36.4,Clear
2017-01-03 09:00:00,42.32,7.96,,0.87,9.4,clear-night,37.43,Clear
2017-01-03 10:00:00,42.76,8.22,0.19,0.88,9.4,clear-night,37.84,Clear
2017-01-03 11:00:00,43.24,9.07,0.44,0.89,6.22,partly-cloudy-night,38.05,Partly Cloudy
2017-01-03 12:00:00,43.76,9.71,0.44,0.9,6.22,partly-cloudy-day,38.42,Partly Cloudy
2017-01-03 13:00:00,44.67,9.76,0.44,0.88,6.22,partly-cloudy-day,39.52,Partly Cloudy
2017-01-03 14:00:00,45.29,9.73,0.44,0.86,6.22,partly-cloudy-day,40.3,Partly Cloudy
2017-01-03 15:00:00,45.55,9.99,0.75,0.85,9.4,partly-cloudy-day,40.53,Mostly Cloudy
