time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,46.11,0.94,,0.9,,clear-night,46.11,Clear
2017-01-01 04:00:00,46.42,0.46,,0.9,,clear-night,46.42,Clear
2017-01-01 05:00:00,46.55,1.16,,0.9,,clear-night,46.55,Clear
2017-01-01 06:00:00,47.78,1.92,,0.89,,clear-night,47.78,Clear
2017-01-01 07:00:00,47.43,1.43,,0.89,,rain,47.43,Light Rain
2017-01-01 08:00:00,47.19,1.33,,0.9,,rain,47.19,Light Rain
2017-01-01 09:00:00,46.94,1.13,,0.89,,clear-night,46.94,Clear
2017-01-01 10:00:00,46.28,1.79,,0.9,,clear-night,46.28,Clear
2017-01-01 11:00:00,47.13,1.33,0.75,0.87,6.22,partly-cloudy-night,47.13,Mostly Cloudy
2017-01-01 12:00:00,47.98,2.84,0.75,0.89,6.22,partly-cloudy-day,47.98,Mostly Cloudy
2017-01-01 13:00:00,47.96,3.17,0.75,0.89,6.22,rain,47.21,Light Rain
2017-01-01 14:00:00,48.38,1.87,0.44,0.88,6.22,rain,48.38,Light Rain
2017-01-01 15:00:00,48.39,1.36,0.44,0.9,6.22,rain,48.39,Light Rain
2017-01-01 16:00:00,45.99,3,0.75,0.91,4.97,rain,45.99,Light Rain
2017-01-01 17:00:00,43.87,4.37,0.75,0.91,6.22,rain,41.48,Light Rain
2017-01-01 18:00:00,41.13,7.39,0.75,0.89,4.35,rain,36.29,Light Rain
2017-01-01 19:00:00,39.49,5.74,0.75,0.9,6.22,rain,35.32,Light Rain
2017-01-01 20:00:00,38.9,8.13,0.44,0.88,6.22,rain,33.18,Light Rain
2017-01-01 21:00:00,38.47,8.15,0.44,0.9,6.22,rain,32.65,Light Rain
2017-01-01 22:00:00,39.12,7.98,0.44,0.88,6.22,partly-cloudy-night,33.53,Partly Cloudy
2017-01-01 23:00:00,39.56,8.6,0.44,0.89,6.22,rain,33.75,Light Rain
2017-01-02 00:00:00,39.75,7.66,0.44,0.9,6.22,partly-cloudy-night,34.47,Partly Cloudy
2017-01-02 01:00:00,39.39,8.32,0.44,0.87,6.22,partly-cloudy-night,33.68,Partly Cloudy
2017-01-02 02:00:00,39.17,8.39,0.44,0.86,6.22,partly-cloudy-night,33.37,Partly Cloudy
2017-01-02 03:00:00,38.89,6.8,,0.86,,clear-night,33.92,Clear
2017-01-02 04:00:00,38.13,6.15,,0.87,,clear-night,33.43,Clear
2017-01-02 05:00:00,37.77,5.49,,0.87,,clear-night,33.47,Clear
2017-01-02 06:00:00,37.36,5.21,,0.87,,clear-night,33.2,Clear
2017-01-02 07:00:00,36.62,4.61,,0.87,,clear-night,32.84,Clear
2017-01-02 08:00:00,36.14,4.53,,0.87,,clear-night,32.35,Clear
2017-01-02 09:00:00,36,5.87,,0.87,6.21,clear-night,31.09,Clear
2017-01-02 10:00:00,36.02,6.25,,0.87,6.22,clear-night,30.84,Clear
2017-01-02 11:00:00,35.77,6.04,0.19,0.87,6.22,clear-night,30.69,Clear
2017-01-02 12:00:00,35.86,6.08,0.19,0.87,6.22,clear-day,30.77,Clear
2017-01-02 13:00:00,37.18,7.05,0.19,0.85,6.22,clear-day,31.7,Clear
2017-01-02 14:00:00,38.82,6.92,,0.82,6.22,clear-day,33.77,Clear
2017-01-02 15:00:00,40.21,6.55,,0.81,6.22,clear-day,35.66,Clear
2017-01-02 16:00:00,41.23,4.53,0.19,0.78,6.22,clear-day,38.29,Clear
2017-01-02 17:00:00,41.37,4.85,0.19,0.77,6.22,clear-day,38.2,Clear
2017-01-02 18:00:00,40.99,4.97,0.19,0.76,6.22,clear-day,37.66,Clear
2017-01-02 19:00:00,39.14,3.84,,0.78,6.22,clear-day,36.48,Clear
2017-01-02 20:00:00,37.08,1.72,,0.82,6.22,clear-night,37.08,Clear
2017-01-02 21:00:00,35.51,1.38,,0.83,6.22,clear-night,35.51,Clear
2017-01-02 22:00:00,34.33,2.08,,0.85,6.22,clear-night,34.33,Clear
2017-01-02 23:00:00,33.34,0.64,,0.84,6.22,clear-night,33.34,Clear
2017-01-03 00:00:00,32.31,0.5,,0.85,6.22,clear-night,32.31,Clear
2017-01-03 01:00:00,30.78,1,,0.87,6.22,clear-night,30.78,Clear
