time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,35.12,0,,0.97,,clear-night,35.12,Clear
2017-01-01 04:00:00,36.12,0,,0.95,,clear-night,36.12,Clear
2017-01-01 05:00:00,37.09,0,,0.94,,rain,37.09,Drizzle
2017-01-01 15:00:00,40.1,0,,0.8,,clear-day,40.1,Clear
2017-01-01 16:00:00,41.1,0,,0.8,,clear-day,41.1,Clear
2017-01-01 17:00:00,41.1,0,,0.78,,clear-day,41.1,Clear
2017-01-01 18:00:00,40.1,0,,0.8,,clear-day,40.1,Clear
2017-01-01 19:00:00,38.12,0,,0.79,,clear-night,38.12,Clear
2017-01-01 20:00:00,36.12,0,,0.82,,clear-night,36.12,Clear
2017-01-01 21:00:00,35.12,0,,0.89,,clear-night,35.12,Clear
2017-01-01 22:00:00,35.12,0,,0.88,,clear-night,35.12,Clear
2017-01-01 23:00:00,33.12,0,,0.87,,clear-night,33.12,Clear
2017-01-02 00:00:00,32.12,0,,0.91,,clear-night,32.12,Clear
2017-01-02 01:00:00,31.87,0,,0.85,,clear-night,31.87,Clear
2017-01-02 02:00:00,34.08,1.1,,0.71,,clear-night,34.08,Clear
2017-01-02 03:00:00,34.61,1.05,,0.74,,clear-night,34.61,Clear
2017-01-02 04:00:00,35.12,5.82,,0.8,,clear-night,30.08,Clear
2017-01-02 05:00:00,34.31,6.49,,0.69,,clear-night,28.63,Clear
2017-01-02 06:00:00,32.53,7.33,,0.73,,clear-night,25.92,Clear
2017-01-02 07:00:00,32.3,4.35,,0.73,,clear-night,28.06,Clear
2017-01-02 08:00:00,33.98,4.35,,0.74,,clear-night,30.01,Clear
2017-01-02 09:00:00,34.49,5.59,,0.74,,clear-night,29.52,Clear
2017-01-02 10:00:00,34.38,7.35,,0.75,,clear-night,28.14,Clear
2017-01-02 11:00:00,34.63,6.09,,0.72,,clear-night,29.29,Clear
2017-01-02 12:00:00,35.11,2.99,,0.74,,clear-night,35.11,Clear
2017-01-02 13:00:00,37.3,9.18,,0.76,,clear-day,30.69,Clear
2017-01-02 14:00:00,38.75,3.86,,0.77,,rain,36.01,Light Rain
2017-01-02 15:00:00,39.48,7.35,,0.8,,rain,34.32,Drizzle
2017-01-02 16:00:00,40.03,6.35,,0.81,,rain,35.56,Drizzle
2017-01-02 17:00:00,40.39,4.69,,0.82,,clear-day,37.17,Clear
2017-01-02 18:00:00,41.26,6.54,,0.77,,clear-day,36.93,Clear
2017-01-02 19:00:00,41.81,7.91,,0.75,,clear-night,36.84,Clear
2017-01-02 20:00:00,40.39,7.58,,0.79,,clear-night,35.28,Clear
2017-01-02 21:00:00,40.35,3.17,,0.83,,clear-night,38.57,Clear
2017-01-02 22:00:00,40.87,4.43,,0.81,,clear-night,37.95,Clear
2017-01-02 23:00:00,41.1,5.82,,0.8,,clear-night,37.18,Clear
2017-01-03 00:00:00,42.09,6.54,,0.74,,clear-night,37.92,Clear
2017-01-03 01:00:00,42.09,2.91,,0.74,,clear-night,42.09,Clear
2017-01-03 02:00:00,42.88,5.04,,0.74,,clear-night,39.83,Clear
2017-01-03 03:00:00,43.11,5.82,,0.73,,clear-night,39.58,Clear
2017-01-03 04:00:00,43.79,8.05,,0.71,,clear-night,39.18,Clear
2017-01-03 05:00:00,43.71,11.62,,0.71,,clear-night,37.64,Clear
2017-01-03 06:00:00,43.95,11.28,,0.71,,clear-night,38.06,Clear
2017-01-03 07:00:00,43.54,11.98,,0.74,,clear-night,37.31,Clear
2017-01-03 08:00:00,44.64,12.31,,0.73,,clear-night,38.58,Clear
2017-01-03 09:00:00,45.22,13.44,,0.7,,clear-night,38.96,Clear
2017-01-03 10:00:00,46.4,13.29,,0.69,,clear-night,40.5,Clear
2017-01-03 11:00:00,46.4,14.41,,0.68,,clear-night,40.19,Clear
2017-01-03 12:00:00,46.53,15.95,,0.67,,clear-night,39.95,Clear
2017-01-03 13:00:00,46.15,12.44,,0.82,,clear-day,40.45,Clear
2017-01-03 14:00:00,47.54,8.05,,0.75,,clear-day,43.75,Clear
2017-01-03 15:00:00,47.54,10.75,,0.79,,clear-day,42.73,Clear
2017-01-03 16:00:00,48.08,15.83,,0.81,,clear-day,41.99,Clear
2017-01-03 17:00:00,47.54,18.09,,0.84,,clear-day,40.78,Clear
2017-01-03 18:00:00,48.08,15.87,,0.81,,clear-day,41.98,Clear
2017-01-03 19:00:00,48.08,15.88,,0.81,,clear-night,41.98,Clear
2017-01-03 20:00:00,47.09,13.09,,0.84,,clear-night,41.44,Clear
2017-01-03 21:00:00,46.84,10.74,,0.82,,clear-night,41.86,Clear
2017-01-03 22:00:00,46.64,9.08,,0.75,,clear-night,42.23,Clear
2017-01-03 23:00:00,46.13,9.18,,0.85,,clear-night,41.56,Clear
2017-01-04 00:00:00,45.57,9.18,,0.8,,clear-night,40.87,Clear
2017-01-04 01:00:00,44.09,8.07,,0.8,,clear-night,39.54,Clear
2017-01-04 02:00:00,44.66,6.93,,0.77,,clear-night,40.79,Clear
2017-01-04 03:00:00,43.11,8.05,,0.75,,clear-night,38.36,Clear
2017-01-04 04:00:00,42.09,6.93,,0.73,,clear-night,37.7,Clear
2017-01-04 05:00:00,41.62,13.69,,0.66,,clear-night,34.31,Clear
2017-01-04 06:00:00,41.23,14.24,,0.65,,clear-night,33.65,Clear
2017-01-04 07:00:00,40.57,10.94,,0.65,,clear-night,33.97,Clear
2017-01-04 08:00:00,39.07,12.02,,0.62,,clear-night,31.67,Clear
2017-01-04 09:00:00,39.17,13.12,,0.63,,clear-night,31.4,Clear
2017-01-04 10:00:00,39.13,13.73,,0.61,,clear-night,31.13,Clear
2017-01-04 11:00:00,38.42,12.36,,0.61,,clear-night,30.72,Clear
2017-01-04 12:00:00,37.58,5.05,,0.65,,clear-night,33.59,Clear
2017-01-04 13:00:00,37.83,8.42,,0.65,,clear-day,31.71,Clear
2017-01-04 14:00:00,39.11,0,,0.64,,clear-day,39.11,Clear
2017-01-04 15:00:00,39.45,6.98,,0.6,,clear-day,34.48,Clear
2017-01-04 16:00:00,39.99,6.93,,0.59,,clear-day,35.17,Clear
2017-01-04 17:00:00,40.1,5.49,,0.58,,clear-day,36.23,Clear
2017-01-04 18:00:00,38.38,6.93,,0.62,,clear-day,33.22,Clear
2017-01-04 19:00:00,34.95,0,,0.71,,clear-night,34.95,Clear
2017-01-04 20:00:00,35.66,3.17,,0.68,,clear-night,33.25,Clear
2017-01-04 21:00:00,34.07,2.24,,0.71,,clear-night,34.07,Clear
2017-01-04 22:00:00,33.73,0,,0.73,,clear-night,33.73,Clear
2017-01-04 23:00:00,33.17,2.24,,0.71,,clear-night,33.17,Clear
2017-01-05 00:00:00,33.17,0.2,,0.74,,clear-night,33.17,Clear
2017-01-05 01:00:00,33.17,0.75,,0.78,,clear-night,33.17,Clear
2017-01-05 02:00:00,33.32,3.36,,0.8,,clear-night,30.34,Clear
2017-01-05 03:00:00,33.17,1.1,,0.74,,clear-night,33.17,Clear
2017-01-05 04:00:00,33.73,4.42,,0.65,,clear-night,29.65,Clear
2017-01-05 05:00:00,31.47,4.95,,0.69,,clear-night,26.5,Clear
2017-01-05 06:00:00,31.53,3.88,,0.7,,clear-night,27.68,Clear
2017-01-05 07:00:00,31.79,3.97,,0.7,,clear-night,27.87,Clear
2017-01-05 08:00:00,33.06,7.73,,0.67,,clear-night,26.3,Clear
2017-01-05 09:00:00,33.73,8.78,,0.65,,clear-night,26.5,Clear
2017-01-05 10:00:00,33.92,8.93,,0.66,,clear-night,26.66,Clear
2017-01-05 11:00:00,34.45,12.64,,0.64,,clear-night,25.6,Clear
2017-01-05 12:00:00,34.53,11.14,,0.64,,clear-night,26.34,Clear
2017-01-05 13:00:00,33.87,10.12,,0.65,,clear-day,25.98,Clear
2017-01-05 14:00:00,34.24,9.03,,0.67,,clear-day,27,Clear
2017-01-05 15:00:00,35.87,13.88,,0.66,,clear-day,26.93,Clear
2017-01-05 16:00:00,35.88,11.39,,0.69,,clear-day,27.91,Clear
2017-01-05 17:00:00,37.47,8.05,,0.65,,clear-day,31.48,Clear
2017-01-05 18:00:00,35.48,10.29,,0.71,,clear-day,27.9,Clear
2017-01-05 19:00:00,36.4,13.88,,0.69,,clear-night,27.61,Clear
2017-01-05 20:00:00,36.92,11.39,,0.72,,clear-night,29.21,Clear
2017-01-05 21:00:00,38.38,11.39,,0.7,,clear-night,31.04,Clear
2017-01-05 22:00:00,39.45,16.1,,0.69,,clear-night,30.8,Clear
2017-01-05 23:00:00,39.99,14.99,,0.71,,clear-night,31.83,Clear
2017-01-06 00:00:00,41.09,17.22,,0.71,,clear-night,32.61,Clear
2017-01-06 01:00:00,41.81,14.99,,0.72,,clear-night,34.16,Clear
2017-01-06 02:00:00,42.09,13.88,,0.75,,clear-night,34.85,Clear
2017-01-06 03:00:00,44.09,7.95,,0.74,,clear-night,39.59,Clear
2017-01-06 04:00:00,44.09,8.05,,0.77,,clear-night,39.55,Clear
2017-01-06 05:00:00,44.34,20.81,,0.74,,clear-night,36,Clear
2017-01-06 06:00:00,45.3,21.87,,0.75,,clear-night,37.06,Clear
2017-01-06 07:00:00,44.96,17.87,,0.77,,clear-night,37.46,Clear
2017-01-06 08:00:00,45.79,16.39,,0.77,,clear-night,38.9,Clear
2017-01-06 09:00:00,47.41,15.5,,0.75,,clear-night,41.21,Clear
2017-01-06 10:00:00,47.41,14.41,,0.76,,clear-night,41.48,Clear
2017-01-06 11:00:00,47.06,10.03,,0.77,,clear-night,42.38,Clear
2017-01-06 12:00:00,47.41,10.99,,0.77,,clear-night,42.49,Clear
2017-01-06 13:00:00,47.09,5.82,,0.86,,clear-day,44.3,Clear
2017-01-06 14:00:00,48.09,8.05,,0.84,,clear-day,44.42,Clear
2017-01-06 15:00:00,48.09,8.05,,0.85,,clear-day,44.42,Clear
2017-01-06 16:00:00,50.09,2.24,,0.81,,clear-day,50.09,Clear
2017-01-06 17:00:00,51.09,4.69,,0.81,,clear-day,51.09,Clear
2017-01-06 18:00:00,48.09,3.78,,0.88,,clear-day,46.84,Clear
2017-01-06 19:00:00,49.1,1.46,,0.86,,clear-night,49.1,Clear
2017-01-06 20:00:00,49.1,0.75,,0.85,,clear-night,49.1,Clear
2017-01-06 21:00:00,48.09,0,,0.87,,clear-night,48.09,Clear
2017-01-06 22:00:00,46.65,0.72,,0.9,,clear-night,46.65,Clear
2017-01-06 23:00:00,47.38,3.17,,0.86,,clear-night,46.56,Clear
2017-01-07 00:00:00,48.46,4.69,,0.83,,clear-night,46.61,Clear
2017-01-07 01:00:00,47.18,4.42,,0.82,,clear-night,45.31,Clear
2017-01-07 02:00:00,47.38,4.69,,0.8,,clear-night,45.35,Clear
2017-01-07 03:00:00,47.73,3.44,,0.81,,clear-night,46.71,Clear
2017-01-07 04:00:00,47.18,4.69,,0.72,,clear-night,45.12,Clear
2017-01-07 05:00:00,47.68,4.23,,0.74,,clear-night,46.02,Clear
2017-01-07 06:00:00,47.4,3.94,,0.81,,clear-night,45.91,Clear
2017-01-07 07:00:00,47.46,4.74,,0.74,,clear-night,45.41,Clear
2017-01-07 08:00:00,46.62,3.82,,0.75,,clear-night,45.12,Clear
2017-01-07 09:00:00,46.21,6.21,,0.75,,clear-night,43.03,Clear
2017-01-07 10:00:00,46.09,4.88,,0.75,,clear-night,43.71,Clear
2017-01-07 11:00:00,45.26,3.88,,0.8,,clear-night,43.5,Clear
2017-01-07 12:00:00,44.61,5.03,,0.81,,clear-night,41.87,Clear
2017-01-07 13:00:00,42.68,5.82,,0.8,,clear-day,39.06,Clear
2017-01-07 14:00:00,41.81,5.72,,0.82,,clear-day,38.1,Clear
2017-01-07 15:00:00,42.15,5.82,,0.87,,clear-day,38.43,Clear
2017-01-07 16:00:00,44.51,6.93,,0.84,,rain,40.61,Drizzle
2017-01-07 17:00:00,46.48,3.17,,0.81,,rain,45.53,Drizzle
2017-01-07 18:00:00,45.57,0,,0.84,,clear-day,45.57,Clear
2017-01-07 19:00:00,44.85,1.12,,0.86,,clear-night,44.85,Clear
2017-01-07 20:00:00,46.31,2.24,,0.84,,clear-night,46.31,Clear
2017-01-07 21:00:00,46.65,4.69,,0.74,,clear-night,44.49,Clear
2017-01-07 22:00:00,49,9.18,,0.77,,clear-night,45.09,Clear
2017-01-07 23:00:00,48.46,6.93,,0.72,,clear-night,45.36,Clear
2017-01-08 00:00:00,47.18,3.56,,0.84,,clear-night,45.97,Clear
2017-01-08 01:00:00,49.18,8.05,,0.81,,clear-night,45.75,Clear
2017-01-08 02:00:00,49.35,8.05,,0.8,,clear-night,45.96,Clear
2017-01-08 03:00:00,49.53,10.29,,0.79,,clear-night,45.36,Clear
2017-01-08 04:00:00,48.08,0.37,,0.83,,clear-night,48.08,Clear
2017-01-08 05:00:00,47.33,6.51,,0.82,,clear-night,44.22,Clear
2017-01-08 06:00:00,48.21,7.01,,0.75,,clear-night,45.03,Clear
2017-01-08 07:00:00,48.21,9.79,,0.74,,clear-night,43.89,Clear
2017-01-08 08:00:00,47.17,8.53,,0.43,,clear-night,43.1,Clear
2017-01-08 09:00:00,48.37,8.11,,0.82,,clear-night,44.73,Clear
2017-01-08 10:00:00,49.45,10.85,,0.79,,clear-night,45.08,Clear
2017-01-08 11:00:00,49.51,8.4,,0.81,,clear-night,46.01,Clear
2017-01-08 12:00:00,49.39,12.28,,0.82,,clear-night,44.57,Clear
2017-01-08 13:00:00,49.7,13.55,,0.81,,clear-day,44.62,Clear
2017-01-08 14:00:00,49.87,11.9,,0.82,,clear-day,45.29,Clear
2017-01-08 15:00:00,50.09,8.05,,0.86,,clear-day,50.09,Clear
2017-01-08 16:00:00,52.08,10.29,,0.82,,clear-day,52.08,Clear
2017-01-08 17:00:00,51.09,9.18,,0.84,,clear-day,51.09,Clear
2017-01-08 18:00:00,50.26,7.91,,0.86,,clear-day,50.26,Clear
2017-01-08 19:00:00,50.26,11.39,,0.85,,clear-night,50.26,Clear
2017-01-08 20:00:00,49.18,3.36,,0.87,,clear-night,48.43,Clear
2017-01-08 21:00:00,49.9,10.29,,0.86,,clear-night,45.81,Clear
2017-01-08 22:00:00,50.07,8.05,,0.84,,clear-night,50.07,Clear
2017-01-08 23:00:00,50.26,11.39,,0.85,,clear-night,50.26,Clear
2017-01-09 00:00:00,50.26,13.88,,0.85,,clear-night,50.26,Clear
2017-01-09 01:00:00,49.35,12.76,,0.87,,clear-night,44.39,Clear
2017-01-09 02:00:00,50.26,11.39,,0.83,,clear-night,50.26,Clear
2017-01-09 03:00:00,49.35,18.36,,0.83,,clear-night,43.08,Clear
2017-01-09 04:00:00,49.71,17.22,,0.84,,clear-night,43.78,Clear
2017-01-09 05:00:00,50.61,30.47,,0.71,,wind,50.61,Windy
2017-01-09 06:00:00,49.53,28.6,,0.79,,wind,41.6,Windy
2017-01-09 07:00:00,48.59,29.16,,0.83,,wind,40.24,Windy
2017-01-09 08:00:00,48.34,30,,0.83,,wind,39.79,Windy
2017-01-09 09:00:00,44.9,26.32,,0.69,,wind,35.7,Windy
2017-01-09 10:00:00,42.93,18.64,,0.67,,clear-night,34.63,Clear
2017-01-09 11:00:00,42.79,18.21,,0.62,,clear-night,34.56,Clear
2017-01-09 12:00:00,42.09,19.78,,0.61,,clear-night,33.27,Clear
2017-01-09 13:00:00,40.92,13.88,,0.76,,clear-day,33.36,Clear
2017-01-09 14:00:00,38.75,8.05,,0.81,,clear-day,33.04,Clear
2017-01-09 15:00:00,39.67,11.39,,0.82,,rain,32.65,Light Rain
2017-01-09 16:00:00,40.53,23.65,,0.67,,clear-day,30.36,Clear
2017-01-09 17:00:00,41.4,27.8,,0.62,,wind,30.74,Windy
2017-01-09 18:00:00,39.11,10.29,,0.79,,rain,32.41,Light Rain
2017-01-09 19:00:00,39.12,12.76,,0.81,,rain,31.45,Light Rain
2017-01-09 20:00:00,39.45,11.39,,0.81,,rain,32.38,Drizzle
2017-01-09 21:00:00,40.92,16.1,,0.79,,rain,32.69,Light Rain
2017-01-09 22:00:00,39.99,19.45,,0.82,,rain,30.6,Light Rain
2017-01-09 23:00:00,40.92,12.76,,0.78,,rain,33.73,Light Rain
2017-01-10 00:00:00,40.92,8.12,,0.81,,rain,35.65,Rain
2017-01-10 01:00:00,42.13,8.66,,0.8,,rain,36.87,Light Rain
2017-01-10 02:00:00,42.7,11.39,,0.8,,rain,36.46,Light Rain
2017-01-10 03:00:00,43.11,9.18,,0.81,,rain,37.84,Rain
2017-01-10 04:00:00,43.94,10.12,,0.77,,rain,38.48,Light Rain
2017-01-10 05:00:00,43.63,15.12,,0.71,,clear-night,36.45,Clear
2017-01-10 06:00:00,44.08,13.46,,0.7,,clear-night,37.51,Clear
2017-01-10 07:00:00,45.01,13.88,,0.65,,clear-night,38.57,Clear
2017-01-10 08:00:00,44.9,11.56,,0.65,,clear-night,39.15,Clear
2017-01-10 09:00:00,44.96,13.79,,0.67,,clear-night,38.53,Clear
2017-01-10 10:00:00,45.2,12.2,,0.69,,clear-night,39.32,Clear
2017-01-10 11:00:00,45.69,14.37,,0.67,,clear-night,39.3,Clear
2017-01-10 12:00:00,45.21,12.99,,0.72,,clear-night,39.08,Clear
2017-01-10 13:00:00,44.09,10.29,,0.77,,clear-day,38.6,Clear
2017-01-10 14:00:00,44.09,8.05,,0.76,,clear-day,39.55,Clear
2017-01-10 15:00:00,44.88,6.93,,0.83,,clear-day,41.06,Clear
2017-01-10 16:00:00,45.11,12.76,,0.84,,clear-day,39.03,Clear
2017-01-10 17:00:00,47.09,11.39,,0.84,,clear-day,41.96,Clear
