time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,40.65,4.36,0.44,0.84,6.22,partly-cloudy-night,37.75,Partly Cloudy
2017-01-01 04:00:00,39.14,3.54,0.19,0.86,6.22,clear-night,36.78,Clear
2017-01-01 05:00:00,37.9,1.51,0.19,0.85,6.22,clear-night,37.9,Clear
2017-01-01 06:00:00,37.5,1.27,0.19,0.82,6.22,clear-night,37.5,Clear
2017-01-01 07:00:00,35.82,1.06,0.19,0.84,6.22,clear-night,35.82,Clear
2017-01-01 08:00:00,35.5,0.79,0.19,0.81,6.22,clear-night,35.5,Clear
2017-01-01 09:00:00,34.79,2.16,0.41,0.83,6.22,partly-cloudy-night,34.79,Partly Cloudy
2017-01-01 10:00:00,33.17,0.72,0.19,0.84,6.22,clear-night,33.17,Clear
2017-01-01 11:00:00,32.74,3.32,0.19,0.84,6.22,clear-night,29.72,Clear
2017-01-01 12:00:00,33.97,0.73,0.41,0.8,6.22,partly-cloudy-day,33.97,Partly Cloudy
2017-01-01 13:00:00,34.37,2.47,0.41,0.82,6.22,partly-cloudy-day,34.37,Partly Cloudy
2017-01-01 14:00:00,37.45,1.82,0.19,0.77,6.22,clear-day,37.45,Clear
2017-01-01 15:00:00,39.44,4.94,0.68,0.76,6.22,partly-cloudy-day,35.86,Mostly Cloudy
2017-01-01 16:00:00,40.39,6.58,0.41,0.73,6.22,partly-cloudy-day,35.86,Partly Cloudy
2017-01-01 17:00:00,41.32,5.76,0.19,0.71,6.22,clear-day,37.49,Clear
2017-01-01 18:00:00,40.83,6.2,0.19,0.74,6.22,clear-day,36.62,Clear
2017-01-01 19:00:00,39.95,6.76,0.19,0.76,6.22,clear-night,35.22,Clear
2017-01-01 20:00:00,39.18,6.71,0.19,0.76,6.22,clear-night,34.33,Clear
2017-01-01 21:00:00,38.61,5.49,0.19,0.75,6.22,clear-night,34.46,Clear
2017-01-01 22:00:00,37.4,2.7,0.19,0.77,6.22,clear-night,37.4,Clear
2017-01-01 23:00:00,36.5,1.15,0.41,0.76,6.22,partly-cloudy-night,36.5,Partly Cloudy
2017-01-02 00:00:00,36.14,2.97,0.41,0.75,6.22,partly-cloudy-night,36.14,Partly Cloudy
2017-01-02 01:00:00,35.17,2.24,0.02,0.75,6.22,clear-night,35.17,Clear
2017-01-02 02:00:00,33.89,2.14,0.02,0.77,6.22,clear-night,33.89,Clear
2017-01-02 03:00:00,33.17,1.06,0.02,0.78,6.22,clear-night,33.17,Clear
2017-01-02 04:00:00,32,3.18,0.02,0.8,6.22,clear-night,29.07,Clear
2017-01-02 05:00:00,31.93,2.62,0.02,0.79,6.22,clear-night,31.93,Clear
2017-01-02 06:00:00,30.87,0.73,0.02,0.82,6.22,clear-night,30.87,Clear
2017-01-02 07:00:00,29.81,1.09,0.02,0.82,6.22,clear-night,29.81,Clear
2017-01-02 08:00:00,28.84,0.54,0.02,0.84,6.22,clear-night,28.84,Clear
2017-01-02 09:00:00,28.27,1.84,0.02,0.87,6.22,clear-night,28.27,Clear
2017-01-02 10:00:00,27.93,1.41,0.02,0.86,6.22,clear-night,27.93,Clear
2017-01-02 11:00:00,28.37,1.16,0.02,0.87,6.22,clear-night,28.37,Clear
2017-01-02 12:00:00,27.85,2.09,0.02,0.87,6.22,clear-day,27.85,Clear
2017-01-02 13:00:00,29.68,1.99,0.02,0.86,6.22,clear-day,29.68,Clear
2017-01-02 14:00:00,33.65,2.9,0.02,0.86,6.22,clear-day,33.65,Clear
2017-01-02 15:00:00,37.36,3.1,0.19,0.79,6.22,clear-day,35.26,Clear
