time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,41.39,0.45,0.75,0.87,6.22,partly-cloudy-night,41.39,Mostly Cloudy
2017-01-01 04:00:00,41.14,1.33,0.75,0.88,6.22,partly-cloudy-night,41.14,Mostly Cloudy
2017-01-01 05:00:00,39.86,0.34,0.75,0.87,4.35,partly-cloudy-night,39.86,Mostly Cloudy
2017-01-01 06:00:00,38.94,1.45,0.75,0.86,6.22,partly-cloudy-night,38.94,Mostly Cloudy
2017-01-01 07:00:00,37.98,1,0.44,0.86,6.22,partly-cloudy-night,37.98,Partly Cloudy
2017-01-01 08:00:00,36.66,1.36,0.75,0.86,6.22,partly-cloudy-night,36.66,Mostly Cloudy
2017-01-01 09:00:00,35.26,0.92,0.75,0.85,6.22,partly-cloudy-night,35.26,Mostly Cloudy
2017-01-01 10:00:00,34.64,0.97,0.75,0.86,6.22,partly-cloudy-night,34.64,Mostly Cloudy
2017-01-01 11:00:00,34.47,2.52,0.19,0.85,6.22,clear-night,34.47,Clear
2017-01-01 12:00:00,34.47,2.15,,0.85,6.22,clear-day,34.47,Clear
2017-01-01 13:00:00,34.34,1.85,,0.88,6.22,clear-day,34.34,Clear
2017-01-01 14:00:00,35.95,0.49,,0.86,6.22,clear-day,35.95,Clear
2017-01-01 15:00:00,37.91,1.33,,0.86,6.22,clear-day,37.91,Clear
2017-01-01 16:00:00,38.59,1.16,,0.83,6.22,clear-day,38.59,Clear
2017-01-01 17:00:00,39.24,1.55,0.75,0.85,6.22,partly-cloudy-day,39.24,Mostly Cloudy
2017-01-01 18:00:00,38.3,2.18,0.75,0.86,6.22,partly-cloudy-day,38.3,Mostly Cloudy
2017-01-01 19:00:00,37.72,1.8,0.75,0.85,6.22,partly-cloudy-night,37.72,Mostly Cloudy
2017-01-01 20:00:00,37.71,2.77,0.44,0.85,6.22,partly-cloudy-night,37.71,Partly Cloudy
