time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,46.75,7.22,0.75,0.85,6.22,partly-cloudy-night,43.17,Mostly Cloudy
2017-01-01 04:00:00,46.63,6.34,1,0.84,6.22,cloudy,43.47,Overcast
2017-01-01 05:00:00,46.42,7.05,1,0.85,6.22,cloudy,42.85,Overcast
2017-01-01 06:00:00,45.73,6.84,1,0.89,6.22,cloudy,42.13,Overcast
2017-01-01 07:00:00,44.61,6.07,0.75,0.92,6.22,partly-cloudy-night,41.21,Mostly Cloudy
2017-01-01 08:00:00,44.35,1.72,0.75,0.93,4.25,partly-cloudy-night,44.35,Mostly Cloudy
2017-01-01 09:00:00,43.52,1.37,0.75,0.97,4.86,rain,43.52,Light Rain
2017-01-01 10:00:00,41.82,6.05,0.75,0.97,4.54,partly-cloudy-night,37.89,Mostly Cloudy
2017-01-01 11:00:00,41.57,8.81,0.75,0.94,6.02,rain,36.11,Light Rain
2017-01-01 12:00:00,41.22,7.76,0.75,0.94,5.13,partly-cloudy-day,36.2,Mostly Cloudy
2017-01-01 13:00:00,41.4,8.9,0.75,0.89,6.22,partly-cloudy-day,35.86,Mostly Cloudy
2017-01-01 14:00:00,41.5,8.26,0.75,0.88,5.59,partly-cloudy-day,36.29,Mostly Cloudy
2017-01-01 15:00:00,41.21,7.33,0.75,0.89,6.22,partly-cloudy-day,36.42,Mostly Cloudy
2017-01-01 16:00:00,42.06,8.92,0.75,0.85,6.22,partly-cloudy-day,36.66,Mostly Cloudy
2017-01-01 17:00:00,42.16,10.13,0.75,0.83,6.22,partly-cloudy-day,36.27,Mostly Cloudy
2017-01-01 18:00:00,41.93,8.82,0.75,0.83,6.22,partly-cloudy-day,36.54,Mostly Cloudy
2017-01-01 19:00:00,40.39,7.01,0.49,0.86,6.22,partly-cloudy-night,35.6,Partly Cloudy
2017-01-01 20:00:00,39.76,5.54,0.75,0.86,6.22,partly-cloudy-night,35.79,Mostly Cloudy
2017-01-01 21:00:00,39,5.91,0.75,0.88,6.22,partly-cloudy-night,34.63,Mostly Cloudy
2017-01-01 22:00:00,38.98,6.23,0.69,0.86,6.22,partly-cloudy-night,34.39,Mostly Cloudy
2017-01-01 23:00:00,38.31,5.21,0.44,0.88,6.22,partly-cloudy-night,34.32,Partly Cloudy
2017-01-02 00:00:00,38,4.78,0.44,0.88,6.22,partly-cloudy-night,34.31,Partly Cloudy
2017-01-02 01:00:00,39.51,9.74,0.19,0.87,6.22,clear-night,33.15,Clear
2017-01-02 02:00:00,39.92,8.26,0.75,0.88,6.22,partly-cloudy-night,34.36,Mostly Cloudy
2017-01-02 03:00:00,40.02,5.71,0.75,0.84,6.22,partly-cloudy-night,35.98,Mostly Cloudy
2017-01-02 04:00:00,39.48,8.74,0.75,0.81,6.22,partly-cloudy-night,33.58,Mostly Cloudy
2017-01-02 05:00:00,39.49,7.9,0.19,0.77,6.22,clear-night,34.02,Clear
2017-01-02 06:00:00,38.68,6.98,0.44,0.79,6.22,partly-cloudy-night,33.55,Partly Cloudy
2017-01-02 07:00:00,37.51,6.43,0.19,0.83,6.22,clear-night,32.5,Clear
2017-01-02 08:00:00,37.77,7.41,0.19,0.81,6.22,clear-night,32.2,Clear
2017-01-02 09:00:00,37.25,6.8,0.7,0.83,6.22,partly-cloudy-night,31.95,Mostly Cloudy
2017-01-02 10:00:00,36.31,7.45,0.19,0.86,6.22,clear-night,30.42,Clear
2017-01-02 11:00:00,35.42,6.28,0.44,0.91,6.22,partly-cloudy-night,30.11,Partly Cloudy
2017-01-02 12:00:00,35.01,5.24,0.44,0.91,6.22,partly-cloudy-day,30.41,Partly Cloudy
2017-01-02 13:00:00,35.99,6.3,0.19,0.88,6.22,clear-day,30.78,Clear
2017-01-02 14:00:00,37.55,7.74,0.44,0.82,6.22,partly-cloudy-day,31.74,Partly Cloudy
2017-01-02 15:00:00,38.31,7.66,0,0.79,6.22,clear-day,32.72,Clear
2017-01-02 16:00:00,38.99,6.88,0,0.75,6.22,clear-day,34,Clear
2017-01-02 17:00:00,39.21,7.74,0,0.74,6.22,clear-day,33.77,Clear
2017-01-02 18:00:00,38.87,6.4,0,0.74,6.22,clear-day,34.15,Clear
2017-01-02 19:00:00,37.04,4.82,0.19,0.78,6.22,clear-night,33.15,Clear
2017-01-02 20:00:00,35.65,4.48,0.44,0.81,6.22,partly-cloudy-night,31.82,Partly Cloudy
2017-01-02 21:00:00,35.55,6.42,0.44,0.81,6.22,partly-cloudy-night,30.16,Partly Cloudy
2017-01-02 22:00:00,35.38,5.95,0.75,0.82,6.22,partly-cloudy-night,30.29,Mostly Cloudy
2017-01-02 23:00:00,34.26,6.01,0.19,0.83,6.22,clear-night,28.92,Clear
2017-01-03 00:00:00,33.97,5.33,0,0.84,6.22,clear-night,29.11,Clear
2017-01-03 01:00:00,33.99,5.87,0,0.85,6.22,clear-night,28.71,Clear
2017-01-03 02:00:00,33.83,5.2,0,0.87,6.22,clear-night,29.05,Clear
2017-01-03 03:00:00,33.94,4.95,0,0.88,6.22,clear-night,29.4,Clear
2017-01-03 04:00:00,34.16,5.56,0,0.9,6.22,clear-night,29.14,Clear
2017-01-03 05:00:00,34.03,5.51,0,0.89,6.22,clear-night,29.03,Clear
2017-01-03 06:00:00,34.24,5.15,0,0.9,6.22,clear-night,29.57,Clear
2017-01-03 07:00:00,34.33,4.35,0,0.92,6.22,clear-night,30.41,Clear
2017-01-03 08:00:00,34.6,5.08,0.19,0.93,6.22,clear-night,30.06,Clear
2017-01-03 09:00:00,35.69,5.42,0.44,0.93,6.22,partly-cloudy-night,31.07,Partly Cloudy
2017-01-03 10:00:00,35.92,4.33,0.19,0.93,6.22,clear-night,32.28,Clear
2017-01-03 11:00:00,37.72,6.43,0.75,0.91,6.22,partly-cloudy-night,32.75,Mostly Cloudy
2017-01-03 12:00:00,38.57,5.62,0.19,0.89,6.22,clear-day,34.33,Clear
2017-01-03 13:00:00,39.81,7.31,0.19,0.88,6.22,clear-day,34.73,Clear
2017-01-03 14:00:00,41.05,6.64,0,0.88,6.22,clear-day,36.62,Clear
2017-01-03 15:00:00,42.7,9.54,0.19,0.86,6.22,clear-day,37.18,Clear
2017-01-03 16:00:00,43.46,7.17,0.19,0.86,6.22,clear-day,39.22,Clear
2017-01-03 17:00:00,44.18,8.8,0.75,0.86,6.22,partly-cloudy-day,39.32,Mostly Cloudy
2017-01-03 18:00:00,44.63,10.2,0.44,0.85,6.22,partly-cloudy-day,39.31,Partly Cloudy
2017-01-03 19:00:00,44.32,8.6,0.75,0.84,6.22,partly-cloudy-night,39.58,Mostly Cloudy
2017-01-03 20:00:00,43.81,9.15,0.44,0.86,6.22,partly-cloudy-night,38.71,Partly Cloudy
2017-01-03 21:00:00,43.16,8.54,0.19,0.86,6.22,clear-night,38.19,Clear
2017-01-03 22:00:00,43.1,7.37,0.44,0.85,6.22,partly-cloudy-night,38.68,Partly Cloudy
2017-01-03 23:00:00,43.49,8.36,0.44,0.85,6.22,partly-cloudy-night,38.67,Partly Cloudy
2017-01-04 00:00:00,43.95,9.02,0.75,0.85,6.22,partly-cloudy-night,38.93,Mostly Cloudy
2017-01-04 01:00:00,43.52,8.07,0.75,0.87,6.22,partly-cloudy-night,38.84,Mostly Cloudy
2017-01-04 02:00:00,43.52,8,0.19,0.87,6.22,clear-night,38.87,Clear
2017-01-04 03:00:00,43.37,8.8,0,0.88,6.22,clear-night,38.33,Clear
2017-01-04 04:00:00,43.39,8.47,0,0.89,6.22,clear-night,38.49,Clear
2017-01-04 05:00:00,44.08,8.05,0.44,0.87,6.22,partly-cloudy-night,39.53,Partly Cloudy
2017-01-04 06:00:00,44.85,7.69,0.44,0.87,6.22,partly-cloudy-night,40.64,Partly Cloudy
2017-01-04 07:00:00,44.46,6.81,0.44,0.88,6.22,partly-cloudy-night,40.61,Partly Cloudy
2017-01-04 08:00:00,44.24,8.9,0.75,0.81,6.22,partly-cloudy-night,39.35,Mostly Cloudy
2017-01-04 09:00:00,42.69,7.16,0.44,0.86,6.22,partly-cloudy-night,38.29,Partly Cloudy
2017-01-04 10:00:00,42.8,7.85,0.75,0.83,6.22,partly-cloudy-night,38.07,Mostly Cloudy
2017-01-04 11:00:00,42.38,7.79,0.44,0.74,6.22,partly-cloudy-night,37.59,Partly Cloudy
2017-01-04 12:00:00,42.24,9.74,0.44,0.7,6.22,partly-cloudy-day,36.53,Partly Cloudy
2017-01-04 13:00:00,42.93,8.05,0.75,0.68,6.22,partly-cloudy-day,38.13,Mostly Cloudy
2017-01-04 14:00:00,42.51,8.84,0.32,0.7,6.22,partly-cloudy-day,37.25,Partly Cloudy
2017-01-04 15:00:00,42.54,10.74,0.44,0.69,6.22,partly-cloudy-day,36.5,Partly Cloudy
2017-01-04 16:00:00,41.82,12.95,0.44,0.73,6.22,partly-cloudy-day,34.81,Partly Cloudy
2017-01-04 17:00:00,42.35,10.47,0.75,0.72,6.22,partly-cloudy-day,36.37,Mostly Cloudy
2017-01-04 18:00:00,41.42,10.04,0.44,0.74,6.22,partly-cloudy-day,35.38,Partly Cloudy
2017-01-04 19:00:00,40.56,9.74,0.75,0.77,6.22,partly-cloudy-night,34.44,Mostly Cloudy
2017-01-04 20:00:00,40.09,8.51,0.75,0.76,6.22,partly-cloudy-night,34.44,Mostly Cloudy
2017-01-04 21:00:00,39.79,8.14,0.75,0.79,6.22,partly-cloudy-night,34.26,Mostly Cloudy
2017-01-04 22:00:00,39.8,7.86,0.75,0.76,6.22,partly-cloudy-night,34.42,Mostly Cloudy
2017-01-04 23:00:00,39.61,8.62,0.75,0.77,6.22,partly-cloudy-night,33.8,Mostly Cloudy
2017-01-05 00:00:00,38.96,5.06,0.44,0.82,6.22,partly-cloudy-night,35.21,Partly Cloudy
2017-01-05 01:00:00,38.51,6.76,0.75,0.82,6.22,partly-cloudy-night,33.49,Mostly Cloudy
2017-01-05 02:00:00,37.78,6.17,0.75,0.86,6.22,partly-cloudy-night,33,Mostly Cloudy
2017-01-05 03:00:00,37.62,6.1,0.75,0.85,6.22,partly-cloudy-night,32.85,Mostly Cloudy
2017-01-05 04:00:00,37.16,6.73,0.75,0.87,6.22,partly-cloudy-night,31.89,Mostly Cloudy
2017-01-05 05:00:00,36.21,6,0.75,0.89,6.22,partly-cloudy-night,31.25,Mostly Cloudy
2017-01-05 06:00:00,35.73,5.39,0.75,0.91,6.22,partly-cloudy-night,31.13,Mostly Cloudy
2017-01-05 07:00:00,35.68,5.06,0.19,0.89,6.22,clear-night,31.35,Clear
2017-01-05 08:00:00,34.76,3.37,0.19,0.89,6.22,clear-night,31.98,Clear
2017-01-05 09:00:00,34.1,4.45,0.19,0.91,6.22,clear-night,30.05,Clear
2017-01-05 10:00:00,33.83,3.53,0.19,0.91,6.22,clear-night,30.72,Clear
2017-01-05 11:00:00,33.65,3.06,0.19,0.9,6.22,clear-night,31.11,Clear
2017-01-05 12:00:00,33.1,1.93,0.44,0.93,6.22,partly-cloudy-day,33.1,Partly Cloudy
2017-01-05 13:00:00,34.79,3.05,0.19,0.91,6.22,clear-day,32.41,Clear
