time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,34.59,3.75,,0.95,,clear-night,31.34,Clear
2017-01-01 04:00:00,34.59,0.85,,0.94,,clear-night,34.59,Clear
2017-01-01 05:00:00,32.71,7.79,,0.97,,clear-night,25.84,Clear
2017-01-01 06:00:00,33.74,7.92,,0.96,,snow,27.01,Snow
2017-01-01 07:00:00,34.59,5.53,,0.88,,rain,29.68,Light Rain
2017-01-01 08:00:00,34.59,3.57,,0.9,,clear-night,31.55,Clear
2017-01-01 09:00:00,35.42,11.7,,0.92,,clear-night,27.2,Clear
2017-01-01 10:00:00,35.42,8.74,,0.91,,rain,28.6,Light Rain
2017-01-01 11:00:00,36.44,8.88,,0.93,,rain,29.79,Light Rain
2017-01-01 12:00:00,37.43,13.05,,0.87,,rain,29.22,Light Rain
2017-01-01 13:00:00,38.28,7.36,,0.81,,rain,32.85,Drizzle
2017-01-01 14:00:00,38.28,8.65,,0.77,,clear-day,32.16,Clear
2017-01-01 15:00:00,40.12,13.17,,0.67,,clear-day,32.59,Clear
2017-01-01 16:00:00,38.58,7.85,,0.75,,clear-day,32.93,Clear
2017-01-01 17:00:00,38.58,5.27,,0.71,,clear-day,34.59,Clear
2017-01-01 18:00:00,38.43,7.7,,0.71,,clear-day,32.84,Clear
2017-01-01 19:00:00,35.57,3.56,,0.82,,clear-night,32.68,Clear
2017-01-01 20:00:00,35.72,3.52,,0.79,,clear-night,32.88,Clear
2017-01-01 21:00:00,33.74,1.75,,0.84,,clear-night,33.74,Clear
2017-01-01 22:00:00,30.17,1.75,,0.9,,clear-night,30.17,Clear
2017-01-01 23:00:00,30.74,0.85,,0.92,,clear-night,30.74,Clear
2017-01-02 00:00:00,32.71,1.68,,0.96,,clear-night,32.71,Clear
2017-01-02 01:00:00,33.54,4.99,,0.94,,clear-night,28.9,Clear
2017-01-02 02:00:00,33.54,2.15,,0.94,,clear-night,33.54,Clear
2017-01-02 03:00:00,33.87,3.36,,0.94,,clear-night,30.97,Clear
2017-01-02 04:00:00,33.87,1.79,,0.91,,clear-night,33.87,Clear
2017-01-02 05:00:00,33.54,6,,0.95,,clear-night,28.07,Clear
2017-01-02 06:00:00,33.54,4,,0.95,,snow,29.86,Light Snow
2017-01-02 07:00:00,33.54,6.51,,0.95,,snow,27.7,Light Snow
2017-01-02 08:00:00,33.54,5.8,,0.98,,snow,28.22,Light Snow
2017-01-02 09:00:00,35.52,2.01,,0.93,,clear-night,35.52,Clear
2017-01-02 10:00:00,36.54,4.99,,0.95,,rain,32.42,Light Rain
2017-01-02 11:00:00,36.86,4.69,,0.97,,rain,33.05,Light Rain
2017-01-02 12:00:00,37.53,5.95,,0.96,,rain,32.85,Light Rain
2017-01-02 13:00:00,37.27,10.43,,0.97,,rain,30.07,Light Rain
2017-01-02 14:00:00,38.85,4.5,,0.96,,rain,35.53,Light Rain
2017-01-02 15:00:00,38.53,4,,0.95,,rain,35.62,Drizzle
2017-01-02 16:00:00,39.53,8.66,,0.94,,clear-day,33.68,Clear
2017-01-02 17:00:00,39.54,6.01,,0.96,,clear-day,35.2,Clear
2017-01-02 18:00:00,39.73,6,,0.95,,clear-day,35.43,Clear
2017-01-02 19:00:00,39.54,4.91,,0.95,,clear-night,36,Clear
2017-01-02 20:00:00,39.54,7.19,,0.97,,rain,34.47,Drizzle
2017-01-02 21:00:00,39.54,13,,0.97,,clear-night,31.9,Clear
2017-01-02 22:00:00,39.54,10.01,,0.97,,clear-night,33.06,Clear
2017-01-02 23:00:00,39.53,8.91,,0.98,,clear-night,33.55,Clear
2017-01-03 00:00:00,40.52,7.99,,0.95,,clear-night,35.23,Clear
2017-01-03 01:00:00,41.84,18.96,,0.92,,clear-night,33.14,Clear
2017-01-03 02:00:00,42.59,6,,0.9,,clear-night,38.85,Clear
2017-01-03 03:00:00,43.13,6.78,,0.92,,clear-night,39.03,Clear
2017-01-03 04:00:00,44.03,7.83,,0.93,,clear-night,39.57,Clear
2017-01-03 05:00:00,44.03,13,,0.94,,clear-night,37.59,Clear
2017-01-03 06:00:00,44.03,17.57,,0.97,,clear-night,36.33,Clear
