time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,46.72,7.19,0.75,0.82,6.22,partly-cloudy-night,43.15,Mostly Cloudy
2017-01-01 04:00:00,46.33,5.95,0.75,0.86,6.22,partly-cloudy-night,43.32,Mostly Cloudy
2017-01-01 05:00:00,45.33,4.33,0.75,0.9,6.22,partly-cloudy-night,43.22,Mostly Cloudy
2017-01-01 06:00:00,44.47,2.53,0.75,0.93,6.22,partly-cloudy-night,44.47,Mostly Cloudy
2017-01-01 07:00:00,43.18,1.79,0.75,0.92,6.22,rain,43.18,Light Rain
2017-01-01 08:00:00,41.63,4.1,0.75,0.92,4.97,rain,39.11,Light Rain
2017-01-01 09:00:00,40.41,4.8,0.75,0.91,6.22,rain,37.11,Light Rain
2017-01-01 10:00:00,39.31,5.18,0.75,0.91,6.22,rain,35.52,Light Rain
2017-01-01 11:00:00,39.14,3.79,0.75,0.91,6.22,partly-cloudy-night,36.53,Mostly Cloudy
2017-01-01 12:00:00,39.12,5.12,0.75,0.92,6.22,partly-cloudy-day,35.34,Mostly Cloudy
2017-01-01 13:00:00,39.34,4.26,0.75,0.92,6.22,partly-cloudy-day,36.31,Mostly Cloudy
2017-01-01 14:00:00,39,6.38,0.75,0.89,6.22,partly-cloudy-day,34.31,Mostly Cloudy
2017-01-01 15:00:00,38.91,6.7,0.75,0.89,6.22,partly-cloudy-day,34.01,Mostly Cloudy
2017-01-01 16:00:00,38.93,6.3,0.44,0.85,6.22,partly-cloudy-day,34.28,Partly Cloudy
2017-01-01 17:00:00,38.8,4.39,0.52,0.85,6.22,partly-cloudy-day,35.57,Partly Cloudy
2017-01-01 18:00:00,38.64,5.75,0.44,0.82,6.22,partly-cloudy-day,34.32,Partly Cloudy
2017-01-01 19:00:00,37.19,3.92,0.44,0.84,6.22,partly-cloudy-night,34.15,Partly Cloudy
2017-01-01 20:00:00,36.81,4.05,0.44,0.84,6.22,partly-cloudy-night,33.58,Partly Cloudy
2017-01-01 21:00:00,36.56,4.06,0.44,0.88,6.22,partly-cloudy-night,33.28,Partly Cloudy
2017-01-01 22:00:00,36.58,3.05,0.44,0.88,6.22,partly-cloudy-night,34.43,Partly Cloudy
2017-01-01 23:00:00,36.12,2.3,0.44,0.9,6.22,partly-cloudy-night,36.12,Partly Cloudy
2017-01-02 00:00:00,35.57,2.96,0.44,0.93,5.59,partly-cloudy-night,35.57,Partly Cloudy
2017-01-02 01:00:00,36.45,5.66,0.44,0.9,6.22,partly-cloudy-night,31.79,Partly Cloudy
2017-01-02 02:00:00,36.96,3.91,0.75,0.91,6.22,partly-cloudy-night,33.89,Mostly Cloudy
2017-01-02 03:00:00,36.6,3.67,0.19,0.89,6.22,clear-night,33.73,Clear
2017-01-02 04:00:00,36.37,5.91,0.19,0.89,6.22,clear-night,31.5,Clear
2017-01-02 05:00:00,36.23,5.18,0.26,0.86,6.22,partly-cloudy-night,31.89,Partly Cloudy
2017-01-02 06:00:00,35.5,3.37,0.19,0.87,6.22,clear-night,32.81,Clear
2017-01-02 07:00:00,35.11,3.33,0.19,0.87,6.22,clear-night,32.42,Clear
2017-01-02 08:00:00,34.78,5.99,0.75,0.86,6.22,partly-cloudy-night,29.55,Mostly Cloudy
2017-01-02 09:00:00,34.57,4.4,0.13,0.85,6.22,clear-night,30.64,Clear
2017-01-02 10:00:00,33.48,4.4,0,0.86,6.22,clear-night,29.38,Clear
2017-01-02 11:00:00,32.99,4.06,0,0.85,6.22,clear-night,29.16,Clear
2017-01-02 12:00:00,32.59,3.53,0.26,0.84,6.22,partly-cloudy-day,29.29,Partly Cloudy
2017-01-02 13:00:00,33.92,2.83,0.31,0.8,6.22,partly-cloudy-day,33.92,Partly Cloudy
2017-01-02 14:00:00,36.17,3.45,0,0.75,6.22,clear-day,33.48,Clear
2017-01-02 15:00:00,37.31,4.33,0,0.73,6.22,clear-day,33.89,Clear
2017-01-02 16:00:00,38.54,5.49,0,0.69,6.22,clear-day,34.37,Clear
2017-01-02 17:00:00,38.74,6.6,0,0.68,6.22,clear-day,33.87,Clear
2017-01-02 18:00:00,38.28,6.26,0,0.7,6.22,clear-day,33.53,Clear
2017-01-02 19:00:00,36.16,3.55,0.19,0.74,6.22,clear-night,33.37,Clear
2017-01-02 20:00:00,35.12,3.44,0.19,0.76,6.22,clear-night,32.3,Clear
2017-01-02 21:00:00,34.56,3.93,0.75,0.78,6.22,partly-cloudy-night,31.11,Mostly Cloudy
2017-01-02 22:00:00,34.24,3.37,0.19,0.79,6.22,clear-night,31.38,Clear
2017-01-02 23:00:00,34.36,2.89,0,0.8,6.22,clear-night,34.36,Clear
2017-01-03 00:00:00,33.55,1.32,0,0.81,6.22,clear-night,33.55,Clear
2017-01-03 01:00:00,33.76,2.2,0,0.84,6.22,clear-night,33.76,Clear
2017-01-03 02:00:00,34.04,1.67,0,0.84,6.22,clear-night,34.04,Clear
2017-01-03 03:00:00,34.76,2.38,0.67,0.86,6.22,partly-cloudy-night,34.76,Mostly Cloudy
2017-01-03 04:00:00,35.36,4.36,0.75,0.86,6.22,partly-cloudy-night,31.6,Mostly Cloudy
2017-01-03 05:00:00,36.81,3.79,0.75,0.89,6.22,partly-cloudy-night,33.86,Mostly Cloudy
2017-01-03 06:00:00,37.11,6.27,0.19,0.87,6.22,clear-night,32.13,Clear
2017-01-03 07:00:00,38.11,5.82,0.44,0.87,6.22,partly-cloudy-night,33.63,Partly Cloudy
2017-01-03 08:00:00,39.18,7.9,0.19,0.86,6.22,clear-night,33.64,Clear
2017-01-03 09:00:00,39.54,8.28,0.44,0.84,6.22,partly-cloudy-night,33.88,Partly Cloudy
2017-01-03 10:00:00,41.22,7.62,0.44,0.83,6.22,partly-cloudy-night,36.27,Partly Cloudy
2017-01-03 11:00:00,41.55,6.92,0.75,0.82,6.22,partly-cloudy-night,37.04,Mostly Cloudy
2017-01-03 12:00:00,41.73,8.96,0.75,0.83,6.22,partly-cloudy-day,36.24,Mostly Cloudy
2017-01-03 13:00:00,42.39,7.71,0.44,0.83,6.22,partly-cloudy-day,37.65,Partly Cloudy
2017-01-03 14:00:00,42.78,6.97,0.44,0.84,6.22,partly-cloudy-day,38.51,Partly Cloudy
2017-01-03 15:00:00,43.17,9.93,0.75,0.85,6.22,partly-cloudy-day,37.6,Mostly Cloudy
2017-01-03 16:00:00,43.33,11.51,0.75,0.85,6.22,partly-cloudy-day,37.2,Mostly Cloudy
2017-01-03 17:00:00,43.58,9.69,0.75,0.85,6.22,partly-cloudy-day,38.2,Mostly Cloudy
2017-01-03 18:00:00,43.61,10.82,0.75,0.84,6.22,partly-cloudy-day,37.8,Mostly Cloudy
2017-01-03 19:00:00,43.78,11.93,0.75,0.83,6.22,partly-cloudy-night,37.62,Mostly Cloudy
2017-01-03 20:00:00,43.79,9.41,0.75,0.82,6.22,partly-cloudy-night,38.58,Mostly Cloudy
2017-01-03 21:00:00,44.01,10.21,1,0.79,6.22,cloudy,38.53,Overcast
2017-01-03 22:00:00,44.26,9.5,1,0.79,6.22,cloudy,39.13,Overcast
2017-01-03 23:00:00,44.55,10.25,1,0.81,6.22,cloudy,39.19,Overcast
2017-01-04 00:00:00,44.49,10.33,0.75,0.83,6.22,partly-cloudy-night,39.08,Mostly Cloudy
2017-01-04 01:00:00,44.6,8.89,0.44,0.84,6.22,partly-cloudy-night,39.79,Partly Cloudy
2017-01-04 02:00:00,44.41,8.37,0.75,0.86,6.22,partly-cloudy-night,39.79,Mostly Cloudy
2017-01-04 03:00:00,44.49,8.54,0.75,0.87,6.22,partly-cloudy-night,39.81,Mostly Cloudy
2017-01-04 04:00:00,44.43,8.89,0.44,0.88,6.22,partly-cloudy-night,39.58,Partly Cloudy
2017-01-04 05:00:00,44.55,8.31,0.19,0.87,6.22,clear-night,39.99,Clear
2017-01-04 06:00:00,45.21,7.43,0.75,0.87,6.22,partly-cloudy-night,41.21,Mostly Cloudy
2017-01-04 07:00:00,44.47,7.56,0.19,0.87,6.22,clear-night,40.24,Clear
2017-01-04 08:00:00,44.76,6.4,0.75,0.86,6.22,partly-cloudy-night,41.2,Mostly Cloudy
2017-01-04 09:00:00,44.39,7.25,0.44,0.84,6.22,partly-cloudy-night,40.3,Partly Cloudy
2017-01-04 10:00:00,43.23,5.12,0.75,0.82,6.22,partly-cloudy-night,40.18,Mostly Cloudy
2017-01-04 11:00:00,42.16,6.1,0.19,0.81,6.22,clear-night,38.27,Clear
2017-01-04 12:00:00,41.44,3.71,0.44,0.81,6.22,partly-cloudy-day,39.25,Partly Cloudy
2017-01-04 13:00:00,41.15,5.83,0.19,0.74,6.22,clear-day,37.24,Clear
2017-01-04 14:00:00,41.32,5.56,0.19,0.69,6.22,clear-day,37.62,Clear
2017-01-04 15:00:00,41.61,6.16,0.19,0.62,6.22,clear-day,37.58,Clear
2017-01-04 16:00:00,42.35,8.09,0.19,0.58,6.22,clear-day,37.4,Clear
2017-01-04 17:00:00,41.45,8.42,0.75,0.6,6.22,partly-cloudy-day,36.15,Mostly Cloudy
2017-01-04 18:00:00,41,7.72,0.34,0.6,6.22,partly-cloudy-day,35.94,Partly Cloudy
2017-01-04 19:00:00,39.26,5.13,0.75,0.64,6.22,partly-cloudy-night,35.5,Mostly Cloudy
2017-01-04 20:00:00,38.29,4.89,0.75,0.65,6.22,partly-cloudy-night,34.55,Mostly Cloudy
2017-01-04 21:00:00,38.24,6.18,0.75,0.65,6.22,partly-cloudy-night,33.54,Mostly Cloudy
2017-01-04 22:00:00,38.08,4.07,1,0.66,6.22,cloudy,35.03,Overcast
2017-01-04 23:00:00,37.86,4.07,1,0.67,6.22,cloudy,34.78,Overcast
2017-01-05 00:00:00,37.49,4.25,0.75,0.69,6.22,partly-cloudy-night,34.19,Mostly Cloudy
2017-01-05 01:00:00,36.85,4.79,0.75,0.7,6.22,partly-cloudy-night,32.94,Mostly Cloudy
2017-01-05 02:00:00,36.2,3.11,0.44,0.72,6.22,partly-cloudy-night,33.93,Partly Cloudy
2017-01-05 03:00:00,35.51,3.56,0.75,0.73,6.22,partly-cloudy-night,32.6,Mostly Cloudy
2017-01-05 04:00:00,34.71,3.08,0.19,0.74,6.22,clear-night,32.27,Clear
2017-01-05 05:00:00,34.65,2.51,0.19,0.75,6.22,clear-night,34.65,Clear
2017-01-05 06:00:00,32.91,3.69,0.19,0.77,6.22,clear-night,29.48,Clear
2017-01-05 07:00:00,31.99,1.85,0.13,0.78,6.22,clear-night,31.99,Clear
2017-01-05 08:00:00,31.04,2.39,0,0.81,6.22,clear-night,31.04,Clear
2017-01-05 09:00:00,31.75,2.67,0.31,0.8,6.22,partly-cloudy-night,31.75,Partly Cloudy
2017-01-05 10:00:00,30.35,1.1,0.13,0.83,6.22,clear-night,30.35,Clear
2017-01-05 11:00:00,30.06,1.24,0.13,0.84,6.22,clear-night,30.06,Clear
2017-01-05 12:00:00,29.83,2.14,0.34,0.86,6.22,partly-cloudy-day,29.83,Partly Cloudy
2017-01-05 13:00:00,32.7,1.62,0.19,0.81,6.22,clear-day,32.7,Clear
2017-01-05 14:00:00,37.12,0.5,0.19,0.75,6.22,clear-day,37.12,Clear
2017-01-05 15:00:00,38.71,0.21,0.19,0.72,6.22,clear-day,38.71,Clear
2017-01-05 16:00:00,39.54,1.16,0.13,0.7,6.22,clear-day,39.54,Clear
2017-01-05 17:00:00,40.36,0.58,0.13,0.7,6.22,clear-day,40.36,Clear
2017-01-05 18:00:00,39.49,1.31,0.13,0.72,6.22,clear-day,39.49,Clear
2017-01-05 19:00:00,36.61,0.53,0.17,0.75,6.22,clear-night,36.61,Clear
2017-01-05 20:00:00,33.9,1.96,0.36,0.81,6.22,partly-cloudy-night,33.9,Partly Cloudy
2017-01-05 21:00:00,33.3,1.72,0.19,0.84,6.22,clear-night,33.3,Clear
2017-01-05 22:00:00,32.51,1.61,0.31,0.84,6.22,partly-cloudy-night,32.51,Partly Cloudy
2017-01-05 23:00:00,32.68,1.78,0.75,0.85,6.22,partly-cloudy-night,32.68,Mostly Cloudy
2017-01-06 00:00:00,32.62,3.22,0.75,0.85,6.22,partly-cloudy-night,29.72,Mostly Cloudy
2017-01-06 01:00:00,33.25,3.87,0.92,0.82,5.59,partly-cloudy-night,29.66,Mostly Cloudy
2017-01-06 02:00:00,33.23,3.3,0.75,0.81,5.59,partly-cloudy-night,30.31,Mostly Cloudy
2017-01-06 03:00:00,33.23,3.44,0.92,0.82,4.97,partly-cloudy-night,30.13,Mostly Cloudy
2017-01-06 04:00:00,33.33,4.53,0.75,0.81,4.97,partly-cloudy-night,29.07,Mostly Cloudy
2017-01-06 05:00:00,33.62,4.51,0.75,0.81,6.22,partly-cloudy-night,29.44,Mostly Cloudy
2017-01-06 06:00:00,34.03,4.54,0.75,0.81,6.22,partly-cloudy-night,29.88,Mostly Cloudy
2017-01-06 07:00:00,35.42,4.39,0.75,0.79,6.22,partly-cloudy-night,31.64,Mostly Cloudy
2017-01-06 08:00:00,35.45,4.14,1,0.81,6.22,cloudy,31.92,Overcast
2017-01-06 09:00:00,35.75,3.74,0.75,0.83,6.22,partly-cloudy-night,32.67,Mostly Cloudy
2017-01-06 10:00:00,36.5,5.43,0.75,0.83,6.22,partly-cloudy-night,32.02,Mostly Cloudy
2017-01-06 11:00:00,37.06,4.32,0.75,0.84,6.22,partly-cloudy-night,33.61,Mostly Cloudy
2017-01-06 12:00:00,37.31,5.74,1,0.85,4.35,cloudy,32.74,Overcast
2017-01-06 13:00:00,37.51,5.09,1,0.9,4.35,cloudy,33.48,Overcast
2017-01-06 14:00:00,38.27,4.56,1,0.88,3.73,cloudy,34.8,Overcast
2017-01-06 15:00:00,39.4,5.8,1,0.88,4.35,cloudy,35.18,Overcast
2017-01-06 16:00:00,40.22,6.25,0.75,0.89,4.35,partly-cloudy-day,35.86,Mostly Cloudy
2017-01-06 17:00:00,40.45,4.78,1,0.9,3.73,cloudy,37.17,Overcast
2017-01-06 18:00:00,40.8,4.69,1,0.92,3.11,cloudy,37.65,Overcast
2017-01-06 19:00:00,40.96,4.91,0.75,0.91,3.11,partly-cloudy-night,37.67,Mostly Cloudy
2017-01-06 20:00:00,41.7,4.85,0.75,0.92,3.11,partly-cloudy-night,38.58,Mostly Cloudy
2017-01-06 21:00:00,42.1,2.95,0.75,0.93,3.11,partly-cloudy-night,42.1,Mostly Cloudy
2017-01-06 22:00:00,42.52,3.28,0.75,0.92,2.73,partly-cloudy-night,40.91,Mostly Cloudy
2017-01-06 23:00:00,42.79,2.66,0.75,0.93,2.8,partly-cloudy-night,42.79,Mostly Cloudy
2017-01-07 00:00:00,43.13,1.92,0.75,0.94,1.86,fog,43.13,Foggy
2017-01-07 01:00:00,44.1,1.39,0.75,0.93,1.43,fog,44.1,Foggy
2017-01-07 02:00:00,44.47,1.45,0.75,0.93,1.55,fog,44.47,Foggy
2017-01-07 03:00:00,44.86,1.15,0.75,0.93,0.93,fog,44.86,Foggy
2017-01-07 04:00:00,44.92,1.84,0.75,0.93,0.99,fog,44.92,Foggy
2017-01-07 05:00:00,45.04,1.97,0.75,0.93,0.5,fog,45.04,Foggy
2017-01-07 06:00:00,45.51,3.03,0.75,0.93,0.09,fog,44.58,Foggy
2017-01-07 07:00:00,45.82,2.46,1,0.92,0.06,fog,45.82,Foggy
2017-01-07 08:00:00,45.35,2.77,1,0.92,0.09,fog,45.35,Foggy
2017-01-07 09:00:00,44.91,2.41,1,0.93,0.37,fog,44.91,Foggy
2017-01-07 10:00:00,44.35,1.9,0.75,0.91,0.09,fog,44.35,Foggy
2017-01-07 11:00:00,44.43,1.69,0.75,0.94,0.99,fog,44.43,Foggy
2017-01-07 12:00:00,45,1.81,0.75,0.93,2.61,partly-cloudy-day,45,Mostly Cloudy
2017-01-07 13:00:00,46.07,1.07,0.75,0.94,3.11,partly-cloudy-day,46.07,Mostly Cloudy
2017-01-07 14:00:00,46.84,1.13,1,0.93,3.11,cloudy,46.84,Overcast
2017-01-07 15:00:00,47.94,1.56,1,0.93,2.49,cloudy,47.94,Overcast
2017-01-07 16:00:00,48.93,1.81,1,0.91,3.73,cloudy,48.93,Overcast
2017-01-07 17:00:00,49.56,1.9,1,0.9,3.73,cloudy,49.56,Overcast
2017-01-07 18:00:00,49.19,1.88,0.75,0.9,3.11,partly-cloudy-day,49.19,Mostly Cloudy
2017-01-07 19:00:00,48.51,3.04,1,0.9,2.55,cloudy,47.95,Overcast
2017-01-07 20:00:00,48.16,2.32,1,0.9,1.93,fog,48.16,Foggy
2017-01-07 21:00:00,47.09,2.05,1,0.91,1.68,fog,47.09,Foggy
2017-01-07 22:00:00,46.54,2.81,1,0.9,0.06,fog,46.54,Foggy
2017-01-07 23:00:00,45.61,2.69,1,0.91,0.09,fog,45.61,Foggy
2017-01-08 00:00:00,45.24,1.92,1,0.92,0.09,fog,45.24,Foggy
2017-01-08 01:00:00,44.85,2.48,1,0.91,0.06,fog,44.85,Foggy
2017-01-08 02:00:00,44.13,1.99,1,0.9,0.09,fog,44.13,Foggy
2017-01-08 03:00:00,43.82,1.59,1,0.89,0.12,fog,43.82,Foggy
2017-01-08 04:00:00,43.03,0.32,0.83,0.9,0.12,fog,43.03,Foggy
2017-01-08 05:00:00,42.75,2.35,1,0.89,0.09,fog,42.75,Foggy
2017-01-08 06:00:00,42.55,2.61,1,0.89,0.06,fog,42.55,Foggy
2017-01-08 07:00:00,41.78,1.79,1,0.9,0.5,fog,41.78,Foggy
