time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,44.29,4.99,,0.01,,clear-night,41.51,Clear
2017-01-01 04:00:00,44.29,4,,0.01,,clear-night,42.27,Clear
2017-01-01 05:00:00,45.29,6,,0.01,,rain,42.05,Rain
2017-01-01 06:00:00,46.3,7.99,,0.01,,rain,42.26,Rain
2017-01-01 07:00:00,44.29,4.99,,0.01,,rain,41.51,Rain
2017-01-01 08:00:00,41.28,4,,0.01,,rain,38.8,Rain
2017-01-01 09:00:00,41.28,7.99,,0.01,,rain,36.15,Light Rain
2017-01-01 10:00:00,41.28,6,,0.01,,rain,37.28,Drizzle
2017-01-01 11:00:00,41.28,4.99,,0.01,,rain,37.98,Drizzle
2017-01-01 12:00:00,41.28,4.99,,0.01,,rain,37.98,Drizzle
2017-01-01 13:00:00,36.3,8.99,,0.01,,rain,29.55,Drizzle
2017-01-01 14:00:00,40.31,10.99,,0.01,,clear-day,33.62,Clear
2017-01-01 15:00:00,35.31,10.01,,0.01,,clear-day,27.83,Clear
2017-01-01 16:00:00,36.3,12.01,,0.01,,clear-day,28.19,Clear
2017-01-01 17:00:00,39.29,10.99,,0.01,,clear-day,32.34,Clear
2017-01-01 18:00:00,38.29,10.01,,0.01,,clear-day,31.52,Clear
2017-01-01 19:00:00,37.3,8.99,,0.01,,clear-day,30.78,Clear
2017-01-01 20:00:00,37.3,10.01,,0.01,,clear-night,30.29,Clear
2017-01-01 21:00:00,36.3,8.99,,0.01,,clear-night,29.55,Clear
2017-01-01 22:00:00,35.31,10.99,,0.01,,clear-night,27.38,Clear
2017-01-01 23:00:00,36.3,10.01,,0.01,,clear-night,29.06,Clear
2017-01-02 00:00:00,35.31,10.99,,0.01,,clear-night,27.38,Clear
2017-01-02 01:00:00,34.52,10.13,,0.85,,clear-night,26.79,Clear
2017-01-02 02:00:00,34.4,6.31,,0.86,,clear-night,28.86,Clear
2017-01-02 03:00:00,33.78,5.08,,0.84,,clear-night,29.1,Clear
2017-01-02 04:00:00,33.58,5.8,,0.87,,clear-night,28.27,Clear
2017-01-02 05:00:00,33.99,8.63,,0.89,,clear-night,26.9,Clear
2017-01-02 06:00:00,34.53,4.71,,0.87,,clear-night,30.31,Clear
2017-01-02 07:00:00,33.39,5.76,,0.89,,clear-night,28.07,Clear
2017-01-02 08:00:00,32.74,7.56,,0.92,,clear-night,26.01,Clear
2017-01-02 09:00:00,34,8.42,,0.88,,clear-night,27.04,Clear
2017-01-02 10:00:00,32.65,3.32,,0.87,,clear-night,29.62,Clear
2017-01-02 11:00:00,31.67,1.27,,0.83,,clear-night,31.67,Clear
2017-01-02 12:00:00,31.95,1.49,,0.82,,clear-day,31.95,Clear
2017-01-02 13:00:00,33.19,3.57,,0.85,,clear-day,29.94,Clear
2017-01-02 14:00:00,34.98,2.52,,0.81,,clear-day,34.98,Clear
2017-01-02 15:00:00,36.82,3.57,,0.75,,clear-day,34.1,Clear
2017-01-02 16:00:00,38.57,1.61,,0.7,,clear-day,38.57,Clear
2017-01-02 17:00:00,38.62,3.34,,0.68,,clear-day,36.4,Clear
2017-01-02 18:00:00,37.99,2.37,,0.66,,clear-day,37.99,Clear
2017-01-02 19:00:00,34.15,1.46,,0.79,,clear-day,34.15,Clear
2017-01-02 20:00:00,28.92,0.36,,0.93,,clear-night,28.92,Clear
2017-01-02 21:00:00,27.41,0.44,,1,,clear-night,27.41,Clear
2017-01-02 22:00:00,26.31,0,,1,,clear-night,26.31,Clear
2017-01-02 23:00:00,26.31,0,,0.98,,clear-night,26.31,Clear
2017-01-03 00:00:00,25.66,0.49,,0.98,,clear-night,25.66,Clear
2017-01-03 01:00:00,24.85,0,,0.98,,clear-night,24.85,Clear
2017-01-03 02:00:00,25.09,0,,0.99,,clear-night,25.09,Clear
2017-01-03 03:00:00,25.42,0.52,,0.97,,clear-night,25.42,Clear
2017-01-03 04:00:00,25.92,0.57,,0.97,,clear-night,25.92,Clear
2017-01-03 05:00:00,26.73,0.33,,0.94,,clear-night,26.73,Clear
2017-01-03 06:00:00,26.02,0,,1,,clear-night,26.02,Clear
2017-01-03 07:00:00,27.98,0.57,,1,,clear-night,27.98,Clear
2017-01-03 08:00:00,28.65,0.26,,1,,clear-night,28.65,Clear
2017-01-03 09:00:00,29.5,2.84,,1,,clear-night,29.5,Clear
2017-01-03 10:00:00,31.17,0.72,,0.99,,clear-night,31.17,Clear
2017-01-03 11:00:00,33.8,1.72,,0.88,,snow,33.8,Light Snow
2017-01-03 12:00:00,33.59,1.39,,0.89,,clear-day,33.59,Clear
2017-01-03 13:00:00,35.9,1.62,,0.88,,clear-day,35.9,Clear
2017-01-03 14:00:00,39.01,6,,0.82,,clear-day,34.58,Clear
2017-01-03 15:00:00,39.37,7.48,,0.84,,clear-day,34.1,Clear
2017-01-03 16:00:00,40.37,7.56,,0.8,,clear-day,35.27,Clear
2017-01-03 17:00:00,40.14,8.87,,0.81,,clear-day,34.33,Clear
2017-01-03 18:00:00,39.54,8.98,,0.81,,clear-day,33.53,Clear
2017-01-03 19:00:00,38.81,6,,0.81,,clear-day,34.34,Clear
2017-01-03 20:00:00,38.8,5.16,,0.83,,clear-night,34.94,Clear
2017-01-03 21:00:00,38.8,5.82,,0.82,,clear-night,34.45,Clear
2017-01-03 22:00:00,38.85,6.32,,0.82,,clear-night,34.18,Clear
2017-01-03 23:00:00,39.51,5.8,,0.81,,clear-night,35.31,Clear
2017-01-04 00:00:00,40.32,6.3,,0.81,,clear-night,35.94,Clear
2017-01-04 01:00:00,39.64,3.15,,0.84,,clear-night,37.78,Clear
2017-01-04 02:00:00,40.26,4.46,,0.81,,clear-night,37.22,Clear
2017-01-04 03:00:00,40.65,5.85,,0.83,,clear-night,36.64,Clear
2017-01-04 04:00:00,40.35,7.11,,0.86,,clear-night,35.49,Clear
2017-01-04 05:00:00,40.93,6.19,,0.86,,clear-night,36.75,Clear
2017-01-04 06:00:00,40.43,6.92,,0.87,,clear-night,35.7,Clear
2017-01-04 07:00:00,41.61,6.37,,0.85,,clear-night,37.44,Clear
2017-01-04 08:00:00,40.92,6.97,,0.9,,clear-night,36.27,Clear
2017-01-04 09:00:00,41.12,5.83,,0.91,,clear-night,37.21,Clear
2017-01-04 10:00:00,41.37,6,,0.93,,clear-night,37.39,Clear
2017-01-04 11:00:00,41.66,5.24,,0.93,,clear-night,38.24,Clear
2017-01-04 12:00:00,41.73,4.45,,0.94,,clear-day,38.93,Clear
2017-01-04 13:00:00,42.55,6.41,,0.9,,clear-day,38.55,Clear
2017-01-04 14:00:00,43.46,5.1,,0.87,,clear-day,40.47,Clear
2017-01-04 15:00:00,42.82,5.81,,0.93,,clear-day,39.24,Clear
2017-01-04 16:00:00,43.44,7.82,,0.85,,clear-day,38.87,Clear
2017-01-04 17:00:00,43.74,5.03,,0.78,,clear-day,40.84,Clear
2017-01-04 18:00:00,43.34,4.92,,0.76,,clear-day,40.46,Clear
2017-01-04 19:00:00,41.34,3.88,,0.82,,clear-day,38.98,Clear
2017-01-04 20:00:00,37.18,2.57,,0.87,,clear-night,37.18,Clear
2017-01-04 21:00:00,34.81,1.36,,0.87,,clear-night,34.81,Clear
2017-01-04 22:00:00,33.72,1.87,,0.9,,clear-night,33.72,Clear
2017-01-04 23:00:00,31.82,1.08,,0.91,,clear-night,31.82,Clear
2017-01-05 00:00:00,31.21,1.37,,0.89,,clear-night,31.21,Clear
2017-01-05 01:00:00,30.52,1.12,,0.87,,clear-night,30.52,Clear
