time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,44.22,2.67,0.77,0.92,4.46,partly-cloudy-night,44.22,Mostly Cloudy
2017-01-01 04:00:00,43.43,3.18,0.77,0.93,3.64,partly-cloudy-night,42.05,Mostly Cloudy
2017-01-01 05:00:00,42.91,2.81,0.83,0.91,3.95,partly-cloudy-night,42.91,Mostly Cloudy
2017-01-01 06:00:00,42.47,2.52,0.71,0.92,3.69,partly-cloudy-night,42.47,Mostly Cloudy
2017-01-01 07:00:00,42.07,2.86,0.83,0.92,3.73,partly-cloudy-night,42.07,Mostly Cloudy
2017-01-01 08:00:00,42.07,2.39,0.74,0.91,3.51,partly-cloudy-night,42.07,Mostly Cloudy
2017-01-01 09:00:00,42.67,1.99,0.86,0.92,3.72,partly-cloudy-night,42.67,Mostly Cloudy
2017-01-01 10:00:00,43.45,2.58,0.96,0.93,3.91,cloudy,43.45,Overcast
2017-01-01 11:00:00,44.22,1.63,0.82,0.93,3.17,partly-cloudy-night,44.22,Mostly Cloudy
2017-01-01 12:00:00,45.26,2.11,0.76,0.94,2.75,partly-cloudy-day,45.26,Mostly Cloudy
2017-01-01 13:00:00,46.24,2.22,0.76,0.93,3.1,partly-cloudy-day,46.24,Mostly Cloudy
2017-01-01 14:00:00,47.27,2.2,0.76,0.94,4.92,partly-cloudy-day,47.27,Mostly Cloudy
2017-01-01 15:00:00,48.24,2.67,0.81,0.91,6.04,partly-cloudy-day,48.24,Mostly Cloudy
2017-01-01 16:00:00,48.83,1.67,0.75,0.9,6.06,partly-cloudy-day,48.83,Mostly Cloudy
2017-01-01 17:00:00,47.46,1.04,0.85,0.91,5.85,partly-cloudy-day,47.46,Mostly Cloudy
2017-01-01 18:00:00,44.4,3.89,0.87,0.92,5.75,rain,42.5,Light Rain
2017-01-01 19:00:00,41.74,4.79,0.89,0.92,6.12,rain,38.67,Light Rain
2017-01-01 20:00:00,40.4,4.34,0.8,0.94,6.22,rain,37.48,Light Rain
2017-01-01 21:00:00,40.08,4.85,0.88,0.92,6.22,rain,36.68,Light Rain
2017-01-01 22:00:00,39.78,3.61,0.83,0.93,6.22,partly-cloudy-night,37.44,Mostly Cloudy
2017-01-01 23:00:00,39.93,3.96,0.86,0.93,6.22,partly-cloudy-night,37.27,Mostly Cloudy
2017-01-02 00:00:00,40.09,2.79,0.96,0.93,6.22,cloudy,40.09,Overcast
2017-01-02 01:00:00,39.95,3.73,0.75,0.95,6.22,partly-cloudy-night,37.52,Mostly Cloudy
2017-01-02 02:00:00,39.7,3.42,0.73,0.95,6.22,partly-cloudy-night,37.56,Mostly Cloudy
2017-01-02 03:00:00,40.4,3.73,0.68,0.88,6.22,partly-cloudy-night,38.04,Mostly Cloudy
2017-01-02 04:00:00,39.17,4.15,0.44,0.92,6.22,partly-cloudy-night,36.23,Partly Cloudy
2017-01-02 05:00:00,38.89,3.99,0.18,0.91,6.22,clear-night,36.05,Clear
2017-01-02 06:00:00,39.17,3.54,0.25,0.86,6.22,partly-cloudy-night,36.82,Partly Cloudy
2017-01-02 07:00:00,37.71,4.07,0.21,0.88,6.22,clear-night,34.6,Clear
2017-01-02 08:00:00,37.53,3.01,0.34,0.91,6.22,partly-cloudy-night,35.56,Partly Cloudy
2017-01-02 09:00:00,35.6,1.6,0.19,0.97,6.22,clear-night,35.6,Clear
2017-01-02 10:00:00,35.21,1.88,0.19,0.94,6.22,clear-night,35.21,Clear
2017-01-02 11:00:00,34.65,2.06,0,0.94,6.22,clear-night,34.65,Clear
2017-01-02 12:00:00,34.6,2.33,0.07,0.93,6.22,clear-day,34.6,Clear
2017-01-02 13:00:00,35.98,3.13,0.11,0.89,6.22,clear-day,33.65,Clear
2017-01-02 14:00:00,38.1,3.96,0.19,0.81,6.22,clear-day,35.17,Clear
2017-01-02 15:00:00,39.76,4.5,0.16,0.85,6.22,clear-day,36.59,Clear
2017-01-02 16:00:00,40.95,3.48,0.29,0.81,6.22,partly-cloudy-day,38.92,Partly Cloudy
2017-01-02 17:00:00,41.3,2.86,0.25,0.79,6.22,partly-cloudy-day,41.3,Partly Cloudy
2017-01-02 18:00:00,40.63,3.28,0.37,0.76,6.22,partly-cloudy-day,38.76,Partly Cloudy
2017-01-02 19:00:00,38.87,1.76,0.19,0.79,6.22,clear-night,38.87,Clear
2017-01-02 20:00:00,36.63,1.21,0.03,0.88,6.22,clear-night,36.63,Clear
