time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,46.85,2.7,0.96,0.86,6.22,cloudy,46.85,Overcast
2017-01-01 04:00:00,46.44,2.71,0.75,0.88,6.22,partly-cloudy-night,46.44,Mostly Cloudy
2017-01-01 05:00:00,46.03,2.13,0.96,0.9,6.22,rain,46.03,Light Rain
2017-01-01 06:00:00,45.54,1.05,0.96,0.91,6.22,cloudy,45.54,Overcast
2017-01-01 07:00:00,44.97,0.96,0.91,0.9,4.66,partly-cloudy-night,44.97,Mostly Cloudy
2017-01-01 08:00:00,43.86,2.14,0.96,0.92,6.22,cloudy,43.86,Overcast
2017-01-01 09:00:00,42.5,2.94,0.96,0.91,6.22,cloudy,42.5,Overcast
2017-01-01 10:00:00,40.96,4.39,0.91,0.89,6.22,partly-cloudy-night,38.09,Mostly Cloudy
2017-01-01 11:00:00,40.15,3.45,0.75,0.89,6.22,partly-cloudy-night,38.03,Mostly Cloudy
2017-01-01 12:00:00,39.96,4,0.96,0.87,6.22,cloudy,37.28,Overcast
2017-01-01 13:00:00,39.87,2.63,0.96,0.89,6.22,cloudy,39.87,Overcast
2017-01-01 14:00:00,39.68,2.84,0.96,0.91,6.22,cloudy,39.68,Overcast
2017-01-01 15:00:00,39.8,4.49,0.96,0.87,5.69,cloudy,36.65,Overcast
2017-01-01 16:00:00,40.03,3.65,0.75,0.84,6.22,partly-cloudy-day,37.7,Mostly Cloudy
2017-01-01 17:00:00,39.85,3.54,0.66,0.81,6.22,partly-cloudy-day,37.61,Mostly Cloudy
2017-01-01 18:00:00,39.49,2.82,0.4,0.8,6.22,partly-cloudy-day,39.49,Partly Cloudy
2017-01-01 19:00:00,38.29,2.2,0.19,0.79,6.22,clear-night,38.29,Clear
2017-01-01 20:00:00,37.17,2.37,,0.8,6.22,clear-night,37.17,Clear
2017-01-01 21:00:00,36.29,1.87,0.19,0.83,6.22,clear-night,36.29,Clear
2017-01-01 22:00:00,36.31,2.5,0.75,0.85,6.22,partly-cloudy-night,36.31,Mostly Cloudy
2017-01-01 23:00:00,36.2,1.97,0.44,0.86,6.22,partly-cloudy-night,36.2,Partly Cloudy
2017-01-02 00:00:00,35.87,2.47,0.19,0.88,6.22,clear-night,35.87,Clear
2017-01-02 01:00:00,36.24,3.21,0.44,0.85,6.22,partly-cloudy-night,33.84,Partly Cloudy
2017-01-02 02:00:00,36.67,2.84,0.19,0.85,6.22,clear-night,36.67,Clear
2017-01-02 03:00:00,36.78,2.19,1,0.87,6.22,cloudy,36.78,Overcast
2017-01-02 04:00:00,36.06,1.91,0.44,0.88,6.22,partly-cloudy-night,36.06,Partly Cloudy
2017-01-02 05:00:00,35.47,2.91,0.44,0.88,6.22,partly-cloudy-night,35.47,Partly Cloudy
2017-01-02 06:00:00,34.67,2.2,0,0.88,6.22,clear-night,34.67,Clear
2017-01-02 07:00:00,34.2,2.74,0,0.87,6.22,clear-night,34.2,Clear
2017-01-02 08:00:00,33.68,2.61,0,0.86,6.22,clear-night,33.68,Clear
2017-01-02 09:00:00,33.44,2.56,0,0.85,6.22,clear-night,33.44,Clear
2017-01-02 10:00:00,32.81,0.54,0,0.86,6.22,clear-night,32.81,Clear
2017-01-02 11:00:00,32.36,1.43,0,0.85,6.22,clear-night,32.36,Clear
2017-01-02 12:00:00,31.06,1.18,0,0.88,6.22,clear-day,31.06,Clear
2017-01-02 13:00:00,32.75,1.27,0,0.86,6.22,clear-day,32.75,Clear
2017-01-02 14:00:00,36.06,1.11,0,0.81,6.22,clear-day,36.06,Clear
2017-01-02 15:00:00,37.95,2.11,0,0.77,6.22,clear-day,37.95,Clear
2017-01-02 16:00:00,38.76,2.4,0,0.73,6.22,clear-day,38.76,Clear
2017-01-02 17:00:00,39.53,3.5,0.03,0.72,6.22,clear-day,37.27,Clear
2017-01-02 18:00:00,39,3.2,0.03,0.75,6.22,clear-day,37,Clear
2017-01-02 19:00:00,37.02,2.83,0.03,0.8,6.22,clear-night,37.02,Clear
2017-01-02 20:00:00,35.73,2.32,0.03,0.81,6.22,clear-night,35.73,Clear
2017-01-02 21:00:00,34.44,1.42,0,0.85,6.22,clear-night,34.44,Clear
2017-01-02 22:00:00,33.25,0.86,0,0.87,6.22,clear-night,33.25,Clear
2017-01-02 23:00:00,33.02,0.57,0,0.87,6.22,clear-night,33.02,Clear
2017-01-03 00:00:00,32.14,0.66,0,0.89,6.22,clear-night,32.14,Clear
2017-01-03 01:00:00,31.87,0.56,0.19,0.89,6.22,clear-night,31.87,Clear
2017-01-03 02:00:00,32.48,0.33,0.75,0.9,6.22,partly-cloudy-night,32.48,Mostly Cloudy
2017-01-03 03:00:00,33.64,0.85,0.96,0.92,6.22,cloudy,33.64,Overcast
2017-01-03 04:00:00,34.88,1.77,0.96,0.92,6.22,cloudy,34.88,Overcast
2017-01-03 05:00:00,36.38,1.59,0.96,0.93,6.22,cloudy,36.38,Overcast
2017-01-03 06:00:00,37.92,3.1,0.75,0.91,6.22,partly-cloudy-night,35.9,Mostly Cloudy
2017-01-03 07:00:00,39.38,3.83,0.96,0.91,6.22,cloudy,36.77,Overcast
2017-01-03 08:00:00,40.42,3.51,0.96,0.88,6.22,cloudy,38.29,Overcast
2017-01-03 09:00:00,41.1,5.28,0.96,0.88,6.22,cloudy,37.55,Overcast
2017-01-03 10:00:00,41.85,4.9,0.75,0.85,6.22,partly-cloudy-night,38.72,Mostly Cloudy
2017-01-03 11:00:00,42.05,4.87,0.75,0.85,6.22,partly-cloudy-night,38.98,Mostly Cloudy
2017-01-03 12:00:00,42.49,5.61,0.75,0.84,6.22,partly-cloudy-day,38.98,Mostly Cloudy
2017-01-03 13:00:00,42.77,5.75,0.75,0.86,6.22,partly-cloudy-day,39.22,Mostly Cloudy
2017-01-03 14:00:00,43.07,6.58,0.75,0.86,6.22,partly-cloudy-day,39.07,Mostly Cloudy
2017-01-03 15:00:00,43.85,7.52,0.75,0.84,6.22,partly-cloudy-day,39.51,Mostly Cloudy
2017-01-03 16:00:00,44.05,7,0.75,0.85,6.22,partly-cloudy-day,40.02,Mostly Cloudy
2017-01-03 17:00:00,43.88,7.66,0.75,0.85,6.22,partly-cloudy-day,39.48,Mostly Cloudy
2017-01-03 18:00:00,43.55,7.11,0.75,0.86,6.22,partly-cloudy-day,39.35,Mostly Cloudy
2017-01-03 19:00:00,43.63,6.29,0.75,0.85,6.22,partly-cloudy-night,39.91,Mostly Cloudy
2017-01-03 20:00:00,43.84,7.55,0.75,0.83,6.22,partly-cloudy-night,39.49,Mostly Cloudy
2017-01-03 21:00:00,44.04,8.28,0.75,0.82,6.22,partly-cloudy-night,39.38,Mostly Cloudy
2017-01-03 22:00:00,44.24,7.55,0.75,0.82,6.22,partly-cloudy-night,39.97,Mostly Cloudy
2017-01-03 23:00:00,44.38,5.49,0.75,0.82,6.22,partly-cloudy-night,41.29,Mostly Cloudy
2017-01-04 00:00:00,44.62,8.56,0.96,0.83,6.22,cloudy,39.96,Overcast
2017-01-04 01:00:00,44.74,8.64,0.96,0.84,6.22,cloudy,40.07,Overcast
2017-01-04 02:00:00,44.86,7.44,0.96,0.85,6.22,cloudy,40.77,Overcast
2017-01-04 03:00:00,44.66,8.47,0.96,0.87,5.69,cloudy,40.05,Overcast
2017-01-04 04:00:00,44.39,8.27,0.96,0.89,6.22,cloudy,39.8,Overcast
2017-01-04 05:00:00,44.3,7.78,0.96,0.92,6.22,cloudy,39.93,Overcast
2017-01-04 06:00:00,44.82,7.46,0.96,0.92,3.62,cloudy,40.72,Overcast
2017-01-04 07:00:00,45.04,6.77,1,0.92,3.11,cloudy,41.33,Overcast
2017-01-04 08:00:00,45.24,4.98,0.96,0.91,2.64,cloudy,42.64,Overcast
