time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,45.2,4.08,1,0.92,6.22,cloudy,43.26,Overcast
2017-01-01 04:00:00,44.91,5.75,1,0.92,6.22,cloudy,41.75,Overcast
2017-01-01 05:00:00,44.77,5.31,1,0.92,6.22,cloudy,41.87,Overcast
2017-01-01 06:00:00,44.39,5.32,0.75,0.9,6.22,partly-cloudy-night,41.42,Mostly Cloudy
2017-01-01 07:00:00,43.42,5.3,1,0.91,5.59,cloudy,40.28,Overcast
2017-01-01 08:00:00,42.84,5.92,1,0.93,6.22,cloudy,39.19,Overcast
2017-01-01 09:00:00,42.66,4.65,1,0.93,3.73,cloudy,39.85,Overcast
2017-01-01 10:00:00,42.44,4.15,0.75,0.93,3.73,partly-cloudy-night,40,Mostly Cloudy
2017-01-01 11:00:00,42.41,4.39,0.75,0.94,2.61,partly-cloudy-night,39.77,Mostly Cloudy
2017-01-01 12:00:00,42.58,3.14,0.75,0.94,1.55,fog,41.13,Foggy
2017-01-01 13:00:00,42.79,3.2,0.75,0.95,1.55,rain,41.3,Light Rain
2017-01-01 14:00:00,43.42,2.03,0.75,0.96,1.55,fog,43.42,Foggy
2017-01-01 15:00:00,43.66,3.33,0.75,0.96,1.86,rain,42.17,Light Rain
2017-01-01 16:00:00,42.87,1.74,0.75,0.95,2.8,rain,42.87,Light Rain
2017-01-01 17:00:00,41.35,4.35,0.75,0.94,3.73,rain,38.58,Light Rain
2017-01-01 18:00:00,40.49,4.75,0.75,0.95,4.35,rain,37.24,Light Rain
2017-01-01 19:00:00,40.53,4.04,0.75,0.94,4.35,partly-cloudy-night,37.89,Mostly Cloudy
2017-01-01 20:00:00,40.46,3.36,0.75,0.95,6.22,partly-cloudy-night,38.48,Mostly Cloudy
2017-01-01 21:00:00,39.84,2.6,0.75,0.95,6.22,partly-cloudy-night,39.84,Mostly Cloudy
2017-01-01 22:00:00,39.5,3.4,0.75,0.94,6.22,partly-cloudy-night,37.35,Mostly Cloudy
2017-01-01 23:00:00,39.45,3.07,0.44,0.94,6.22,partly-cloudy-night,37.66,Partly Cloudy
2017-01-02 00:00:00,38.8,2.91,0.44,0.94,6.22,partly-cloudy-night,38.8,Partly Cloudy
2017-01-02 01:00:00,39.65,3.44,0.19,0.9,6.22,clear-night,37.48,Clear
2017-01-02 02:00:00,39.5,3.52,0.19,0.91,6.22,clear-night,37.22,Clear
2017-01-02 03:00:00,39.41,4.22,0.19,0.9,6.22,clear-night,36.43,Clear
2017-01-02 04:00:00,39.23,3.39,0.44,0.91,6.22,partly-cloudy-night,37.05,Partly Cloudy
2017-01-02 05:00:00,38.76,1.03,0,0.89,6.22,clear-night,38.76,Clear
2017-01-02 06:00:00,38.38,4.12,0.19,0.86,6.22,clear-night,35.33,Clear
2017-01-02 07:00:00,38.11,2.88,0.44,0.85,6.22,partly-cloudy-night,38.11,Partly Cloudy
2017-01-02 08:00:00,36.31,1.42,0.19,0.88,6.22,clear-night,36.31,Clear
2017-01-02 09:00:00,36.11,4.97,0.19,0.87,6.22,clear-night,31.92,Clear
2017-01-02 10:00:00,35.29,2.23,,0.89,6.22,clear-night,35.29,Clear
2017-01-02 11:00:00,35.29,0.83,0.44,0.89,6.22,partly-cloudy-night,35.29,Partly Cloudy
2017-01-02 12:00:00,34.54,1.99,0.44,0.92,6.22,partly-cloudy-day,34.54,Partly Cloudy
2017-01-02 13:00:00,36.64,1.65,0.44,0.89,6.22,partly-cloudy-day,36.64,Partly Cloudy
2017-01-02 14:00:00,39.21,3.31,0.44,0.88,6.22,partly-cloudy-day,37.11,Partly Cloudy
2017-01-02 15:00:00,40.1,3.95,0.44,0.89,6.22,partly-cloudy-day,37.48,Partly Cloudy
2017-01-02 16:00:00,41.29,3.69,0.44,0.87,6.22,partly-cloudy-day,39.1,Partly Cloudy
2017-01-02 17:00:00,40.7,4.61,0.44,0.84,6.22,partly-cloudy-day,37.6,Partly Cloudy
2017-01-02 18:00:00,39.5,4.45,0.44,0.86,6.22,partly-cloudy-day,36.33,Partly Cloudy
2017-01-02 19:00:00,37.33,3.5,0.44,0.87,6.22,partly-cloudy-night,34.76,Partly Cloudy
2017-01-02 20:00:00,34.73,3.2,,0.91,6.22,clear-night,32.14,Clear
2017-01-02 21:00:00,33.49,3.08,,0.9,6.22,clear-night,30.89,Clear
2017-01-02 22:00:00,32.22,4.62,,0.93,6.22,clear-night,27.7,Clear
2017-01-02 23:00:00,32.09,3.28,,0.92,6.22,clear-night,29.04,Clear
2017-01-03 00:00:00,31.85,3.61,,0.9,6.22,clear-night,28.36,Clear
2017-01-03 01:00:00,31.37,3.67,,0.89,6.22,clear-night,27.73,Clear
2017-01-03 02:00:00,31.37,3.96,0,0.89,6.22,clear-night,27.39,Clear
2017-01-03 03:00:00,30.53,2.19,0,0.92,6.22,clear-night,30.53,Clear
2017-01-03 04:00:00,30.33,3.93,0,0.92,6.22,clear-night,26.23,Clear
2017-01-03 05:00:00,30.3,2.47,0,0.93,6.22,clear-night,30.3,Clear
2017-01-03 06:00:00,30.42,2.34,0,0.92,6.22,clear-night,30.42,Clear
2017-01-03 07:00:00,30.39,2.56,0,0.93,6.22,clear-night,30.39,Clear
2017-01-03 08:00:00,30.37,2.93,0,0.93,6.22,clear-night,30.37,Clear
2017-01-03 09:00:00,31.96,3.6,,0.93,6.22,clear-night,28.49,Clear
2017-01-03 10:00:00,33.47,3.28,0.75,0.93,6.22,partly-cloudy-night,30.61,Mostly Cloudy
2017-01-03 11:00:00,34.52,4.3,0.75,0.93,6.22,partly-cloudy-night,30.68,Mostly Cloudy
2017-01-03 12:00:00,35.56,3.49,1,0.93,6.22,cloudy,32.74,Overcast
2017-01-03 13:00:00,37.01,6.55,,0.91,6.22,clear-day,31.82,Clear
2017-01-03 14:00:00,38.55,7.25,,0.89,6.22,clear-day,33.24,Clear
2017-01-03 15:00:00,39.29,8.78,,0.87,6.22,clear-day,33.33,Clear
2017-01-03 16:00:00,39.67,8.1,,0.87,6.22,clear-day,34.13,Clear
2017-01-03 17:00:00,40.82,5.74,,0.87,6.22,clear-day,36.91,Clear
2017-01-03 18:00:00,41.01,5.8,,0.87,6.22,clear-day,37.09,Clear
2017-01-03 19:00:00,40.99,5.56,,0.87,6.22,clear-night,37.23,Clear
2017-01-03 20:00:00,40.73,6.38,,0.88,6.22,clear-night,36.39,Clear
2017-01-03 21:00:00,40.67,6.41,,0.88,6.22,clear-night,36.3,Clear
2017-01-03 22:00:00,40.93,6.21,0.75,0.88,6.22,partly-cloudy-night,36.73,Mostly Cloudy
2017-01-03 23:00:00,41.05,7.59,0.75,0.88,6.22,partly-cloudy-night,36.07,Mostly Cloudy
2017-01-04 00:00:00,40.56,5.98,0.44,0.89,6.22,partly-cloudy-night,36.44,Partly Cloudy
2017-01-04 01:00:00,41.12,5.8,0,0.88,6.22,clear-night,37.22,Clear
2017-01-04 02:00:00,41.12,7.52,0,0.87,6.22,clear-night,36.2,Clear
2017-01-04 03:00:00,40.98,5.5,0,0.88,6.22,clear-night,37.26,Clear
2017-01-04 04:00:00,41.26,6.06,0,0.88,6.22,clear-night,37.21,Clear
2017-01-04 05:00:00,41.06,4.59,0,0.89,6.22,clear-night,38.04,Clear
2017-01-04 06:00:00,40.82,5.54,0.19,0.91,6.22,clear-night,37.04,Clear
2017-01-04 07:00:00,41.23,5.57,0.75,0.91,6.22,partly-cloudy-night,37.51,Mostly Cloudy
2017-01-04 08:00:00,41.68,4.55,1,0.9,6.22,cloudy,38.8,Overcast
2017-01-04 09:00:00,41.7,5.34,1,0.92,6.22,cloudy,38.23,Overcast
2017-01-04 10:00:00,41.68,5.13,0.75,0.93,6.22,partly-cloudy-night,38.35,Mostly Cloudy
2017-01-04 11:00:00,41.86,4.29,0.75,0.91,6.22,partly-cloudy-night,39.22,Mostly Cloudy
2017-01-04 12:00:00,42.31,4.59,0.75,0.89,6.22,partly-cloudy-day,39.49,Mostly Cloudy
2017-01-04 13:00:00,42.44,4.52,0.44,0.84,6.22,partly-cloudy-day,39.7,Partly Cloudy
2017-01-04 14:00:00,43.52,5.89,0.19,0.78,6.22,clear-day,40.02,Clear
2017-01-04 15:00:00,43.94,6.4,0.44,0.76,6.22,partly-cloudy-day,40.21,Partly Cloudy
2017-01-04 16:00:00,43.57,7.08,0.44,0.74,6.22,partly-cloudy-day,39.39,Partly Cloudy
2017-01-04 17:00:00,42.86,8.14,0.44,0.76,6.22,partly-cloudy-day,38,Partly Cloudy
2017-01-04 18:00:00,41.35,6.15,0.19,0.8,6.22,clear-day,37.27,Clear
2017-01-04 19:00:00,40.49,6,0.44,0.81,6.22,partly-cloudy-night,36.34,Partly Cloudy
2017-01-04 20:00:00,40,4.31,0.44,0.82,6.22,partly-cloudy-night,37.04,Partly Cloudy
2017-01-04 21:00:00,39.16,4.03,0.44,0.81,6.22,partly-cloudy-night,36.32,Partly Cloudy
2017-01-04 22:00:00,38.44,3.6,0.44,0.85,6.22,partly-cloudy-night,35.92,Partly Cloudy
2017-01-04 23:00:00,38.1,3.76,0.44,0.83,6.22,partly-cloudy-night,35.37,Partly Cloudy
2017-01-05 00:00:00,37.95,2.7,0.44,0.85,6.22,partly-cloudy-night,37.95,Partly Cloudy
2017-01-05 01:00:00,37.47,2.68,0.75,0.86,6.22,partly-cloudy-night,37.47,Mostly Cloudy
2017-01-05 02:00:00,38.08,3.08,0.75,0.87,6.22,partly-cloudy-night,36.09,Mostly Cloudy
2017-01-05 03:00:00,36.98,2.18,0.44,0.89,6.22,partly-cloudy-night,36.98,Partly Cloudy
2017-01-05 04:00:00,37.42,3.7,0.75,0.89,6.22,partly-cloudy-night,34.65,Mostly Cloudy
2017-01-05 05:00:00,36.45,3.8,0.75,0.91,5.59,partly-cloudy-night,33.42,Mostly Cloudy
2017-01-05 06:00:00,36.17,4.45,0.75,0.92,6.22,partly-cloudy-night,32.46,Mostly Cloudy
2017-01-05 07:00:00,35.65,3.92,0.44,0.9,6.22,partly-cloudy-night,32.37,Partly Cloudy
2017-01-05 08:00:00,35.15,2.01,0.44,0.92,6.22,partly-cloudy-night,35.15,Partly Cloudy
2017-01-05 09:00:00,34.22,2.06,0.19,0.93,6.22,clear-night,34.22,Clear
2017-01-05 10:00:00,34.34,2.3,0.44,0.9,6.22,partly-cloudy-night,34.34,Partly Cloudy
2017-01-05 11:00:00,33.75,0.84,0.19,0.95,6.22,clear-night,33.75,Clear
2017-01-05 12:00:00,33.36,0.95,0.19,0.96,6.22,clear-day,33.36,Clear
2017-01-05 13:00:00,35.56,1,0.19,0.94,6.22,clear-day,35.56,Clear
2017-01-05 14:00:00,38.37,0.8,0.19,0.93,6.22,clear-day,38.37,Clear
2017-01-05 15:00:00,40.79,1.31,0.19,0.9,6.22,clear-day,40.79,Clear
2017-01-05 16:00:00,42.83,0.58,0.44,0.84,6.22,partly-cloudy-day,42.83,Partly Cloudy
2017-01-05 17:00:00,43.17,0.35,0.44,0.83,6.22,partly-cloudy-day,43.17,Partly Cloudy
2017-01-05 18:00:00,41.43,0.5,0.44,0.83,6.22,partly-cloudy-day,41.43,Partly Cloudy
2017-01-05 19:00:00,38.82,0,0.44,0.87,6.22,partly-cloudy-night,38.82,Partly Cloudy
2017-01-05 20:00:00,35.08,0.11,,0.91,6.22,clear-night,35.08,Clear
2017-01-05 21:00:00,33.25,0,,0.92,6.22,clear-night,33.25,Clear
2017-01-05 22:00:00,31.67,0,0,0.92,6.22,clear-night,31.67,Clear
2017-01-05 23:00:00,31.22,0.2,0,0.92,5.59,clear-night,31.22,Clear
2017-01-06 00:00:00,31,0.22,0.44,0.94,5.59,partly-cloudy-night,31,Partly Cloudy
2017-01-06 01:00:00,30.37,1.18,0.44,0.94,4.35,partly-cloudy-night,30.37,Partly Cloudy
2017-01-06 02:00:00,31.89,1.12,0,0.97,6.22,clear-night,31.89,Clear
2017-01-06 03:00:00,31.84,0.92,0,0.96,6.22,clear-night,31.84,Clear
2017-01-06 04:00:00,34.04,3.07,0,0.96,6.22,clear-night,31.54,Clear
2017-01-06 05:00:00,34.27,1.79,0.75,0.95,6.22,partly-cloudy-night,34.27,Mostly Cloudy
2017-01-06 06:00:00,34.1,3.02,0.75,0.94,6.22,partly-cloudy-night,31.67,Mostly Cloudy
2017-01-06 07:00:00,34.16,4.02,0.44,0.93,6.22,partly-cloudy-night,30.55,Partly Cloudy
2017-01-06 08:00:00,34.57,2.41,0.75,0.92,6.22,partly-cloudy-night,34.57,Mostly Cloudy
2017-01-06 09:00:00,34.15,2.08,0.44,0.93,6.22,partly-cloudy-night,34.15,Partly Cloudy
2017-01-06 10:00:00,35.2,3.02,0.19,0.9,6.22,clear-night,32.92,Clear
2017-01-06 11:00:00,35.17,3.64,,0.91,6.22,clear-night,32.13,Clear
