time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,46.56,4.94,0.75,0.81,6.22,partly-cloudy-night,44.22,Mostly Cloudy
2017-01-01 04:00:00,46.51,5.01,0.75,0.82,6.22,partly-cloudy-night,44.11,Mostly Cloudy
2017-01-01 05:00:00,45.72,3.85,1,0.84,6.22,cloudy,44.05,Overcast
2017-01-01 06:00:00,45.25,4.13,1,0.88,6.22,cloudy,43.28,Overcast
2017-01-01 07:00:00,45.31,4.01,1,0.88,6.22,cloudy,43.45,Overcast
2017-01-01 08:00:00,44.81,3.17,1,0.9,6.22,cloudy,43.63,Overcast
2017-01-01 09:00:00,44.74,1.8,0.75,0.9,4.97,partly-cloudy-night,44.74,Mostly Cloudy
2017-01-01 10:00:00,43.87,1.28,0.75,0.91,3.11,partly-cloudy-night,43.87,Mostly Cloudy
2017-01-01 11:00:00,42.51,2.17,0.75,0.93,2.8,partly-cloudy-night,42.51,Mostly Cloudy
2017-01-01 12:00:00,41.1,5.53,0.75,0.89,6.22,partly-cloudy-day,37.38,Mostly Cloudy
2017-01-01 13:00:00,40.22,5.52,1,0.9,5.59,rain,36.35,Light Rain
2017-01-01 14:00:00,39.49,6.06,1,0.9,6.22,cloudy,35.11,Overcast
2017-01-01 15:00:00,39.49,5.16,0.75,0.87,6.22,partly-cloudy-day,35.75,Mostly Cloudy
2017-01-01 16:00:00,38.68,4.42,0.75,0.9,6.22,rain,35.4,Light Rain
2017-01-01 17:00:00,39.26,3.24,0.75,0.91,6.22,partly-cloudy-day,37.25,Mostly Cloudy
2017-01-01 18:00:00,39.05,3.39,0.75,0.9,6.22,partly-cloudy-day,36.84,Mostly Cloudy
2017-01-01 19:00:00,39.16,2.88,0.75,0.87,6.22,partly-cloudy-night,39.16,Mostly Cloudy
2017-01-01 20:00:00,38.14,2.88,0.75,0.85,6.22,partly-cloudy-night,38.14,Mostly Cloudy
2017-01-01 21:00:00,36.76,2.37,0.44,0.85,6.22,partly-cloudy-night,36.76,Partly Cloudy
2017-01-01 22:00:00,36.22,1.6,0.19,0.85,6.22,clear-night,36.22,Clear
2017-01-01 23:00:00,36.02,2.97,0.19,0.86,6.22,clear-night,36.02,Clear
2017-01-02 00:00:00,35.14,1.52,0.19,0.89,6.22,clear-night,35.14,Clear
2017-01-02 01:00:00,35.21,1.88,0.19,0.88,6.22,clear-night,35.21,Clear
2017-01-02 02:00:00,35.71,2.76,0.19,0.87,6.22,clear-night,35.71,Clear
