time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,44.43,3.37,0.75,0.92,4.97,partly-cloudy-night,43,Mostly Cloudy
2017-01-01 04:00:00,43.95,3.6,0.75,0.92,3.73,partly-cloudy-night,42.24,Mostly Cloudy
2017-01-01 05:00:00,43.77,3.94,1,0.93,2.98,cloudy,41.72,Overcast
2017-01-01 06:00:00,43.84,3.75,0.75,0.92,3.11,partly-cloudy-night,41.97,Mostly Cloudy
2017-01-01 07:00:00,43.8,2.55,0.75,0.92,3.11,partly-cloudy-night,43.8,Mostly Cloudy
2017-01-01 08:00:00,43.82,2.59,1,0.92,4.35,cloudy,43.82,Overcast
2017-01-01 09:00:00,43.96,3.43,1,0.94,4.35,cloudy,42.41,Overcast
2017-01-01 10:00:00,44.37,3.32,0.75,0.93,6.22,partly-cloudy-night,42.98,Mostly Cloudy
2017-01-01 11:00:00,44.78,2.39,0.75,0.93,6.22,partly-cloudy-night,44.78,Mostly Cloudy
2017-01-01 12:00:00,45,2.04,0.75,0.95,6.22,partly-cloudy-day,45,Mostly Cloudy
2017-01-01 13:00:00,45.95,1.27,0.75,0.94,6.22,partly-cloudy-day,45.95,Mostly Cloudy
2017-01-01 14:00:00,46.11,1.38,0.75,0.94,6.22,partly-cloudy-day,46.11,Mostly Cloudy
2017-01-01 15:00:00,45.72,1.39,0.75,0.94,4.97,partly-cloudy-day,45.72,Mostly Cloudy
2017-01-01 16:00:00,43.37,1.76,0.75,0.93,5.59,rain,43.37,Light Rain
2017-01-01 17:00:00,39.38,4.01,0.44,0.93,5.59,rain,36.6,Light Rain
2017-01-01 18:00:00,37.96,4.59,0.44,0.93,5.59,rain,34.42,Light Rain
2017-01-01 19:00:00,37.68,2.89,0.75,0.92,6.22,rain,37.68,Light Rain
2017-01-01 20:00:00,37.85,3.03,0.75,0.94,6.22,rain,35.9,Light Rain
2017-01-01 21:00:00,38.63,4.16,0.75,0.94,6.22,partly-cloudy-night,35.58,Mostly Cloudy
2017-01-01 22:00:00,38.9,2.61,1,0.94,6.22,cloudy,38.9,Overcast
2017-01-01 23:00:00,38.81,3.98,0.75,0.93,6.22,partly-cloudy-night,35.96,Mostly Cloudy
2017-01-02 00:00:00,38.46,4.14,0.75,0.93,6.22,partly-cloudy-night,35.4,Mostly Cloudy
2017-01-02 01:00:00,37.66,4.3,0.44,0.94,6.22,partly-cloudy-night,34.34,Partly Cloudy
2017-01-02 02:00:00,36.57,5.71,0.13,0.93,6.22,clear-night,31.89,Clear
2017-01-02 03:00:00,35.84,6.49,0,0.93,6.22,clear-night,30.47,Clear
2017-01-02 04:00:00,34.73,6.16,0,0.94,6.22,clear-night,29.36,Clear
2017-01-02 05:00:00,34.33,5.87,0,0.93,6.22,clear-night,29.1,Clear
2017-01-02 06:00:00,34.26,3.35,0,0.92,6.22,clear-night,31.43,Clear
2017-01-02 07:00:00,34.59,4.69,0,0.93,6.22,clear-night,30.39,Clear
2017-01-02 08:00:00,33.58,3.25,0,0.94,6.22,clear-night,30.77,Clear
2017-01-02 09:00:00,33.45,2.57,0,0.93,6.22,clear-night,33.45,Clear
2017-01-02 10:00:00,33.29,3.33,0,0.94,6.22,clear-night,30.35,Clear
2017-01-02 11:00:00,32.96,2.37,0.09,0.91,6.22,clear-night,32.96,Clear
2017-01-02 12:00:00,32.88,2.99,0.13,0.91,6.22,clear-day,32.88,Clear
2017-01-02 13:00:00,34.06,5.29,0.13,0.92,6.22,clear-day,29.25,Clear
2017-01-02 14:00:00,36.1,5.11,0.13,0.91,6.22,clear-day,31.79,Clear
2017-01-02 15:00:00,37.61,3.77,0.13,0.9,6.22,clear-day,34.8,Clear
2017-01-02 16:00:00,39.21,3.84,0.13,0.86,6.22,clear-day,36.56,Clear
2017-01-02 17:00:00,39.8,3.9,0.13,0.85,6.22,clear-day,37.18,Clear
2017-01-02 18:00:00,39.15,2.54,0.13,0.85,6.22,clear-day,39.15,Clear
2017-01-02 19:00:00,36.77,1.9,0.13,0.86,6.22,clear-day,36.77,Clear
2017-01-02 20:00:00,34.04,1.13,0,0.91,6.22,clear-night,34.04,Clear
2017-01-02 21:00:00,32.95,1.33,0,0.89,6.22,clear-night,32.95,Clear
2017-01-02 22:00:00,31.85,0.91,0,0.91,6.22,clear-night,31.85,Clear
2017-01-02 23:00:00,30.67,0.29,0,0.91,6.22,clear-night,30.67,Clear
2017-01-03 00:00:00,30.02,0.97,0,0.91,6.22,clear-night,30.02,Clear
2017-01-03 01:00:00,29.7,1.02,0,0.92,6.22,clear-night,29.7,Clear
2017-01-03 02:00:00,29.57,1.05,0,0.92,6.22,clear-night,29.57,Clear
2017-01-03 03:00:00,28.91,1.11,0,0.91,6.22,clear-night,28.91,Clear
2017-01-03 04:00:00,28.96,1.03,0,0.93,6.22,clear-night,28.96,Clear
2017-01-03 05:00:00,28.93,0.88,0,0.93,6.22,clear-night,28.93,Clear
2017-01-03 06:00:00,28.67,1.45,0,0.92,6.22,clear-night,28.67,Clear
2017-01-03 07:00:00,28.77,0.95,0,0.92,6.22,clear-night,28.77,Clear
2017-01-03 08:00:00,28.75,1.21,0,0.92,6.22,clear-night,28.75,Clear
2017-01-03 09:00:00,29.09,1.76,0,0.94,6.22,clear-night,29.09,Clear
2017-01-03 10:00:00,29.24,2.06,0.06,0.93,6.22,clear-night,29.24,Clear
2017-01-03 11:00:00,28.83,1.26,0.13,0.95,6.22,clear-night,28.83,Clear
2017-01-03 12:00:00,29.8,3.03,0.75,0.94,6.22,partly-cloudy-day,26.78,Mostly Cloudy
2017-01-03 13:00:00,32.68,2.53,0.75,0.9,6.22,partly-cloudy-day,32.68,Mostly Cloudy
2017-01-03 14:00:00,35.15,3.36,0.75,0.9,6.22,partly-cloudy-day,32.43,Mostly Cloudy
2017-01-03 15:00:00,37.9,5.03,0.75,0.87,6.22,partly-cloudy-day,33.99,Mostly Cloudy
