time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,44.01,2.04,0.75,0.91,6.22,partly-cloudy-night,44.01,Mostly Cloudy
2017-01-01 04:00:00,43.32,1.23,0.75,0.91,6.22,partly-cloudy-night,43.32,Mostly Cloudy
2017-01-01 05:00:00,44.05,1.92,0.75,0.84,4.35,partly-cloudy-night,44.05,Mostly Cloudy
2017-01-01 06:00:00,42.67,1.19,0.75,0.9,6.22,partly-cloudy-night,42.67,Mostly Cloudy
2017-01-01 07:00:00,41.47,2.84,0.44,0.89,6.22,partly-cloudy-night,41.47,Partly Cloudy
2017-01-01 08:00:00,40.12,5.48,0.75,0.91,6.22,partly-cloudy-night,36.26,Mostly Cloudy
2017-01-01 09:00:00,39.63,5.26,0.75,0.91,6.22,partly-cloudy-night,35.84,Mostly Cloudy
2017-01-01 10:00:00,39.04,5.98,0.75,0.9,6.22,partly-cloudy-night,34.62,Mostly Cloudy
2017-01-01 11:00:00,38.02,4.96,0.19,0.9,6.22,clear-night,34.19,Clear
2017-01-01 12:00:00,38.02,5.39,,0.89,6.22,clear-day,33.85,Clear
2017-01-01 13:00:00,36.76,5.15,,0.88,6.22,clear-day,32.54,Clear
2017-01-01 14:00:00,36.76,8.81,,0.88,6.22,clear-day,30.21,Clear
2017-01-01 15:00:00,38.04,4.53,,0.84,6.22,clear-day,34.56,Clear
2017-01-01 16:00:00,38.35,4.19,,0.85,6.22,clear-day,35.23,Clear
2017-01-01 17:00:00,38.54,6.16,0.75,0.83,6.22,partly-cloudy-day,33.91,Mostly Cloudy
2017-01-01 18:00:00,38.29,6.34,0.75,0.84,6.22,partly-cloudy-day,33.5,Mostly Cloudy
2017-01-01 19:00:00,37.16,3.35,0.75,0.84,6.22,partly-cloudy-night,34.72,Mostly Cloudy
2017-01-01 20:00:00,37.03,2,0.44,0.84,6.22,partly-cloudy-night,37.03,Partly Cloudy
2017-01-01 21:00:00,37.03,4.1,0.75,0.86,6.22,partly-cloudy-night,33.8,Mostly Cloudy
2017-01-01 22:00:00,37.03,3.28,0.75,0.89,6.22,partly-cloudy-night,34.67,Mostly Cloudy
2017-01-01 23:00:00,35.95,2.93,0.75,0.9,6.22,partly-cloudy-night,35.95,Mostly Cloudy
2017-01-02 00:00:00,36.77,2.63,,0.87,6.22,clear-night,36.77,Clear
2017-01-02 01:00:00,36.53,10.52,0.44,0.84,6.22,partly-cloudy-night,29.1,Partly Cloudy
2017-01-02 02:00:00,36.07,7.72,0.44,0.84,2.98,partly-cloudy-night,29.96,Partly Cloudy
2017-01-02 03:00:00,35.73,7.22,0,0.84,6.22,clear-night,29.85,Clear
2017-01-02 04:00:00,35.14,5.83,0,0.84,6.22,clear-night,30.1,Clear
2017-01-02 05:00:00,34.78,4.9,0,0.84,6.22,clear-night,30.42,Clear
2017-01-02 06:00:00,33.22,3.27,0,0.85,6.22,clear-night,30.34,Clear
2017-01-02 07:00:00,32.64,3,0,0.88,6.22,clear-night,30.05,Clear
2017-01-02 08:00:00,31.7,3.87,0,0.87,6.22,clear-night,27.88,Clear
2017-01-02 09:00:00,30.18,1.04,0,0.87,6.22,clear-night,30.18,Clear
2017-01-02 10:00:00,29.55,0.79,0,0.85,6.22,clear-night,29.55,Clear
2017-01-02 11:00:00,28.63,1.23,0,0.85,6.22,clear-night,28.63,Clear
2017-01-02 12:00:00,28.34,1.76,0,0.87,6.22,clear-day,28.34,Clear
