time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,42.4,2.25,0.44,0.94,6.22,partly-cloudy-night,42.4,Partly Cloudy
2017-01-01 04:00:00,41.98,0.95,0.75,0.93,5.59,partly-cloudy-night,41.98,Mostly Cloudy
2017-01-01 05:00:00,42.23,0.82,0.75,0.94,4.35,partly-cloudy-night,42.23,Mostly Cloudy
2017-01-01 06:00:00,43.5,1.69,0.75,0.93,3.73,partly-cloudy-night,43.5,Mostly Cloudy
2017-01-01 07:00:00,44.9,1.78,0.75,0.94,3.73,partly-cloudy-night,44.9,Mostly Cloudy
2017-01-01 08:00:00,45.76,1.97,0.75,0.94,10,partly-cloudy-night,45.76,Mostly Cloudy
2017-01-01 09:00:00,45.79,1.74,1,0.93,10,cloudy,45.79,Overcast
2017-01-01 10:00:00,46.89,2.46,0.75,0.94,4.97,partly-cloudy-night,46.89,Mostly Cloudy
2017-01-01 11:00:00,46.83,2.55,0.79,0.95,6.12,partly-cloudy-night,46.83,Mostly Cloudy
2017-01-01 12:00:00,46.69,2.46,0.75,0.95,6.22,partly-cloudy-day,46.69,Mostly Cloudy
2017-01-01 13:00:00,47.04,1.8,0.75,0.95,6.22,partly-cloudy-day,47.04,Mostly Cloudy
2017-01-01 14:00:00,47.44,2.73,0.75,0.95,6.22,partly-cloudy-day,47.44,Mostly Cloudy
2017-01-01 15:00:00,48.05,4.01,0.75,0.93,6.22,partly-cloudy-day,46.61,Mostly Cloudy
2017-01-01 16:00:00,48.74,2.8,0.79,0.91,6.22,partly-cloudy-day,48.74,Mostly Cloudy
2017-01-01 17:00:00,48.58,2.01,0.79,0.91,6.22,partly-cloudy-day,48.58,Mostly Cloudy
2017-01-01 18:00:00,48.22,3.42,0.75,0.91,5.27,partly-cloudy-day,47.28,Mostly Cloudy
2017-01-01 19:00:00,45.42,2.63,0.79,0.91,6.22,rain,45.42,Light Rain
2017-01-01 20:00:00,40.29,5.71,0.79,0.94,3.91,rain,36.3,Light Rain
2017-01-01 21:00:00,38.69,5.26,0.79,0.93,3.91,rain,34.74,Light Rain
2017-01-01 22:00:00,38.73,5.23,0.79,0.94,4.1,rain,34.8,Light Rain
2017-01-01 23:00:00,39.03,4.71,0.79,0.94,5.16,rain,35.57,Light Rain
2017-01-02 00:00:00,39.15,4.73,0.79,0.94,6.22,rain,35.69,Light Rain
2017-01-02 01:00:00,39.27,5.76,0.79,0.93,6.22,rain,35.05,Light Rain
2017-01-02 02:00:00,39.66,5.93,0.75,0.94,6.22,rain,35.4,Light Rain
2017-01-02 03:00:00,39.64,4.8,0.75,0.94,6.22,partly-cloudy-night,36.2,Mostly Cloudy
2017-01-02 04:00:00,39.93,4.87,0.75,0.92,6.22,partly-cloudy-night,36.49,Mostly Cloudy
2017-01-02 05:00:00,39.66,5.13,0.88,0.92,6.22,partly-cloudy-night,35.97,Mostly Cloudy
2017-01-02 06:00:00,39.46,5.37,0.44,0.92,6.22,partly-cloudy-night,35.56,Partly Cloudy
2017-01-02 07:00:00,38.83,4.69,0.13,0.9,6.22,clear-night,35.34,Clear
