time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,46.93,2.81,0.75,0.85,6.22,partly-cloudy-night,46.93,Mostly Cloudy
2017-01-01 04:00:00,46.9,2.07,0.75,0.86,6.22,partly-cloudy-night,46.9,Mostly Cloudy
2017-01-01 05:00:00,46.23,3.21,0.75,0.88,6.22,partly-cloudy-night,45.21,Mostly Cloudy
2017-01-01 06:00:00,46.55,2.78,0.75,0.88,6.22,partly-cloudy-night,46.55,Mostly Cloudy
2017-01-01 07:00:00,46.08,2.71,0.75,0.9,6.22,partly-cloudy-night,46.08,Mostly Cloudy
2017-01-01 08:00:00,44.26,2.51,0.75,0.91,6.22,partly-cloudy-night,44.26,Mostly Cloudy
2017-01-01 09:00:00,43.23,2.64,0.75,0.88,6.22,partly-cloudy-night,43.23,Mostly Cloudy
2017-01-01 10:00:00,41.85,2.02,0.75,0.91,6.22,partly-cloudy-night,41.85,Mostly Cloudy
2017-01-01 11:00:00,41.64,2.4,0.75,0.91,6.22,partly-cloudy-night,41.64,Mostly Cloudy
2017-01-01 12:00:00,40.79,3.28,0.75,0.92,6.22,partly-cloudy-day,38.95,Mostly Cloudy
2017-01-01 13:00:00,39.88,3.46,0.75,0.92,6.22,rain,37.72,Light Rain
2017-01-01 14:00:00,39.45,2.96,0.75,0.9,6.22,rain,39.45,Light Rain
2017-01-01 15:00:00,38.31,3.5,0.75,0.92,6.22,rain,35.88,Light Rain
2017-01-01 16:00:00,39.26,2.68,0.44,0.93,6.22,partly-cloudy-day,39.26,Partly Cloudy
2017-01-01 17:00:00,39.59,1.73,0.75,0.92,6.22,partly-cloudy-day,39.59,Mostly Cloudy
2017-01-01 18:00:00,39.53,2.85,0.44,0.89,6.22,partly-cloudy-day,39.53,Partly Cloudy
2017-01-01 19:00:00,37.88,1.69,0.75,0.86,6.22,partly-cloudy-day,37.88,Mostly Cloudy
2017-01-01 20:00:00,36.11,2,,0.88,6.22,clear-night,36.11,Clear
2017-01-01 21:00:00,35.01,2.52,,0.88,6.22,clear-night,35.01,Clear
2017-01-01 22:00:00,34.58,1.5,,0.88,6.22,clear-night,34.58,Clear
2017-01-01 23:00:00,34.01,0.86,,0.88,6.22,clear-night,34.01,Clear
2017-01-02 00:00:00,33.34,0.73,,0.89,6.22,clear-night,33.34,Clear
2017-01-02 01:00:00,33.43,1.79,,0.89,6.22,clear-night,33.43,Clear
2017-01-02 02:00:00,33.04,1.04,,0.91,6.22,clear-night,33.04,Clear
2017-01-02 03:00:00,32.77,0.89,,0.92,6.22,clear-night,32.77,Clear
2017-01-02 04:00:00,32.63,1.23,,0.92,6.22,clear-night,32.63,Clear
2017-01-02 05:00:00,32.93,1.73,,0.91,6.22,clear-night,32.93,Clear
2017-01-02 06:00:00,32.92,2.36,,0.92,6.22,clear-night,32.92,Clear
2017-01-02 07:00:00,32.62,1.41,,0.92,6.22,clear-night,32.62,Clear
2017-01-02 08:00:00,32.63,1.26,,0.92,6.22,clear-night,32.63,Clear
2017-01-02 09:00:00,32.72,1.49,,0.9,6.22,clear-night,32.72,Clear
2017-01-02 10:00:00,31.92,2.39,,0.9,6.22,clear-night,31.92,Clear
2017-01-02 11:00:00,31.68,0.76,,0.9,6.22,clear-night,31.68,Clear
2017-01-02 12:00:00,31.6,0.66,,0.89,6.22,clear-day,31.6,Clear
2017-01-02 13:00:00,33.18,0.85,,0.88,6.22,clear-day,33.18,Clear
2017-01-02 14:00:00,35.83,1.08,,0.87,6.22,clear-day,35.83,Clear
2017-01-02 15:00:00,37.64,1.45,,0.84,6.22,clear-day,37.64,Clear
2017-01-02 16:00:00,39.77,2.86,,0.78,6.22,clear-day,39.77,Clear
2017-01-02 17:00:00,39.89,2.05,,0.77,6.22,clear-day,39.89,Clear
2017-01-02 18:00:00,39.5,2.1,,0.77,6.22,clear-day,39.5,Clear
2017-01-02 19:00:00,37.67,0.48,,0.8,6.22,clear-day,37.67,Clear
2017-01-02 20:00:00,34.81,0.95,,0.85,6.22,clear-night,34.81,Clear
2017-01-02 21:00:00,33.47,0.7,0.19,0.88,6.22,clear-night,33.47,Clear
2017-01-02 22:00:00,32.27,1.02,,0.91,6.22,clear-night,32.27,Clear
2017-01-02 23:00:00,31.05,0.46,,0.92,6.22,clear-night,31.05,Clear
2017-01-03 00:00:00,29.94,0.43,,0.95,6.22,clear-night,29.94,Clear
2017-01-03 01:00:00,31.04,0.17,,0.93,6.22,clear-night,31.04,Clear
2017-01-03 02:00:00,31.56,0.26,0.19,0.91,6.22,clear-night,31.56,Clear
2017-01-03 03:00:00,32.14,0.38,0.75,0.92,6.22,partly-cloudy-night,32.14,Mostly Cloudy
2017-01-03 04:00:00,33.23,1.28,0.75,0.89,6.22,partly-cloudy-night,33.23,Mostly Cloudy
2017-01-03 05:00:00,33.87,1.55,0.44,0.89,6.22,partly-cloudy-night,33.87,Partly Cloudy
2017-01-03 06:00:00,34.89,0.97,0.75,0.85,6.22,partly-cloudy-night,34.89,Mostly Cloudy
2017-01-03 07:00:00,35.58,1.14,0.75,0.88,6.22,partly-cloudy-night,35.58,Mostly Cloudy
2017-01-03 08:00:00,34.75,1.47,,0.92,6.22,clear-night,34.75,Clear
2017-01-03 09:00:00,35.75,1.24,0.44,0.88,6.22,partly-cloudy-night,35.75,Partly Cloudy
2017-01-03 10:00:00,37.24,1.53,0.44,0.84,6.22,partly-cloudy-night,37.24,Partly Cloudy
2017-01-03 11:00:00,38.07,5.76,0.75,0.81,6.22,partly-cloudy-night,33.63,Mostly Cloudy
2017-01-03 12:00:00,38.87,1.69,0.75,0.84,6.22,partly-cloudy-day,38.87,Mostly Cloudy
2017-01-03 13:00:00,40.24,2.31,0.75,0.79,6.22,partly-cloudy-day,40.24,Mostly Cloudy
2017-01-03 14:00:00,40.79,3.59,0.75,0.83,6.22,partly-cloudy-day,38.63,Mostly Cloudy
2017-01-03 15:00:00,42.38,2.96,0.75,0.8,6.22,partly-cloudy-day,42.38,Mostly Cloudy
2017-01-03 16:00:00,42.83,3.6,0.75,0.79,6.22,partly-cloudy-day,40.95,Mostly Cloudy
2017-01-03 17:00:00,43.02,3.02,0.75,0.8,6.22,partly-cloudy-day,41.77,Mostly Cloudy
2017-01-03 18:00:00,43.07,4.32,0.53,0.79,6.22,partly-cloudy-day,40.6,Partly Cloudy
2017-01-03 19:00:00,42.68,3.91,0.44,0.79,6.22,partly-cloudy-day,40.5,Partly Cloudy
2017-01-03 20:00:00,41.7,2.88,0.44,0.8,6.22,partly-cloudy-night,41.7,Partly Cloudy
2017-01-03 21:00:00,41.71,1.94,0.75,0.81,6.22,partly-cloudy-night,41.71,Mostly Cloudy
