time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-01 03:00:00,50.67,11.39,0.75,0.8,6.22,partly-cloudy-night,50.67,Mostly Cloudy
2017-01-01 04:00:00,50.67,13.88,0.75,0.85,6.22,partly-cloudy-night,50.67,Mostly Cloudy
2017-01-01 05:00:00,50.67,14.99,0.75,0.85,6.22,partly-cloudy-night,50.67,Mostly Cloudy
2017-01-01 06:00:00,50.67,13.88,0.75,0.85,6.22,partly-cloudy-night,50.67,Mostly Cloudy
2017-01-01 07:00:00,50.67,17.22,0.75,0.8,6.22,partly-cloudy-night,50.67,Mostly Cloudy
2017-01-01 08:00:00,50.67,17.22,0.75,0.74,6.22,partly-cloudy-night,50.67,Mostly Cloudy
2017-01-01 09:00:00,50.67,21.93,0.75,0.8,6.22,partly-cloudy-night,50.67,Mostly Cloudy
2017-01-01 10:00:00,50.67,20.8,0.75,0.8,6.22,partly-cloudy-night,50.67,Mostly Cloudy
2017-01-01 11:00:00,48.89,20.8,0.44,0.91,4.35,partly-cloudy-night,41.99,Partly Cloudy
2017-01-01 12:00:00,48.89,10.29,0.44,0.91,6.22,partly-cloudy-day,44.56,Partly Cloudy
2017-01-01 13:00:00,45.35,13.34,0.75,0.87,5.87,partly-cloudy-day,39.16,Mostly Cloudy
2017-01-01 14:00:00,45.27,16.1,0.75,0.91,5.87,partly-cloudy-day,38.3,Mostly Cloudy
2017-01-01 15:00:00,44.53,17.84,0.44,0.9,6.22,partly-cloudy-day,36.92,Partly Cloudy
2017-01-01 16:00:00,45.27,16.67,0.75,0.85,6.22,partly-cloudy-day,38.16,Mostly Cloudy
2017-01-01 17:00:00,45.27,16.61,0.75,0.83,6.22,partly-cloudy-day,38.17,Mostly Cloudy
2017-01-01 18:00:00,45.27,18.36,0.75,0.79,6.22,partly-cloudy-day,37.76,Mostly Cloudy
2017-01-01 19:00:00,43.48,21.93,0.75,0.85,6.22,partly-cloudy-day,34.63,Mostly Cloudy
2017-01-01 20:00:00,42.12,24.17,0.61,0.77,6.22,partly-cloudy-night,32.38,Mostly Cloudy
2017-01-01 21:00:00,41.68,24.17,0.75,0.79,6.22,partly-cloudy-night,31.79,Mostly Cloudy
2017-01-01 22:00:00,41.68,25.28,0.75,0.79,6.22,wind,31.58,Windy and Mostly Cloudy
2017-01-01 23:00:00,40.34,26.4,0.75,0.83,4.5,wind,29.57,Windy and Mostly Cloudy
2017-01-02 00:00:00,40.34,21.93,0.75,0.83,5.37,partly-cloudy-night,30.49,Mostly Cloudy
2017-01-02 01:00:00,41.69,20.18,0.75,0.77,6.22,partly-cloudy-night,32.66,Mostly Cloudy
2017-01-02 02:00:00,40.62,15.61,0.82,0.8,6.22,partly-cloudy-night,32.45,Mostly Cloudy
2017-01-02 03:00:00,40.42,15.35,0.82,0.75,6.22,partly-cloudy-night,32.27,Mostly Cloudy
2017-01-02 04:00:00,39.43,12.3,0.22,0.77,6.22,clear-night,32.01,Clear
2017-01-02 05:00:00,38.64,11.49,0.4,0.78,6.22,partly-cloudy-night,31.33,Partly Cloudy
2017-01-02 06:00:00,37.62,12.48,0.26,0.8,6.22,partly-cloudy-night,29.67,Partly Cloudy
2017-01-02 07:00:00,37.16,10.82,0.4,0.83,6.22,partly-cloudy-night,29.76,Partly Cloudy
2017-01-02 08:00:00,36.61,9.97,0.13,0.85,6.22,clear-night,29.45,Clear
2017-01-02 09:00:00,36.32,12.42,0.13,0.86,6.22,clear-night,28.05,Clear
2017-01-02 10:00:00,36.06,11.22,0.26,0.86,6.21,partly-cloudy-night,28.21,Partly Cloudy
2017-01-02 11:00:00,35.7,11.94,0.19,0.87,6.22,clear-night,27.46,Clear
2017-01-02 12:00:00,35.76,12.22,0.16,0.87,6.22,clear-day,27.43,Clear
2017-01-02 13:00:00,37.5,8.87,0.16,0.82,6.22,clear-day,31.09,Clear
2017-01-02 14:00:00,39.9,12.51,0.16,0.79,6.22,clear-day,32.54,Clear
2017-01-02 15:00:00,41.53,13.13,0.16,0.74,6.22,clear-day,34.38,Clear
2017-01-02 16:00:00,42.65,13.3,0.16,0.69,6.22,clear-day,35.75,Clear
2017-01-02 17:00:00,43.08,10.91,0.13,0.68,6.22,clear-day,37.11,Clear
2017-01-02 18:00:00,42.79,10.93,0.16,0.66,6.22,clear-day,36.74,Clear
2017-01-02 19:00:00,41.05,8.53,0.16,0.7,6.22,clear-day,35.61,Clear
2017-01-02 20:00:00,38.24,6.85,0.16,0.77,6.22,clear-night,33.1,Clear
2017-01-02 21:00:00,36.63,5.61,0.19,0.78,6.22,clear-night,32.03,Clear
2017-01-02 22:00:00,36.14,7.38,0.19,0.79,6.22,clear-night,30.25,Clear
2017-01-02 23:00:00,35.05,5.93,0.19,0.8,6.22,clear-night,29.92,Clear
2017-01-03 00:00:00,35.05,5.9,,0.78,6.22,clear-night,29.94,Clear
2017-01-03 01:00:00,34.65,4.42,0,0.78,6.22,clear-night,30.72,Clear
2017-01-03 02:00:00,33.83,5.06,0,0.79,6.22,clear-night,29.17,Clear
2017-01-03 03:00:00,34.65,4.79,0,0.76,6.22,clear-night,30.38,Clear
2017-01-03 04:00:00,33.85,5.91,0,0.75,6.22,clear-night,28.5,Clear
2017-01-03 05:00:00,33.54,4.7,0.06,0.7,6.22,clear-night,29.16,Clear
2017-01-03 06:00:00,34.37,4.23,0.08,0.69,6.22,clear-night,30.58,Clear
2017-01-03 07:00:00,34.02,5.34,0.08,0.66,6.22,clear-night,29.16,Clear
2017-01-03 08:00:00,33.33,2.74,0,0.68,6.22,clear-night,33.33,Clear
2017-01-03 09:00:00,34.22,3.9,0,0.61,6.22,clear-night,30.75,Clear
2017-01-03 10:00:00,32.22,2.52,0,0.7,6.22,clear-night,32.22,Clear
2017-01-03 11:00:00,34.09,2.61,0.15,0.66,6.22,clear-night,34.09,Clear
2017-01-03 12:00:00,33.33,1.53,0.15,0.73,6.22,clear-day,33.33,Clear
2017-01-03 13:00:00,36.33,1.88,0.15,0.67,6.22,clear-day,36.33,Clear
2017-01-03 14:00:00,40.08,2.54,0.22,0.62,6.22,clear-day,40.08,Clear
2017-01-03 15:00:00,42.58,2.97,0.5,0.6,6.22,partly-cloudy-day,42.58,Partly Cloudy
2017-01-03 16:00:00,44.58,3.49,0.5,0.58,6.22,partly-cloudy-day,43.06,Partly Cloudy
2017-01-03 17:00:00,44.48,5.54,0.29,0.56,6.22,partly-cloudy-day,41.38,Partly Cloudy
2017-01-03 18:00:00,44.42,5.8,0.22,0.58,6.22,clear-day,41.14,Clear
2017-01-03 19:00:00,43.68,4.56,0.19,0.61,6.22,clear-day,41.11,Clear
2017-01-03 20:00:00,41.48,4.86,0.19,0.69,6.22,clear-night,38.31,Clear
2017-01-03 21:00:00,40.82,5.56,0.19,0.71,6.22,clear-night,37.03,Clear
2017-01-03 22:00:00,40.61,5.98,0.19,0.69,6.22,clear-night,36.5,Clear
2017-01-03 23:00:00,40.49,6.56,0.19,0.73,6.22,clear-night,35.99,Clear
